,"Hondo-SEADYN Project:  Rack 005971, File HSL Stemtbl ",,,,,Data checked: 2003 Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Square plots 5m x 5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,1983,,,,,,Fallen Stems,,,,,,,,1983,,,,,,,1983 Crown,,,,1983,1983,1991,2000,2000,,2000,,
,,,,DBH,1983 Base Coordinates (m),,,,Year,Length,Exit Coordinates (m),,,,Year,Uprooted,,Stem,       1983 Stem Lean,,       1991 Stem Lean,,       2000 Stem Lean,,Width (m),,Ht to crown,,BSD,Radial Inc.,DBH,DBH,Height,2000,Fire ,,Comment
Stand,Plot,Tag #,Species,(in),N,S,E,W,Dead,(m),N,S,E,W,Fallen,/ Broken,Age,Height (m),AmtChar,Direction,AmtNum,Direction,AmtNum,Direction,N-S,E-W,bottom (m),Fill%,(cm),(cm),(cm),(cm),(m),Code,Codes,Dummy,(year recorded)
3,2C,331,J,8.9,1.9,.,2.2,.,.,.,.,.,.,.,.,.,76,21.8,M,SE,.,.,.,.,3.5,3.7,14.6,40,28.4,12.76,23.7,23.6,24.6,.,.,X ,
3,2D,338,J,6.5,.,1.4,1.8,.,1983,17.4,.,0,2.4,.,.,.,64,17,M,S,.,.,.,.,.,.,.,.,.,.,16.7,.,.,DD,.,X ,
3,2D,336,J,8.5,0.3,.,1.8,.,.,.,.,.,.,.,.,.,68,21.8,O,Z,.,.,.,.,2.2,2.2,11,46,25.5,5.93,24.3,26.5,23.9,.,.,X ,
3,2D,335,J,7.3,2.5,.,.,1.3,1991,.,.,.,.,.,.,.,82,25.4,O,Z,.,.,.,.,2.5,2.4,20,65,20.7,3.16,19.4,18.3,20.1,DB2,.,X ,
3,2D,337,J,9,2.5,.,0.6,.,2000,.,.,.,.,.,.,.,75,23,M,NE,.,.,.,.,2.5,2.8,13,30,25.9,5.3,23.5,22.5,19.2,DB2,.,X ,
3,2E,340,J,10.3,0.4,.,0.4,.,.,.,.,.,.,.,.,.,74,25.2,M,NE,.,.,.,.,3,2.4,17.6,50,30.5,9.84,27.3,27.9,26.7,.,.,X ,
3,2E,339,J,9.1,0.6,.,1,.,1991,.,.,.,.,.,.,.,64,20,O,Z,.,.,.,.,3.5,2.3,13,40,25,2.3,22.4,23.3,18.4,DB2,.,X ,Top Off (2000)
3,2F,341,J,10,.,0.6,.,0.9,.,.,.,.,.,.,.,.,43,20.2,S,W,.,.,.,.,4.7,4,10,70,28.8,7.38,26.5,27.9,21.5,.,.,X ,
3,1G,342,J,9.1,.,0,.,0.6,2000,.,.,.,.,.,.,.,78,20.6,S,N,.,.,.,.,3,2.7,16,30,26.6,3.65,23.2,22.9,8.1,DB2,.,X ,
3,2G,343,J,4.3,.,0.8,.,2.4,1981,9.5,0,.,1.2,.,1984,U,.,10,L,NW,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,2G,344,W,3.7,1.6,.,.,1.2,.,.,.,.,.,.,.,.,38,15.2,S,N,.,.,.,.,2.9,2.9,1.3,50,26,16.56,10.2,12.8,10.8,.,.,X ,
3,2H,346,J,7.5,.,0.7,.,2.1,2000,.,.,.,.,.,.,.,77,21.2,S,E,.,.,.,.,2.8,3,16.8,50,21.5,6.82,19.4,19,23.2,DS,.,X ,
3,2H,345,J,9.3,0.2,.,.,1.6,.,.,.,.,.,.,.,.,51,22.4,S,W,.,.,.,.,4.3,3,16.4,70,29,6.26,24.6,25.5,19.3,LB,.,X ,Top Off (2000)
3,2I,348,J,3.5,0,.,.,0.4,1981,8.4,1.8,.,.,0,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,2I,347,J,10.2,0.2,.,.,1.1,1991,.,.,.,.,.,.,.,.,21.8,S,NW,.,.,.,.,5.6,3.5,15.8,30,.,.,26.5,26.2,18.9,DS,.,X ,
3,2I,349,J,5.7,1.8,.,.,0.1,1981,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.5,.,.,DD,.,X ,
3,2J,350,W,2.7,.,1.8,.,0.2,.,.,.,.,.,.,.,.,50,9.8,O,Z,.,.,.,.,3.5,4.7,0.5,70,.,18.55,13.1,17.3,17.1,.,.,X ,
3,2J,352,J,8.9,0.5,.,0.8,.,.,.,.,.,.,.,.,.,.,22.6,O,Z,.,.,.,.,3.4,2.9,16.6,70,.,.,24,25.4,19.6,.,.,X ,
3,2J,351,J,10.3,1.6,.,.,1.5,.,.,.,.,.,.,.,.,.,24.2,O,Z,.,.,.,.,3.9,4,15,40,.,.,27.5,28.4,21.1,.,.,X ,
3,3A,322,W,2.3,.,0.2,.,0.5,1981,4.2,1.8,.,.,.,1981,U,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,3A,318,J,4.5,.,1.8,0.2,.,1981,12.2,.,1.6,0,.,1985,U,.,15.4,S,SE,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3A,319,J,8.4,.,1.8,1.8,.,.,.,.,.,.,.,.,.,.,19.4,S,NE,.,.,.,.,4,3.7,12,50,.,.,24.1,25.8,21,LL,.,X ,Leaning (2000)
3,3A,320,J,5.8,.,2.5,2.3,.,.,.,.,.,.,.,.,.,.,20,M,SW,.,.,.,.,2.5,1.8,13.6,25,.,.,15.7,17.1,17.7,.,.,X ,
3,3A,321,J,6,1.2,.,2.6,.,.,.,.,.,.,.,.,.,.,18.2,S,SW,.,.,.,.,2,2.1,14.6,60,.,.,16.5,17.4,17.7,.,.,X ,
3,3B,314,J,5.2,.,0.1,.,1.7,1981,.,.,.,.,.,.,.,.,16,L,NW,.,.,40,W,.,.,.,.,.,.,13.2,13.8,.,DL,.,X ,
3,3B,311,J,2,.,0.7,1.5,.,1981,5.4,.,0.5,0,.,.,.,.,5,M,SE,.,.,.,.,.,.,.,.,.,.,5.3,.,.,DD,.,X ,311 & 312 are joined (1991)
3,3B,312,J,6.7,.,1,1.7,.,.,.,.,.,.,.,.,.,.,21,S,E,.,.,.,.,3.5,2,9.8,80,.,.,18.3,19.1,23.3,.,.,X ,
3,3B,313,J,8.5,.,1,2.5,.,.,.,.,.,.,.,.,.,.,20.8,O,Z,.,.,.,.,4.1,3.2,15.4,75,.,.,23.3,24,22.4,.,.,X ,
3,3B,316,W,1.8,0.8,.,1.8,.,1991,.,.,.,4.1,.,1987,.,36,5,S,N,.,.,.,.,2,2.2,1.2,30,.,10.52,5.6,.,.,DD,.,X ,Top broken (2000)
3,3B,317,J,3.4,1,.,0.7,.,1981,15.6,0.9,.,1.1,.,1985,.,.,12.7,O,Z,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3B,315,J,2.6,2.3,.,.,2.5,1981,.,.,.,.,.,1987,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Too Rotten (2000)
3,3C,309,J,8.8,.,0.3,.,0.3,.,.,.,.,.,.,.,.,79,24.2,M,E,.,.,.,.,3.5,2.6,17.6,40,25.4,2.36,24.6,25.5,18.6,LB,.,X ,Top Off (2000)
3,3C,307,J,2.1,.,0.3,0.1,.,1981,.,.,0,0.3,.,1983,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.1,.,.,DD,.,X ,Too Rotten (2000)
3,3C,308,J,3.9,.,2.2,.,2.4,1981,10.9,.,1,.,0,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3C,310,J,5.5,1.5,.,.,1.3,1981,11.7,.,0,1.9,.,.,.,50,15,M,SE,.,.,.,.,.,.,.,.,.,8.16,14.9,.,.,DD,.,X ,Top Off (2000)
3,3D,304,J,7.3,.,1.2,.,1.8,.,.,.,.,.,.,.,.,75,19.4,O,Z,.,.,.,.,2.5,3.7,13.6,80,20.8,2.16,19.5,20,17.8,LB,.,X ,Top Off (2000)
3,3D,305,J,5.5,1.3,.,.,0.9,1981,9,.,1,.,0.9,1988,B,58,16.8,O,Z,.,.,.,.,.,.,.,.,.,2.23,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3D,303,J,9.8,1.8,.,0.7,.,.,.,.,.,.,.,.,.,75,26,O,Z,.,.,.,.,6,5.5,17.6,60,28.3,8.47,26.7,28.6,22.5,.,.,X ,
3,3D,306,J,4.4,1.9,.,.,2.1,1981,10.2,.,0.5,.,0,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3E,301,W,4.1,.,2.2,2.5,.,.,.,.,.,.,.,.,.,34,11.5,O,Z,.,.,.,.,2.7,2.6,1.6,70,12.4,28.82,14.1,19.3,19.2,.,.,X ,
3,3E,302,W,3,1.5,.,.,0.4,.,.,.,.,.,.,.,.,52,6,M,N,.,.,.,.,3,3.5,1.5,70,10.4,18.02,11,13.9,10.4,.,.,X ,
3,3F,300,W,4,.,1.3,1.7,.,.,.,.,.,.,.,.,.,35,13,O,Z,.,.,.,.,2.8,2.8,12,60,12.4,25.82,14.3,18.4,19.6,.,.,X ,
3,3G,299,J,9.3,.,0.3,.,1.1,.,.,.,.,.,.,.,.,69,20.6,S,SSW,.,.,.,.,4.3,4.5,13.6,75,26.7,9.92,24.7,27,20.7,.,.,X ,
3,3G,297,J,9.5,0.4,.,.,0.6,1981,12.9,.,1.7,.,0,.,.,52,14.4,O,Z,.,.,.,.,.,.,.,.,.,9.8,22.7,.,.,DD,.,X ,
3,3H,292,J,3.3,0.5,.,0.5,.,1981,.,.,.,.,.,.,.,43,13,S,SE,.,.,.,.,.,.,.,.,.,2.34,8.5,8.6,15.2,DS,.,X ,292 & 291 are joined (1991)
3,3G,293,J,3.4,0.7,.,1.6,.,1981,.,.,.,.,.,.,.,42,12,L,S,.,.,.,.,.,.,.,.,.,7.4,9.3,9.3,.,DD,.,X ,Broken in Middle (2000)
3,3G,294,J,4.7,0.8,.,1.8,.,1983,16.2,.,1.3,0,.,.,.,51,17.2,S,S,.,.,.,.,.,.,.,.,.,4.28,12,.,.,DD,.,X ,
3,3G,298,J,4.6,1.2,.,.,1.2,2000,10.7,.,0,2.5,.,.,.,59,11,S,SW,.,.,.,.,.,.,.,.,.,1.52,11.7,.,.,DD,.,X ,Top Off (2000)
3,3G,295,J,9.1,1.2,.,1.7,.,.,.,.,.,.,.,.,.,72,23,O,Z,.,.,.,.,3,3.3,19,65,27.1,14.31,25.1,24.7,16.4,.,.,X ,295 & 296 are joined (1991)
3,3G,296,J,3.4,1.6,.,2,.,1981,.,.,.,.,.,.,.,.,7.6,L,SW,.,.,.,.,.,.,.,.,.,.,8.4,8.9,7.7,DS,.,X ,
3,3H,282,J,4.3,.,0.2,0.7,.,1981,12.2,.,0,0.1,.,.,.,46,11,O,Z,.,.,.,.,.,.,.,.,.,2.6,11,.,.,DD,.,X ,
3,3H,284,J,1.9,.,0.4,1.4,.,1981,.,.,.,.,.,.,.,.,2.4,L,SW,.,.,.,.,.,.,.,.,.,.,4.1,4.9,2.4,DS,.,X ,284 & 283 are joined (1991)
3,3H,283,J,4.9,.,0.6,1.3,.,1985,14.3,.,0,1.6,.,.,.,55,13.4,M,SW,.,.,.,.,1.8,1.2,10,20,14.8,11.7,12.9,.,.,DD,.,X ,
3,3H,285,J,10.3,.,1,1.2,.,.,.,.,.,.,.,.,.,75,23,S,E,.,.,.,.,3.4,3.5,1.2,80,29,14.27,27,27.5,25.4,.,.,X ,
3,3H,288,J,4.6,.,1.4,.,0.3,1991,.,.,.,.,.,.,.,55,11,L,SW,.,.,.,.,2.6,1.5,8,15,14.1,1.07,11.8,11.6,9,DB2,.,X ,
3,3H,286,J,6.6,.,1.7,.,1.9,2000,.,.,.,.,.,.,.,85,21.8,S,E,.,.,.,.,2.2,1.7,13.4,55,20.2,3.47,16.5,16.4,22.1,DS,.,X ,
3,3H,287,J,8,.,1.9,.,0.8,.,.,.,.,.,.,.,.,75,23.2,S,S,.,.,.,.,2.6,1.8,16.8,80,23.3,6.6,21.2,21.5,24.8,.,.,X ,
3,3H,291,J,7.8,0.5,.,0.5,.,.,.,.,.,.,.,.,.,70,19.8,S,SW,.,.,.,.,2.2,1.8,13.8,75,22.8,5.4,20.5,20.4,24.6,LL,.,X ,Leaning (2000); no stem lean angle or directin recorded (2003)
3,3H,289,J,5.8,1.8,.,.,0.9,2000,.,.,.,.,.,.,.,72,19.6,S,N,.,.,.,.,2.3,2,14.4,85,17.8,1.22,14.8,14.7,16.8,DB2,.,X ,289 & 290 are joined (1991); top Off (2000)
3,3H,290,J,3.3,1.9,.,.,0.7,1984,.,.,.,.,.,.,.,83,11,M,N,.,.,15,.,0.9,0.5,9.6,25,9.7,1.02,8.4,8.6,10.4,DL,.,X ,No stem lean direction recorded in 2000 (2003)
3,3I,278,J,6.2,0.8,.,2.6,.,.,.,.,.,.,.,.,.,.,18.2,M,ESE,.,.,.,.,1.9,2.1,12.6,60,.,.,16.1,16.4,20,LL,.,X ,Leaning (2000); no stem lean angle or directin recorded (2003)
3,3I,280,J,5.9,0.9,.,.,0.9,2000,.,.,.,.,.,.,.,.,16.4,M,SE,.,.,.,.,1.4,1.8,14.2,60,.,.,12.6,13.5,18.5,DB2,.,X ,
3,3I,279,J,4.2,1.4,.,.,1.5,1981,1.7,.,0,2.1,.,1987,B,.,7,E,SE,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Too rotten (2000); had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3I,281,J,4.5,2.5,.,.,1.5,1981,3.8,.,2.2,0,.,1987,B,.,14.4,S,S,.,.,.,.,.,.,.,.,.,.,11,.,.,DD,.,X ,Too rotten (2000); had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,3I,277,J,3.1,2.6,.,1.3,.,1981,.,.,.,.,.,.,.,.,5.4,E,S,.,.,.,.,.,.,.,.,.,.,7.6,.,.,DD,.,X ,Too Rotten (2000)
3,3J,276,J,5,.,2.2,.,0.7,.,.,.,.,.,.,.,.,.,13.6,M,E,.,.,.,.,3,3.1,9.2,50,.,.,13.2,13.1,15.4,.,.,X ,
3,3J,274,J,7.4,0.4,.,.,0.4,.,.,.,.,.,.,.,.,.,24,O,Z,.,.,.,.,2,2,13.2,60,.,.,19.9,19.5,21.7,.,.,X ,
3,3J,275,J,9.3,2.3,.,.,0.3,.,.,.,.,.,.,.,.,.,21,S,S,.,.,.,.,4.1,3,11.6,70,.,.,25.4,25.7,21.5,.,.,X ,
3,3J,273,J,10.1,2.3,.,0.3,.,.,.,.,.,.,.,.,.,.,23.4,S,N,.,.,.,.,3.6,3.4,15.4,65,.,.,27.9,29,25.2,.,.,X ,
3,4A,229,J,9.6,.,0.7,.,0.1,.,.,.,.,.,.,.,.,.,20.6,O,Z,.,.,.,.,0.4,3.5,12.4,40,.,.,26.1,26,22.1,.,.,X ,
3,4A,230,J,6.7,.,0.7,.,1.1,1981,16.7,.,0.9,0,.,1983,U,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,4A,234,J,8.6,.,0.9,0.2,.,.,.,.,.,.,.,.,.,.,18.8,S,E,.,.,.,.,2.5,2.8,12.2,40,.,.,22.5,23,16.1,LB,.,X ,Top Off (2000)
3,4A,231,J,3.8,0.4,.,1.7,.,1981,7.5,0,.,2,.,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,4A,235,J,8.1,1.3,.,0.9,.,.,.,.,.,.,.,.,.,.,20.8,O,Z,.,.,.,.,4.3,4,1.2,50,.,.,22.8,23.9,18.4,.,.,X ,
3,4A,232,J,4.8,1.4,.,1,.,1981,12.9,.,0,0.7,.,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Snag (1991); had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,4A,233,J,5.7,1.5,.,0.3,.,1981,.,.,.,.,.,.,.,42,2.7,O,Z,.,.,.,.,.,.,.,.,16.8,6.52,15,14.6,2.5,DB2,.,X ,Top Off (2000)
3,4A,236,J,7.3,2.2,.,1.3,.,2000,19.6,.,0,1.6,.,.,.,.,18.2,S,SW,.,.,.,.,2,2.7,11.2,40,.,.,19.4,.,.,DD,.,X ,
3,4B,238,W,2.5,.,1.6,0.2,.,.,.,.,.,.,.,.,.,23,4.3,O,Z,.,.,.,.,3,2.6,1.4,55,.,16.21,9.3,13.3,11.3,.,.,X ,
3,4B,237,J,8.6,1.8,.,2,.,1981,14.1,.,1.7,0,.,1981,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,4C,241,J,7.2,.,0.4,0.1,.,1991,.,.,.,.,.,.,.,82,24.4,S,SE,.,.,.,.,1.6,1.5,12,80,20.5,6.81,18.5,18.4,19.8,DB2,.,X ,Top Off (2000)
3,4C,240,J,6.3,.,0.6,.,1.4,2000,.,.,.,.,.,.,.,81,15.2,L,SW,.,.,.,.,3,3,11.2,40,19,2.5,16.1,15.8,13.4,DB2,.,X ,"Lean, Top Off (2000)"
3,4C,239,J,10.5,.,1.7,.,2.2,.,.,.,.,.,.,.,.,75,20,O,Z,.,.,.,.,4.5,4.5,12.4,30,31.4,13.1,28.9,29.7,21.2,LL,.,X ,Leaning (2000); no stem lean angle or directin recorded (2003)
3,4C,243,J,3.5,0.3,.,1.1,.,1981,3,0.8,.,.,0.5,1981,.,.,8.2,M,S,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,4C,244,J,2.3,0.5,.,1,.,1981,.,.,0,1.9,.,.,.,.,7,L,S,.,.,.,.,.,.,.,.,.,.,6.1,.,.,DD,.,X ,Top Off (2000)
3,4C,242,J,6.3,0.9,.,0.2,.,.,.,.,.,.,.,.,.,74,21.2,S,SE,.,.,.,.,1.8,2.2,13.2,55,18.3,3.43,18.3,20.2,16.5,LB,.,X ,Top Off (2000)
3,4D,246,J,6.7,.,0.8,.,0.1,1991,.,.,.,.,.,.,.,81,21.4,L,ENE,.,.,.,.,2.3,3.7,2.5,80,19.7,3.51,17.1,.,.,DD,.,X ,
3,4D,249,W,2.9,.,1.5,.,2,.,.,.,.,.,.,.,.,25,7.2,O,Z,.,.,.,.,2.9,2.7,1.1,80,9.1,15.41,11,16.1,14.3,.,.,X ,
3,4D,248,J,7.6,.,2.5,.,1.7,2000,16.4,.,0,.,0.3,.,.,46,21.2,E,SSW,.,.,.,.,1.4,1,18.6,50,21.7,6.7,19.2,.,.,DD,.,X ,
3,4D,250,J,7.3,.,2.5,.,2.2,.,.,.,.,.,.,.,.,77,20,M,ESE,.,.,.,.,1.8,1.9,11.6,50,24,3.74,19.8,21.3,23.5,.,.,X ,
3,4D,251,J,4.8,1.7,.,0.7,.,1981,.,.,.,2.5,.,.,.,.,14.5,L,ESE,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,
3,4D,247,J,6.8,1.9,.,.,1.9,1991,11.1,0,.,1.5,.,.,.,63,19.2,O,Z,.,.,.,.,1.8,1.6,12.2,40,20,3.36,17.3,.,.,DD,.,X ,Top Off (2000)
3,4E,253,W,2.8,.,0.1,1.9,.,.,.,.,.,.,.,.,.,26,6.7,O,Z,.,.,.,.,2.5,3.2,1.1,85,9.5,.,10,13.3,14.2,.,.,X ,
3,4E,252,J,11.7,.,1,.,1.3,.,.,.,.,.,.,.,.,78,23.2,S,N,.,.,.,.,4.5,5,12.2,65,36.4,6.14,32.1,32.4,25.2,.,.,X ,
3,4E,254,J,8.7,1.5,.,0.4,.,.,.,.,.,.,.,.,.,78,21.4,O,Z,.,.,.,.,3.2,3.5,13.4,75,25.7,12.18,21.1,24.5,23.2,.,.,X ,
3,4G,263,J,8.2,.,0.1,1,.,.,.,.,.,.,.,.,.,77,20.2,O,Z,.,.,.,.,2.8,2.7,12,75,27,11.77,23.1,24,21.6,.,.,X ,
3,4F,257,J,8.8,.,0.4,.,0.1,.,.,.,.,.,.,.,.,69,20.4,S,S,.,.,.,.,3,4.4,12.6,70,26.2,4.05,23.5,23.7,20.3,.,.,X ,
3,4F,258,J,10.3,.,1.3,.,1.8,.,.,.,.,.,.,.,.,72,23.4,O,Z,.,.,.,.,2.6,2,14.6,60,29.8,10.12,28,29,24.7,.,.,X ,
3,4G,260,J,3.4,.,1.8,.,1.9,1981,.,.,.,.,.,.,.,33,9,L,ESE,.,.,.,.,.,.,.,.,.,3.21,8.3,.,.,DD,.,X ,260 & 259 are joined (1991)
3,4F,255,J,4.2,.,2,.,0.7,1981,13.3,.,0.8,.,0,1984,B,48,11.8,M,SSW,.,.,.,.,.,.,.,.,.,5.29,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,4F,256,J,7.5,0.3,.,.,1.3,.,.,.,.,.,.,.,.,78,23.5,S,E,.,.,.,.,2.1,1.3,13.6,60,21.8,9.66,20.7,21.6,24.6,.,.,X ,
3,4G,261,J,8.7,.,2.5,.,2.1,.,.,.,.,.,.,.,.,76,23.4,O,Z,.,.,.,.,2.8,2.5,13,75,28.9,12.85,24,25.1,25.3,.,.,X ,
3,4G,259,J,9.2,.,1.8,.,1.7,.,.,.,.,.,.,.,.,81,25.4,S,E,.,.,.,.,1.7,2.2,11.4,85,26.1,4.22,24.9,26.3,27.1,.,.,X ,
3,4H,264,J,6.4,.,0.7,.,0.1,1991,.,.,.,.,.,.,.,79,20,L,SSE,.,.,.,.,4.7,1.8,14.8,55,20.2,2.08,16.3,.,.,DD,.,X ,
3,4H,268,J,7.5,.,1,0.5,.,.,.,.,.,.,.,.,.,78,21.4,S,SE,.,.,.,.,3.2,2.7,13.2,70,23,5.48,20.5,21.4,21.3,.,.,X ,
3,4H,267,J,7.9,.,1.9,.,1.5,.,.,.,.,.,.,.,.,76,22.4,S,SE,.,.,.,.,2.6,1.9,13,70,23.5,5.1,21.2,22,22.7,.,.,X ,
3,4H,265,J,4.7,0.8,.,.,0.8,2001,.,.,.,.,.,.,.,68,16,S,E,.,.,.,.,1.3,1.3,10,30,14.8,1,12.2,11.7,11.8,DS,.,X ,
3,4H,262,J,10,1.1,.,.,0.3,.,.,.,.,.,.,.,.,76,26,O,Z,.,.,.,.,3.2,2.2,13.9,60,33.8,10.11,26.6,27.8,26,.,.,X ,
3,4H,266,J,5.5,1.5,.,.,2,.,.,.,.,.,.,.,.,69,18.8,M,ENE,.,.,.,.,1.8,1.8,10.2,60,17.1,4.04,14.7,14.6,17.8,.,.,X ,
3,4I,269,J,8.6,.,1.3,.,2,.,.,.,.,.,.,.,.,.,21.6,S,S,.,.,.,.,4.2,3.2,15.8,40,.,.,24,25.2,23.5,.,.,X ,
3,4I,270,J,7.1,1.6,.,.,2,.,.,.,.,.,.,.,.,.,20.8,S,S,.,.,.,.,1.7,3.1,13.2,85,.,.,19.7,20.3,18.8,.,.,X ,
3,4J,272,J,9.5,.,0.3,.,1.6,.,.,.,.,.,.,.,.,.,22.6,O,Z,.,.,.,.,2.9,2.4,13.8,75,.,.,25.4,25.7,24,.,.,X ,
3,4J,271,J,8.1,1.8,.,.,0.3,.,.,.,.,.,.,.,.,.,25,S,E,.,.,.,.,2.4,3.8,13.8,40,.,.,22.7,23.7,25.4,.,.,X ,
3,5A,227,J,9,.,0.2,.,1.8,.,.,.,.,.,.,.,.,.,22.6,O,Z,.,.,.,.,3.4,2.8,14.2,80,.,.,24.3,24.4,22.8,.,.,X ,
3,5A,225,J,3.3,.,1.7,0.5,.,1981,12,.,2.7,0,.,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,5A,228,J,9.2,.,1.8,.,0.7,.,.,.,.,.,.,.,.,.,23.4,O,Z,.,.,.,.,3.9,3.3,12.2,60,.,.,25.8,26.5,26,.,.,X ,
3,5B,222,J,5.3,.,0.2,.,1.9,1984,.,.,.,.,.,.,.,.,19.2,S,W,.,.,.,.,0.7,0.8,13,20,.,.,13.7,.,.,DS,.,X ,
3,5B,221,J,5,.,1.2,1.3,.,1983,14.1,.,0.4,0,.,1983,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.4,.,.,DB2,.,X ,Snag (1991); had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,5B,220,J,6.5,.,2,0.9,.,.,.,.,.,.,.,.,.,.,20,S,SW,.,.,.,.,3.4,1.8,12,75,.,.,18.6,21,21.5,.,.,X ,
3,5B,223,J,8.2,.,2.1,.,1.4,.,.,.,.,.,.,.,.,.,20,S,SE,.,.,.,.,2.7,3.7,10.6,65,.,.,21.9,22.2,20,.,.,X ,
3,5B,224,J,10.5,0.5,.,.,1.7,1981,23,1.1,.,0,.,1981,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 2 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,5C,218,J,6.6,.,1.7,0.3,.,1981,.,.,.,.,.,.,.,64,18.8,O,Z,.,.,.,.,.,.,.,.,.,5.83,17.1,.,.,DD,.,X ,
3,5C,219,J,8.2,.,2.5,.,1.1,1981,13.8,.,0,.,1.6,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DD,.,X ,Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,5D,213,J,6,.,2,0.5,.,1981,12.9,.,2,0,.,1981,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,DB2,.,X ,3.5 m snag (1991); had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)
3,5D,216,J,8,0.3,.,.,1.1,.,.,.,.,.,.,.,.,73,22.4,S,SE,.,.,.,.,2.7,2.2,16,70,26.9,4.25,23.6,25.3,23.5,.,.,X ,
3,5D,215,J,9.2,0.7,.,2.6,.,.,.,.,.,.,.,.,.,76,23,O,Z,.,.,.,.,5.3,3.5,13.6,80,28,15.33,26.5,28.4,26.4,.,.,X ,
3,5D,214,J,4.8,0.8,.,0.9,.,1991,.,.,.,4,.,.,.,52,15,S,SE,.,.,.,.,2.4,2.3,11,80,15,2.28,13,.,.,DD,.,X ,
3,5D,217,W,1.5,1.8,.,.,2,.,.,.,.,.,.,.,.,32,4.2,O,Z,.,.,.,.,2.9,3.1,0.8,60,6.2,13.22,8.4,14.2,11.1,.,.,X ,
3,5E,209,J,8.2,.,1,1.5,.,.,.,.,.,.,.,.,.,76,20.6,O,Z,.,.,.,.,3.8,3.7,14.4,65,25.4,9.27,22.9,24.2,22.6,.,.,X ,
3,5E,212,W,2.1,.,1.1,2.6,.,1991,.,3.4,.,.,.,.,.,24,3,E,N,.,.,.,.,3.1,1.8,1.3,60,6.1,13.86,6.9,.,.,DD,.,X ,
3,5E,210,J,7,0.3,.,0.9,.,2001,.,.,.,.,.,.,.,71,18.2,O,Z,.,.,.,.,1.6,2.2,11,60,19.7,1.4,18,17.5,18.6,DS,.,X ,
3,5E,211,J,5.6,1.4,.,1.4,.,1991,.,.,.,.,.,.,.,61,19.2,O,Z,.,.,.,.,1.2,1.6,12,20,16.7,6.05,15,.,.,DD,.,X ,
