,"Hondo-SEADYN Project:  Rack 005971, File HSL Stemtbl ",,,,,Data checked: 2003 Feb 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Square plots 5m x 5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,1983,,,,,,Fallen Stems,,,,,,,,1983,,,,,,,1983 Crown,,,,1983,1983,1991,2000,2000,,2000,,
,,,,DBH,1983 Base Coordinates (m),,,,Year,Length,Exit Coordinates (m),,,,Year,Uprooted,,Stem,       1983 Stem Lean,,       1991 Stem Lean,,       2000 Stem Lean,,Width (m),,Ht to crown,,BSD,Radial Inc.,DBH,DBH,Height,2000,Fire ,,Comment
Stand,Plot,Tag #,Species,(in),N,S,E,W,Dead,(m),N,S,E,W,Fallen,/ Broken,Age,Height (m),AmtChar,Direction,AmtNum,Direction,AmtNum,Direction,N-S,E-W,bottom (m),Fill%,(cm),(cm),(cm),(cm),(m),Code,Codes,Dummy,(year recorded)
3,0E,434,J,8.3,1.8,.,0.9,.,.,.,.,.,.,.,.,.,.,22.8,O,Z,.,.,.,.,3.6,1.6,12.4,90,.,.,22.6,23,23.5,.,.,X ,
3,0E,429,J,9.1,2,.,.,0.1,.,.,.,.,.,.,.,.,.,22,O,Z,.,.,.,.,3.7,3.3,15.8,90,.,.,24.7,26.2,25.4,.,.,X ,
3,0F,439,W,1.1,.,1.9,.,2.2,.,.,.,.,.,.,.,.,29,3.4,O,Z,.,.,.,.,1.9,2.1,0.4,40,.,.,5.1,8.6,7.7,.,.,X ,
3,0F,435,J,7.3,1.6,.,.,0.4,.,.,.,.,.,.,.,.,.,21.8,O,Z,.,.,.,.,2.8,2.8,12.4,75,.,.,19.7,21.4,23,.,.,X ,
3,0F,438,J,8.9,1.6,.,1.5,.,.,.,.,.,.,.,.,.,.,22,O,Z,.,.,.,.,3.4,3.2,13.2,90,.,.,24.2,26.1,21.9,.,.,X ,
3,0F,437,W,1.4,1.9,.,.,2.1,.,.,.,.,.,.,.,.,31,3.4,O,Z,.,.,.,.,2.2,2.3,1.2,40,.,6.16,5.6,8.6,8.1,.,.,X ,
3,0F,436,J,6.9,2.5,.,.,1.5,.,.,.,.,.,.,.,.,.,22.4,L,SE,.,.,.,.,1.7,2.4,14.4,50,.,.,18.8,19.1,20.9,.,.,X ,
3,0G,441,J,4.9,.,0.3,1.1,.,1984,.,.,.,.,.,.,.,79,13.4,M,NE,.,.,.,.,2.3,1.8,10.2,40,.,7.96,12.6,.,.,DD,.,X ,Too Rotten (2000)
3,0G,442,W,1.4,.,0.4,1.8,.,.,.,.,.,.,.,.,.,37,5,S,N,.,.,.,.,1.9,2.3,0.2,43,.,11.58,7.2,11.8,12.2,.,.,X ,
3,0G,440,J,3.5,.,1.7,0.6,.,1981,4.8,.,0.4,.,0,1981,B,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.2,.,.,DD,.,X ,
3,0H,449,W,1.5,.,0.6,0.6,.,.,.,.,.,.,.,.,.,32,4.2,O,Z,.,.,.,.,2.2,2.5,0.5,30,.,9.74,6.8,10.9,10.1,.,.,X ,
3,0H,447,J,7.1,.,1,1.3,.,.,.,.,.,.,.,.,.,.,22.6,S,S,.,.,.,.,3.7,3.2,13.4,60,.,.,18.8,19,28.3,.,.,X ,
3,0H,448,J,5.4,.,1.1,0.8,.,1983,14.8,.,0,0.1,.,.,.,.,16.6,S,SW,.,.,.,.,.,.,.,.,.,.,13.6,.,.,DD,.,X ,
3,0H,444,J,7.7,.,1.7,.,0.4,.,.,.,.,.,.,.,.,.,22.4,O,Z,.,.,.,.,4.9,2.8,15.6,60,.,.,21.5,22.5,24.3,.,.,X ,
3,0H,446,J,6.8,.,2.5,2.1,.,.,.,.,.,.,.,.,.,.,20.8,O,Z,.,.,.,.,2,2.6,14.8,75,.,.,18.5,19.2,22.9,.,.,X ,
3,0H,450,J,6.4,0.7,.,1.7,.,.,.,.,.,.,.,.,.,.,19.6,O,Z,.,.,.,.,1.6,1.5,12.2,80,.,.,16.7,17.3,20.4,.,.,X ,
3,0H,443,J,8.3,1,.,.,0.4,.,.,.,.,.,.,.,.,.,22.4,S,E,.,.,.,.,3.6,3.1,12.8,85,.,.,21.9,22.9,24.2,.,.,X ,
