stand,species_code,quad,tree_tag,DBH_cm,height_to_crown_m,age,notes
6,ABBA,7B,4710,3.8,3.7,34,NA
6,ABBA,6C,4543,3.6,5.1,47,NA
6,ABBA,6C,4545,3.8,5.3,32,NA
6,ABBA,5G,4659,6.1,6.1,39,NA
6,ABBA,7D,4725,5.6,8.2,40,NA
6,ABBA,5F,4653,5.8,6.8,46,NA
6,ABBA,5C,4633,6.3,6.5,35,NA
6,ABBA,6E,4531,7.6,8.2,32,NA
6,ABBA,4H,4368,8.9,10.3,38,NA
6,ABBA,2H,4619,11.7,10.2,42,NA
6,ABBA,9F,4881,15.2,18.4,87,NA
6,BEPA,1H,5074,14.7,10.1,98,NA
7,LALA,0C,6710,6.3,10.7,40,NA
7,LALA,0A,6781,13.2,6.1,35,NA
7,PIMA,9I,2916,3.6,4,57,NA
7,PIMA,9E,4964,3.6,5.5,59,NA
7,PIMA,8H,5875,3.6,6.5,70,NA
7,PIMA,6F,5895,3.3,3.7,38,NA
7,PIMA,5C,6128,3.8,3.9,42,NA
7,PIMA,5B,6140,3.3,4.9,58,NA
7,PIMA,4C,4799,4.1,3,45,NA
7,PIMA,3B,4762,4.1,4.4,63,NA
7,PIMA,3J,3657,3,3.1,40,NA
7,PIMA,2J,3511,3.3,3.1,63,NA
7,PIMA,1J,6859,3,2.9,49,NA
7,PIMA,1F,6799,2.8,2.7,45,NA
7,PIMA,8B,4858,5.3,5,44,NA
7,PIMA,8E,4433,5.6,5.5,44,NA
7,PIMA,7H,4558,4.3,3.9,53,NA
7,PIMA,5C,6133,6.1,5.9,51,NA
7,PIMA,4F,5321,4.3,3.8,37,NA
7,PIMA,1D,6822,4.6,4.1,62,NA
7,PIMA,0D,6718,4.6,4.2,63,NA
7,PIMA,3G,5455,4.3,4.4,59,NA
7,PIMA,2D,3904,6.3,6.7,62,NA
7,PIMA,8I,5121,6.3,7,62,NA
7,PIMA,8D,4426,11.2,9.1,56,NA
8,LALA,5B,4329,10.2,7.2,94,NA
8,LALA,9E,2290,11.2,11,98,NA
8,PIMA,6H,3260,2.5,3.2,92,NA
8,PIMA,5F,4251,3.8,6.4,124,NA
8,PIMA,9A,2908,3,3.4,38,NA
8,PIMA,1I,5513,3.3,3.7,84,NA
8,PIMA,8I,2869,2.8,6.8,106,NA
8,PIMA,1B,5397,5.8,8.5,125,NA
8,PIMA,4B,3932,5.3,7.3,95,NA
