STAND 1, SURVEY DATE: 30 Jun 1987, OBSERVER: D.A. Chesterman (#4 ), ROWS:0,6,  DATA ENTRY: 10 Dec 1995	(note: R. Hastings' planted PIGL in 0G & 6A not entered)

QUAD  0A    0C	  0E	0G    0I    0a	  0c	0e    0g    0i	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i
PYCH   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SOSP   0.1   0.1   0.01  0.1   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.01  0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VIAD   0.0   0.0   0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.0   0.1   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
CXSI   0.0   0.0   0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
CXRI   0.5   0.1   0.01  0.1   0.1   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.1   0.1   0.5	 1.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0

QUAD  0A    0C	  0E	0G    0I    0i	  0g	0e    0c    0a	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i
ELGL   0.0   0.01  0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ELIN   0.01  0.01  0.1	 0.1   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.1   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ORAS   0.01  0.0   0.01  0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.01  0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ORPU   0.01  0.01  0.1	 0.1   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.01  0.01  0.1   0.01  0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SCPU   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
EQVA   0.1   0.1   0.1	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.1   0.01  0.1	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
LYCO   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
GEAM   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ROWO   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
MELI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AGSC   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ARLY   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VIRE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AGSU   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
temp  63    60	  60	58    56								58    58    57	  56	58

