original_code,strata,long_code,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
CXAQ,G,CAREAQU,Carex aquatilis,Wahlenb.,water sedge,Carex aquatilis,Wahlenb.,,CXAQ
CXAU,G,CAREAUR,Carex aurea,Nutt.,golden sedge,Carex aurea,Nutt.,,CXAU
CXBY,G,CARESP(BY),Carex sp. (BY),NA,NA,NA,NA,same as CX-BYEL; could be Carex aurea,CXBY
CXCA,G,CARECAP,Carex capillaris,L. ,hair-like sedge,Carex capillaris,L. ,,CXCA
CXCO,G,CARECON,Carex concinna,R.Br.,beautiful sedge,Carex concinna,R.Br.,,CXCO
CXDE,G,CAREDEF,Carex deflexa,Hornem.,bent sedge,Carex deflexa,Hornem.,"identified by Derek Johnson - called ""CX-TUS"" on 2005 fieldsheet",CXDE
CXDI,G,CAREDIA,Carex diandra,Schrank,two-stamened sedge,Carex diandra,Schrank,species name verified by George LaRoi,CXDI
CXDS,G,CAREDIS,Carex disperma,Dewey,two-seeded sedge,Carex disperma,Dewey,species name verified by George LaRoi,CXDS
CXDW,G,CAREDEW,Carex deweyana,Schwein.,dewey sedge,Carex deweyana,Schwein.,,CXDW
CXAE,G,CAREAEN,Carex aenea,Fern.,silvery-flowered sedge,Carex foenea,Willd.,"identified by Derek Johnson - called ""CX-NRLF"" in Stands 3 and 4 or ""CX-NWLF"" in Stands 6 and 8 on 2005 fieldsheet",CXFO
CXGY,G,CAREGYN,Carex gynocrates,Wormsk.,northern bog sedge,Carex gynocrates,Wormsk. ex Drejer,,CXGY
CXHO,G,CAREHOU,Carex houghtoniana,Torr.,sand sedge,Carex houghtoniana,Torr. ex Dewey,"identified by Derek Johnson - called ""CX-BIG"" in Stands 3 and 8 and ""CX-BIGFRUIT"" in Stand 4 on 2005 fieldsheet - Derek Johnson confirmed that they are the same species",CXHO
CXIN,G,CAREINT,Carex interior,Bailey,inland sedge,Carex interior,L.H. Bailey,,CXIN
CXLE,G,CARELEP,Carex leptalea,Wahlenb.,bristly stalked sedge,Carex leptalea,Wahlenb.,,CXLE
CXLI,G,CARELIM,Carex limosa,L.,mud sedge,Carex limosa,L.,,CXLI
CXNL,G,CARESP.,Carex sp.,NA,NA,NA,NA,"unknown Carex, was not identified to species",CXNL
CXNO,G,CARENOR,Carex norvegica,Retz.,Norway sedge,Carex norvegica,Retz.,,CXNO
CXPR,G,CAREPRA,Carex praticola,Rydb.,meadow sedge,Carex praticola,Rydb.,,CXPR
CXRI,G,CARERIC,Carex richardsonii,R.Br.,Richardson's sedge,Carex richardsonii,R.Br.,,CXRI
CXSI,G,CARESIC,Carex siccata,Dewey,hay sedge,Carex siccata,Dewey,,CXSI
CXSO,G,CARESOP,Carex soperi,Raup,thickhead sedge,Carex macloviana,d'Urv.,not sure of this species - verified by George La Roi,CXSO
