original_code,strata,long_code,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
SECY,F,,Senecio cymbalariodies,H. Buek.,Buek's groundsel,Packera subnuda,(DC.) D.K. Trock & T.M. Barkley.,only in AOS plots,PASU
SHCA,S,SHEPCAN,Shepherdia canadensis,(L.) Nutt.,Canada buffaloberry,Shepherdia canadensis,(L.) Nutt.,,SHCA
SOUL,F,SONCULI,Sonchus uliginosus,Bieb.,smooth perennial sow-thistle,Sonchus arvensis ssp. uliginosus,(M. Bieb.) Nyman,"identified by Derek Johnson - called ""LACTUCA-PINK"" on 2005 fieldsheet",SOAR
SOTR,F,,Solanum triflorum,Nutt.,cutleaf nightshade,Solanum triflorum,Nutt.,only in AOS plots,SOTR
SOCA,F,SOLICAN,Solidago canadensis,L.,Canada goldenrod,Solidago canadensis,L.,NA,SOCA
SODE,,,Solidago decumbens,Greene,Mt. Albert goldenrod,Solidago simplex,Kunth,,SOSI
SOSP,F,SOLISPA,Solidago spathulata,DC.,mountain goldenrod,Solidago spathulata,DC.,,SOSP
SPRO,F,SPIRROM,Spiranthes romanzoffiana,Cham. & Schlecht.,hooded ladies'-tresses,Spiranthes romanzoffiana,Cham.,,SPRO
STLO,F,STELLON,Stellaria longifolia,Muhl.,long-leaved chickweed,Stellaria longifolia,Muhl. Ex Willd.,"called ""STELLARIA"" on 2005 fieldsheet - Collected sample from Stand 8 was identified by Derek Johnson - initially called ARLA and was later identified by Derek as Stellaria longifolia",STLO
STLO2,F,,Stellaria longifolia,Muhl.,long-leaved chickweed,Stellaria longifolia,Muhl. Ex Willd.,,STLO
SYAL,S,SYMPALB,Symphoricarpos albus,(L.) Blake,snowberry,Symphoricarpos albus,(L.) S.F. Blake,,SYAL
ASBO,F,ASTEBOR,Aster borealis,(T. & G.) Prov.,marsh aster,Symphyotrichum boreale,(Torr. & A. Gray) A. Love & D. Love,,SYBO
ASCI,F,ASTECIL,Aster ciliolatus,Lindl.,Lindley's aster,Symphyotrichum ciliolatum,(Lindl.) A. Love & D. Love,,SYCI
ASLA,F,ASTELAE,Aster laevis,L.,smooth aster,Symphyotrichum laeve,(L.) A. Love & D. Love,,SYLA
ASPU,F,ASTEPUN,Aster puniceus,L.,purple-stemmed aster,Symphyotrichum puniceum var. puniceum,(L.) A. Love & D. Love,"identified by Derek Johnson - called ""AS-SPST"" on 2005 fieldsheet",SYPU
TAOF,F,TARAOFF,Taraxacum officinale,Weber,common dandelion,Taraxacum officinale,F.H. Wigg.,,TAOF
THVE,F,THALVEN,Thalictrum venulosum,Trel.,veiny meadow-rue,Thalictrum venulosum,Trel.,NA,THVE
TOGL,F,TOFIGLU,Tofieldia glutinosa,(Michx.) Pers.,sticky false asphodel,Tofieldia glutinosa,(Michx.) Pers.,species name verified by George LaRoi,TOGL
TRBO,F,TRIEBOR,Trientalis borealis,Raf.,northern starflower,Trientalis borealis,Raf.,,TRBO
TRHY,F,TRIFHYB,Trifolium hybridum,L.,alsike clover,Trifolium hybridum,L.,,TRHY
TRMA,G,TRIGMAR,Triglochin maritima,L.,seaside arrow-grass,Triglochin maritima,L.,,TRMA
TRPR,F,TRIFPRA,Trifolium pratense,L.,red clover,Trifolium pratense,L.,,TRPR
TRRE,F,TRIFREP,Trifolium repens,L.,white clover,Trifolium repens,L.,NA,TRRE
TYLA,F,TYPHLAT,Typha latifolia,L.,common cattail,Typha latifolia,L.,,TYLA
UNKA,NA,Unknown,NA,NA,NA,NA,NA,unidentified species,UNKN1
UNKNA,NA,UnknownA,NA,NA,NA,NA,NA,unidentified species,UNKN2
UNKR,NA,UnknownR,NA,NA,NA,NA,NA,unidentified species,UNKN3
VACA,S,VACCCAE,Vaccinium caespitosum,Michx.,dwarf bilberry,Vaccinium cespitosum,Michx.,,VACE
VAMY,S,VACCMYR,Vaccinium myrtilloides,Michx.,common blueberry,Vaccinium myrtilloides,Michx.,,VAMY
OXMI,S,OXYCMIC,Oxycoccus microcarpus,Turcz.,small bog cranberry,Vaccinium oxycoccos,L.,,VAOX
VAVI,S,VACCVIT,Vaccinium vitis-idaea,L.,bog cranberry,Vaccinium vitis-idaea,L.,,VAVI
VIAD,F,VIOLADU,Viola adunca,J.E. Smith,early blue violet,Viola adunca,Sm.,,VIAD
VIAM,F,VICIAME,Vicia americana,Muhl.,wild vetch,Vicia americana,Muhl. Ex Willd.,,VIAM
VIED,S,VIBUEDU,Viburnum edule,(Michx.) Raf.,low-bush cranberry,Viburnum edule,(Michx.) Raf.,,VIED
VIRE,F,VIOLREN,Viola renifolia,A. Gray,kidney-leaved violet,Viola renifolia,A. Gray,,VIRE
VIED,S,,Viburnum edule,(Michx.) Raf.,squashberry,Viburnum edule,(Michx.) Raf.,only in AOS plots,VIED
