stand,year,month,date,tree_tag,age,height_cm,basal_diameter_mm
1,1983,6,1983-06-10,402,8,26,3
1,1983,6,1983-06-10,407,4,26,8
1,1983,6,1983-06-10,429,9,70,10
1,1983,6,1983-06-10,430,7,21,3
1,1983,6,1983-06-10,436,7,59,6
1,1983,6,1983-06-10,443,7,20,2
1,1983,6,1983-06-10,445,6,26,3.5
1,1983,6,1983-06-10,448,5,55,6
1,1983,6,1983-06-10,450,5,28,2
1,1983,6,1983-06-10,458,2,10,2
1,1983,6,1983-06-10,459,5,7,2
1,1983,6,1983-06-10,461,10,27,9
1,1983,6,1983-06-10,467,5,8,2.5
1,1983,6,1983-06-10,475,7,52,9
1,1983,6,1983-06-10,480,4,10,1.5
1,1983,6,1983-06-10,481,5,45,6
1,1983,6,1983-06-10,486,5,51,8
1,1983,6,1983-06-10,489,4,6,1
1,1983,6,1983-06-10,493,5,12,2
1,1983,6,1983-06-10,495,3,6,1
1,1983,6,1983-06-10,496,12,33.5,11.5
1,1983,6,1983-06-10,498,4,14.5,3
1,1983,6,1983-06-10,600,5,10,4.5
1,1983,6,1983-06-10,601,10,13,11.5
1,1983,7,1983-07-11,602,3,6,2
1,1983,6,1983-06-10,604,3,7,1
1,1983,7,1983-07-11,606,4,4,2
1,1983,7,1983-07-11,607,7,4,6.5
1,1983,6,1983-06-10,608,5,7,5
1,1983,6,1983-06-10,609,7,28,12
1,1983,6,1983-06-10,610,5,11,4.5
1,1983,6,1983-06-10,611,8,28,7.5
1,1983,6,1983-06-10,612,6,6,6
1,1983,7,1983-07-11,613,6,17,4
1,1983,6,1983-06-10,614,6,15,2.5
1,1983,6,1983-06-10,619,5,12,2
1,1983,6,1983-06-10,620,3,9,2
1,1983,6,1983-06-10,621,7,14,3.5
1,1983,6,1983-06-10,622,6,8,2.5
1,1983,7,1983-07-11,628,2,3,1.5
1,1983,6,1983-06-10,631,22,210,38.5
1,1983,6,1983-06-10,632,4,8,1
1,1983,7,1983-07-11,634,9,29,8.5
1,1983,7,1983-07-11,636,4,5,3
1,1983,6,1983-06-10,637,4,5,1
1,1983,7,1983-07-11,638,8,5,2
1,1983,6,1983-06-10,639,8,11,12
1,1983,6,1983-06-10,644,22,36,9
1,1983,6,1983-06-10,647,5,12,2.5
1,1983,7,1983-07-11,648,3,7,2
1,1983,7,1983-07-11,650,4,4,1
1,1983,6,1983-06-10,654,4,12,3
1,1983,7,1983-07-11,657,10,16,10
1,1983,7,1983-07-11,660,4,3,3
1,1983,7,1983-07-11,661,9,8,8
1,1983,6,1983-06-10,662,3,6,2
1,1983,6,1983-06-10,666,4,9,1.1
1,1983,6,1983-06-10,675,10,12,8
1,1983,7,1983-07-11,676,4,5,4
1,1983,7,1983-07-11,678,4,5,2
1,1983,6,1983-06-10,681,8,36,11
1,1983,6,1983-06-10,686,10,11,7.5
1,1983,7,1983-07-11,689,7,9,6
1,1983,7,1983-07-11,690,3,8,3
1,1983,7,1983-07-11,691,8,10,13
1,1983,6,1983-06-10,692,6,14,5.5
1,1983,6,1983-06-10,694,6,8,3
1,1983,6,1983-06-10,696,6,13,2.5
1,1983,7,1983-07-11,697,5,5,3
1,1983,7,1983-07-11,698,4,9,2.5
1,1983,7,1983-07-27,701,6,13,5
1,1983,7,1983-07-27,702,7,7,3
1,1983,7,1983-07-27,703,8,11,3
1,1983,7,1983-07-11,704,3,2,2
1,1983,7,1983-07-11,705,3,5,2
1,1983,7,1983-07-27,716,6,5,3
1,1983,7,1983-07-11,723,4,5,2
1,1983,7,1983-07-27,727,8,21,8
1,1983,7,1983-07-11,730,5,4,2
1,1983,7,1983-07-27,737,6,9,4
1,1983,7,1983-07-27,752,6,8,2
1,1983,7,1983-07-27,756,5,7,2
1,1984,NA,NA,402,NA,28,4
1,1984,NA,NA,407,NA,29,4
1,1984,NA,NA,429,NA,77,10
1,1984,NA,NA,430,NA,19,5
1,1984,NA,NA,436,NA,59,7
1,1984,NA,NA,443,NA,18,2
1,1984,NA,NA,445,NA,26,4
1,1984,NA,NA,448,NA,57,6
1,1984,NA,NA,450,NA,33,3
1,1984,NA,NA,458,NA,11,2
1,1984,6,1984-06-23,459,NA,8,1
1,1984,6,1984-06-23,461,NA,25,10
1,1984,6,1984-06-23,467,NA,3,3
1,1984,NA,NA,475,NA,68,8
1,1984,NA,NA,480,NA,10,2
1,1984,NA,NA,481,NA,42,6
1,1984,NA,NA,486,NA,53,8
1,1984,NA,NA,489,NA,5,2
1,1984,NA,NA,493,NA,14,3
1,1984,6,1984-06-23,495,NA,4,2
1,1984,6,1984-06-23,496,NA,26,12
1,1984,NA,NA,498,NA,15,10
1,1984,NA,NA,600,NA,10,5
1,1984,NA,NA,601,NA,24,12
1,1984,NA,NA,602,NA,10,2
1,1984,6,1984-06-23,604,NA,8,1
1,1984,NA,NA,606,NA,4,2
1,1984,NA,NA,607,NA,4,5
1,1984,NA,NA,608,NA,10,7
1,1984,6,1984-06-23,609,NA,25,10
1,1984,6,1984-06-23,610,NA,10,4
1,1984,NA,NA,611,NA,29,7
1,1984,6,1984-06-23,612,NA,7,10
1,1984,NA,NA,613,NA,22,6
1,1984,NA,NA,614,NA,16,3
1,1984,6,1984-06-23,619,NA,14,3
1,1984,6,1984-06-23,620,NA,10,4
1,1984,NA,NA,621,NA,17,4
1,1984,NA,NA,622,NA,9,3
1,1984,NA,NA,628,NA,3,4
1,1984,6,1984-06-23,631,NA,212,39
1,1984,NA,NA,632,NA,9,2
1,1984,NA,NA,634,NA,29,9
1,1984,6,1984-06-23,636,NA,4,2
1,1984,NA,NA,637,NA,3,2
1,1984,NA,NA,638,NA,6,3
1,1984,NA,NA,639,NA,13,10
1,1984,NA,NA,644,NA,40,10
1,1984,NA,NA,647,NA,13,3
1,1984,NA,NA,650,NA,4,2
1,1984,6,1984-06-23,654,NA,8,6
1,1984,6,1984-06-23,657,NA,18,11
1,1984,NA,NA,660,NA,3,2
1,1984,NA,NA,661,NA,9,7
1,1984,6,1984-06-23,662,NA,7,1
1,1984,NA,NA,666,NA,9,3
1,1984,6,1984-06-23,675,NA,14,8
1,1984,6,1984-06-23,676,NA,5,3
1,1984,NA,NA,678,NA,7,2
1,1984,NA,NA,681,NA,19,11
1,1984,6,1984-06-23,686,NA,12,8
1,1984,NA,NA,689,NA,7,6
1,1984,NA,NA,691,NA,10,13
1,1984,NA,NA,692,NA,14,5
1,1984,6,1984-06-23,694,NA,5,3
1,1984,NA,NA,696,NA,14,3
1,1984,NA,NA,697,NA,4,5
1,1984,NA,NA,698,NA,10,3
1,1984,6,1984-06-23,701,NA,9,4
1,1984,6,1984-06-23,702,NA,10,3
1,1984,NA,NA,703,NA,14,3
1,1984,NA,NA,704,NA,3,2
1,1984,NA,NA,705,NA,8,1
1,1984,6,1984-06-23,716,NA,7,2
1,1984,NA,NA,723,NA,5,3
1,1984,6,1984-06-23,727,NA,10,9
1,1984,NA,NA,730,NA,6,2
1,1984,6,1984-06-23,737,NA,13,4
1,1984,6,1984-06-23,752,NA,4,1
1,1984,6,1984-06-23,756,NA,5,3
1,1985,5,1985-05-17,402,NA,30,5
1,1985,5,1985-05-17,407,NA,28,4
1,1985,5,1985-05-17,429,NA,87,11
1,1985,5,1985-05-17,430,NA,22,8
1,1985,5,1985-05-17,436,NA,70,7
1,1985,5,1985-05-17,443,NA,22,3
1,1985,5,1985-05-17,445,NA,29,4
1,1985,5,1985-05-17,450,NA,34,4
1,1985,5,1985-05-17,458,NA,15,2
1,1985,5,1985-05-17,459,NA,10,2
1,1985,5,1985-05-17,461,NA,31,5
1,1985,5,1985-05-17,467,NA,2.5,2
1,1985,5,1985-05-17,475,NA,72,8
1,1985,5,1985-05-17,480,NA,15,2
1,1985,5,1985-05-17,481,NA,47,7
1,1985,5,1985-05-17,486,NA,57,8
1,1985,5,1985-05-17,489,NA,10,2
1,1985,5,1985-05-17,493,NA,15,5
1,1985,5,1985-05-17,495,NA,3.5,3
1,1985,5,1985-05-17,496,NA,25,7
1,1985,5,1985-05-17,498,NA,24,13
1,1985,5,1985-05-17,600,NA,12,5
1,1985,5,1985-05-17,601,NA,25,14
1,1985,5,1985-05-17,602,NA,15,3
1,1985,5,1985-05-17,604,NA,12,2
1,1985,5,1985-05-17,606,NA,3,2
1,1985,5,1985-05-17,607,NA,4,7
1,1985,5,1985-05-17,608,NA,16,9
1,1985,5,1985-05-17,609,NA,26,18
1,1985,5,1985-05-17,610,NA,11.5,5.5
1,1985,5,1985-05-17,611,NA,33,8
1,1985,5,1985-05-17,612,NA,7,4
1,1985,5,1985-05-17,613,NA,26,6
1,1985,5,1985-05-17,614,NA,15,3
1,1985,5,1985-05-17,619,NA,14,2
1,1985,5,1985-05-17,620,NA,13,2
1,1985,5,1985-05-17,621,NA,23,3
1,1985,5,1985-05-17,622,NA,12,3
1,1985,5,1985-05-17,628,NA,5,2.5
1,1985,5,1985-05-17,631,NA,13,3
1,1985,5,1985-05-17,632,NA,10,2
1,1985,5,1985-05-17,634,NA,14,13
1,1985,5,1985-05-17,636,NA,9,3
1,1985,5,1985-05-17,637,NA,6,2
1,1985,5,1985-05-17,638,NA,8,3
1,1985,5,1985-05-17,639,NA,13,12
1,1985,5,1985-05-17,644,NA,51,10
1,1985,5,1985-05-17,647,NA,14,4
1,1985,5,1985-05-17,650,NA,4,2
1,1985,5,1985-05-17,654,NA,15,4
1,1985,5,1985-05-17,657,NA,16,11
1,1985,5,1985-05-17,660,NA,5,6.5
1,1985,5,1985-05-17,661,NA,10,6
1,1985,5,1985-05-17,662,NA,6,2
1,1985,5,1985-05-17,666,NA,12,3
1,1985,5,1985-05-17,675,NA,17,8
1,1985,5,1985-05-17,676,NA,9,2
1,1985,5,1985-05-17,678,NA,10,3
1,1985,5,1985-05-17,681,NA,22,8
1,1985,5,1985-05-17,686,NA,17,7.5
1,1985,5,1985-05-17,689,NA,9,17
1,1985,5,1985-05-17,691,NA,11,24
1,1985,5,1985-05-17,692,NA,25,5
1,1985,5,1985-05-17,694,NA,7,3
1,1985,5,1985-05-17,696,NA,16,3
1,1985,5,1985-05-17,697,NA,4,6
1,1985,5,1985-05-17,698,NA,19,4
1,1985,5,1985-05-17,701,NA,14,4
1,1985,5,1985-05-17,702,NA,13,3
1,1985,5,1985-05-17,703,NA,17,4
1,1985,5,1985-05-17,704,NA,3,2
1,1985,5,1985-05-17,705,NA,11,2
1,1985,5,1985-05-17,716,NA,7,3
1,1985,5,1985-05-17,723,NA,4,3
1,1985,5,1985-05-17,727,NA,15,5
1,1985,5,1985-05-17,730,NA,7,1
1,1985,5,1985-05-17,737,NA,15,5
1,1985,5,1985-05-17,752,NA,5,2
1,1985,5,1985-05-17,756,NA,6,2
2,1983,5,1983-05-10,55,6,5,4
2,1983,5,1983-05-10,57,32,107,22
2,1983,5,1983-05-10,59,4,12,4
2,1983,5,1983-05-10,91,8,16,5
2,1983,5,1983-05-10,97,6,13,3
2,1983,5,1983-05-10,98,2,7,2
2,1983,5,1983-05-31,403,9,13,6
2,1983,5,1983-05-31,405,7,8,4
2,1983,5,1983-05-10,406,5,15,7
2,1983,5,1983-05-31,408,3,17,2
2,1983,5,1983-05-10,410,5,15,7
2,1983,5,1983-05-10,411,3,7,4.5
2,1983,5,1983-05-31,412,6,8,5
2,1983,5,1983-05-10,413,4,11,5
2,1983,5,1983-05-10,415,1,3,1
2,1983,5,1983-05-31,416,10,12,7
2,1983,5,1983-05-31,417,7,11,5
2,1983,5,1983-05-31,419,5,16,7
