stand,month,day,year,tree_tag,age,height_cm,basal_diameter_mm,notes
1,5,17,1985,650,NA,4,2,NA
1,5,17,1985,654,NA,15,4,NA
1,5,17,1985,657,NA,16,11,NA
1,5,17,1985,660,NA,5,6.5,NA
1,5,17,1985,661,NA,10,6,NA
1,5,17,1985,662,NA,6,2,NA
1,5,17,1985,666,NA,12,3,NA
1,5,17,1985,675,NA,17,8,NA
1,5,17,1985,676,NA,9,2,NA
1,5,17,1985,678,NA,10,3,NA
1,5,17,1985,681,NA,22,8,NA
1,5,17,1985,686,NA,17,7.5,NA
1,5,17,1985,689,NA,9,17,NA
1,5,17,1985,691,NA,11,24,NA
1,5,17,1985,692,NA,25,5,NA
1,5,17,1985,694,NA,10,2,NA
1,5,17,1985,696,NA,16,3,NA
1,5,17,1985,697,NA,4,6,NA
1,5,17,1985,698,NA,19,4,NA
1,5,17,1985,701,NA,14,4,NA
1,5,17,1985,702,NA,15,5,NA
1,5,17,1985,703,NA,17,4,NA
1,5,17,1985,704,NA,3,2,NA
1,5,17,1985,705,NA,11,2,NA
1,5,17,1985,716,NA,6,2,NA
1,5,17,1985,723,NA,4,3,NA
1,5,17,1985,727,NA,15,5,NA
1,5,17,1985,730,NA,7,1,NA
1,5,17,1985,737,NA,7,3,NA
1,5,17,1985,752,NA,5,2,NA
1,5,17,1985,756,NA,7,3,NA
2,5,10,1983,55,6,5,4,NA
2,5,10,1983,57,32,107,22,terminal clipped
2,5,10,1983,59,4,12,4,sprout from older stem
2,5,10,1983,91,8,16,5,NA
2,5,10,1983,97,6,13,3,recently clipped
2,5,10,1983,98,2,7,2,NA
2,5,31,1983,403,9,13,6,NA
2,5,31,1983,405,7,8,4,NA
2,5,10,1983,406,5,15,7,NA
2,5,31,1983,408,3,17,2,NA
2,5,10,1983,410,5,15,7,NA
2,5,10,1983,411,3,7,4.5,no date given; assumed 1982
2,5,31,1983,412,6,8,5,NA
2,5,10,1983,413,4,11,3,NA
2,5,10,1983,415,1,3,1,NA
2,5,31,1983,416,10,12,7,NA
2,5,31,1983,417,7,11,5,NA
2,5,31,1983,419,5,16,7,no date given; assumed 1982
2,5,31,1983,421,7,9,7,NA
2,5,31,1983,422,9,21,3,NA
2,5,31,1983,423,7,17,4,NA
2,5,31,1983,424,4,8,3,NA
2,5,31,1983,425,9,9,9,NA
2,5,10,1983,426,8,14,6,NA
2,5,31,1983,427,7,17,4,NA
2,5,31,1983,428,6,10,3,NA
2,5,31,1983,431,9,17,6,NA
2,5,10,1983,433,4,13,3,NA
2,5,31,1983,434,6,15,2.5,NA
2,5,31,1983,435,10,60,12,NA
2,5,31,1983,437,4,6,2,NA
2,5,31,1983,439,2,22,3,NA
2,5,31,1983,440,7,15,4,NA
2,5,31,1983,441,9,13,3,NA
2,5,31,1983,442,6,10,9,NA
2,5,31,1983,444,8,16,5,NA
2,5,31,1983,445,3,7,2,NA
2,5,10,1983,446,6,24,6,NA
2,5,31,1983,447,7,8,7,no date given; assumed 1982
2,5,31,1983,448,12.5,8,12,dead top
2,5,10,1983,449,4,9,3,NA
2,5,31,1983,452,3,14,3,NA
2,5,31,1983,453,8,13,3,NA
2,5,10,1983,455,4,9,3.5,NA
2,5,31,1983,456,3,23,4,no date given; assumed 1982
2,5,31,1983,457,4,25,4,no date given; assumed 1982
2,5,10,1983,462,5,11,3,dead top
2,5,10,1983,464,3,13,3,NA
2,5,31,1983,465,11,16,8,NA
2,5,31,1983,468,7,13,5,NA
2,5,10,1983,469,7,12,7.5,no date given; assumed 1982
2,5,31,1983,470,2,8,2,NA
2,5,31,1983,471,5,10,3,NA
2,5,31,1983,472,7,19,7,NA
2,5,31,1983,473,11,17,10,NA
2,5,31,1983,476,5,17,6,NA
2,5,10,1983,477,5,15,2.5,NA
2,5,10,1983,479,2,6,1,NA
2,5,31,1983,482,7,7,4,NA
2,5,31,1983,483,6,12,5,NA
2,5,31,1983,484,7,16,7,no date given; assumed 1982
2,5,31,1983,485,4,9,4,NA
2,5,31,1983,487,6,12,4,NA
2,5,31,1983,488,8,11,8,NA
2,5,10,1983,490,7,13,3,NA
2,5,10,1983,491,8,11,4,NA
2,5,10,1983,492,7,27,8,NA
2,5,10,1983,494,4,11,3,NA
2,5,31,1983,497,2,22,3,NA
2,5,31,1983,603,7,13,3,NA
2,5,31,1983,605,5,2,NA,NA
2,8,24,1983,616,5,7,NA,NA
2,5,31,1983,617,4,8,1,NA
2,5,31,1983,605,8,15,9,no date given; assumed 1982
2,5,31,1983,695,5,8,1,NA
2,8,24,1983,708,10,10,5,NA
2,8,23,1983,711,4.5,10,2.8,NA
2,8,24,1983,712,8,7,3,NA
2,8,24,1983,715,4,7,2,NA
2,8,24,1983,719,10,2,7,NA
2,8,24,1983,721,8,13,3,NA
2,8,24,1983,733,8,12,4,NA
2,8,24,1983,738,9,10,3,NA
2,NA,NA,1984,55,NA,4,3,NA
2,NA,NA,1984,57,NA,107,24,NA
2,NA,NA,1984,59,NA,12,5,NA
2,NA,NA,1984,91,NA,21,5,NA
2,NA,NA,1984,97,NA,12,3,NA
2,NA,NA,1984,98,NA,9,2,NA
2,NA,NA,1984,403,NA,13,5,NA
2,NA,NA,1984,405,NA,11,4,NA
2,NA,NA,1984,406,NA,8,6,NA
2,NA,NA,1984,408,NA,28,3,NA
2,NA,NA,1984,410,NA,12,6,NA
2,NA,NA,1984,413,NA,5,8,NA
2,NA,NA,1984,415,NA,2,1,NA
2,NA,NA,1984,416,NA,10,6,NA
2,NA,NA,1984,417,NA,11,7,NA
2,NA,NA,1984,421,NA,19,4,NA
2,NA,NA,1984,422,NA,22,3,NA
2,NA,NA,1984,423,NA,22,7,40 male cones
2,NA,NA,1984,424,NA,10,3,NA
2,NA,NA,1984,425,NA,16,9,NA
2,NA,NA,1984,426,NA,14,3,NA
2,NA,NA,1984,427,NA,17,5,NA
