0A,0,0,.01,0,0,0,0,.01,.1,0,0,0,.01,0,.01,.01,.01,0,0,0,0,0,.1,75,0,.1,0,0,0,0,0,0,0,2,0,0,0,0,0
0C,0,0,.01,0,0,0,0,.01,.1,0,0,0,.1,0,.01,.01,.01,0,.01,.01,0,0,.1,65,1,.1,0,0,0,0,0,0,0,.01,0,0,0,0,0
0E,0,0,.01,0,0,1,.1,.01,1,0,.01,0,0,0,.01,0,0,0,.1,0,0,0,.01,65,1,.01,0,0,.01,0,0,0,.1,0,0,0,0,0,0
0G,0,0,0,0,0,0,0,0,1,0,0,0,.01,0,.01,.01,0,0,.01,0,0,0,.01,50,.1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
0I,0,0,.1,0,0,.1,1,.1,0,0,1,.01,0,0,.1,.01,0,.01,0,0,.01,0,.01,25,1,0,0,0,0,0,.01,0,0,0,0,0,0,0,0
2I,0,0,1,0,0,5,10,0,0,0,1,0,0,0,.01,.01,0,0,.01,0,0,.01,0,10,0,0,0,0,.1,0,0,0,0,1,0,0,0,0,0
2G,0,0,.1,0,0,.01,15,0,0,.1,0,0,0,0,.01,0,0,0,.01,0,0,0,.01,15,.01,0,0,0,0,0,0,0,.01,1,0,0,0,0,0
2E,.01,.01,.01,0,0,10,35,.01,0,0,1,0,.01,0,1,0,0,0,.01,0,0,0,0,4,.1,0,0,0,.01,0,0,0,0,.1,0,0,0,0,0
2C,0,0,.1,0,0,.01,8,0,.01,0,0,0,0,0,.01,.01,.01,0,0,0,.01,0,.01,20,.1,.1,0,0,.01,1,0,0,0,1,0,0,0,0,0
2A,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,.01,.01,0,0,.01,.01,.01,0,.01,40,.1,.01,0,0,.01,.01,0,0,0,4,0,0,0,0,0
4A,0,0,.01,0,0,0,1,.1,3,0,0,0,.1,0,.1,0,.01,0,0,0,.01,0,0,35,.01,1,.01,0,0,.01,0,0,0,3,0,0,0,0,0
4C,.01,.01,.01,0,0,0,0,0,.01,0,.01,0,0,0,.01,.1,.1,0,2,.01,.01,0,0,45,.1,.1,.01,0,0,.1,0,0,0,4,0,0,0,0,0
4E,.01,0,.01,0,0,0,1,0,0,0,0,0,0,0,.01,0,0,0,0,.01,0,0,.01,55,.01,.1,0,0,.1,.01,0,0,.1,3,0,0,0,0,0
4G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,.01,0,.01,.01,.01,0,.01,0,5,.01,.01,0,0,0,0,0,0,0,5,0,0,.01,0,.01
4I,0,.1,0,0,0,0,0,.01,1,0,0,0,0,0,0,.01,.01,0,0,0,0,0,.1,90,.01,1,0,0,0,.1,0,0,0,1,0,0,0,0,0
6I,0,0,0,0,0,0,.01,0,0,0,0,0,.01,0,.01,0,0,0,.01,0,0,0,0,70,.1,.01,0,0,0,0,0,0,0,1,0,0,0,0,0
6G,0,0,0,0,0,.01,.1,.01,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,40,.01,0,0,0,0,.01,0,0,0,1,0,0,0,0,0
6E,0,0,0,0,0,0,.01,.01,0,0,0,0,0,0,.01,.01,.01,0,.1,0,0,0,.01,40,1,.01,0,0,1,0,0,0,0,2,0,0,0,.01,0
6C,0,0,0,0,0,0,.01,.1,0,0,0,0,.01,0,.01,.01,0,0,.01,0,0,0,.01,15,0,.1,0,.01,.1,0,0,0,.01,1,0,0,0,0,0
6A,0,0,.01,0,0,0,.01,0,0,0,0,0,.01,0,.01,.01,0,.01,0,.01,.01,0,.01,8,.1,.1,0,0,0,.01,0,0,0,.1,0,0,.01,0,0
8A,0,0,0,0,0,1,40,0,0,0,.01,0,0,0,.01,.01,0,.01,0,0,0,0,0,8,.1,0,0,0,0,.1,0,0,0,.01,1,0,.01,0,0
8C,0,0,0,0,0,1,.01,0,0,.01,2,0,0,0,0,.01,0,.01,0,0,0,0,0,6,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E,0,0,0,0,0,3,5,0,0,0,1,0,0,0,.01,0,0,0,0,0,0,0,0,4,0,0,0,0,.1,0,0,0,.1,0,0,0,0,0,0
8G,.01,0,0,.01,0,5,15,0,0,0,3,0,0,0,.01,0,0,0,0,0,0,0,0,3,0,0,0,0,.01,0,0,0,1,1,0,0,0,0,0
8I,0,.1,.01,0,0,0,.1,0,.01,0,0,0,0,0,.01,.01,0,0,0,0,.01,0,.01,85,.1,0,0,0,.01,0,0,0,0,2,1,0,0,0,0
