1B,0,0,0,0,0,0,0,1,0,0,.1,0,.01,0,0,.1,.01,0,0,.01,0,0,.01,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,15,0,.1,0,0,0,0,0,.1,0,0,0,0,.01,.01,0,0
1F,0,0,0,0,0,0,0,0,0,0,.01,0,.01,0,0,0,0,0,0,0,0,0,0,7,.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H,0,0,0,0,0,1,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,0,0,1,0,0,5,0,0,0,0,0,0,.01,0,0,.01,0,0,0,0,0,.01,.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0
3J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,.01,0,0,0,0,.1,35,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,.1,0,0,1,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,90,.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3F,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.01,0,0,0,0,25,.1,0,0,0,0,0,0,0,0,30,0,0,0,.1,0,0
3D,0,0,1,0,0,2,0,0,0,.1,.01,0,.01,0,0,.01,0,0,0,0,0,0,.01,25,.1,0,.01,0,0,0,0,0,0,2,0,0,0,.01,.01,0
3B,0,0,0,0,0,0,0,.01,0,0,0,0,0,0,0,0,.01,0,0,0,.01,0,0,85,.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5B,0,0,0,0,0,0,.01,5,0,0,0,0,.01,0,.1,1,.1,0,0,.1,0,.01,0,4,0,.1,.01,.01,0,0,0,0,0,0,0,0,0,.1,0,0
5D,0,3,0,0,0,0,.1,.01,0,0,.1,0,0,0,0,.01,.1,0,0,.01,0,0,.1,55,.01,0,0,0,0,0,0,0,0,3,0,.1,0,0,0,0
5F,0,0,0,0,0,.1,.01,0,0,0,0,0,.01,0,0,1,0,0,0,.01,0,0,1,30,.1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
5H,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,.1,10,.01,0,0,0,0,0,.01,0,0,0,0,0,0,.1,0,0
