STAND 1, SURVEY DATE: 2 Sep 1988, OBSERVER:  G.H. La Roi (#1), ROWS: 0,4,6, DATA ENTRY: 19 Dec 1995  (note: GHLR used therm "Old #1"; lotsa new foliage on ARUV; VIAD makes new rosettes in fall?)

QUAD  0A    0C	  0E	0G    0I    0a	  0c	0e    0g    0i	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i
CARO   0.0   0.0   0.01  0.01  0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.1   0.0   0.01  0.01  0.01  0.0   0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
EPAN   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ERGL   0.1   0.0   0.1	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
FRVI   0.1   0.0   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
GABO   0.5   0.1   0.01  0.5   0.1   0.0   0.0	 0.0   0.0   0.0   0.1	 0.5   0.1   0.1   0.1	 0.1   0.0   0.1   0.1	 0.5   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
GELI   0.0   0.0   0.0	 0.1   1.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
HIUM   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.1   0.0   0.0   0.1	 0.0   0.0   0.1   0.1	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
LAOC   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
LIBO   0.0   0.0   0.0	 2.0   3.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.5   4.0   2.0   0.5	 0.5   0.1   0.0   1.0	 0.5   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
LIPH   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
MACA   0.1   0.01  0.1	 0.1   1.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.1   0.1   0.1   0.5	 1.0   0.1   0.5   0.5	 0.5   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ORSE   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.1   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
PYCH   0.0   0.0   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   0.1   0.1   0.5	 0.0   0.0   0.0   0.0	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SOSP   0.1   0.1   0.1	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.1   0.1   0.01  0.1	 0.0   0.0   0.01  0.0	 0.5   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VIAD   0.01  0.01  0.1	 0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.1   0.1   0.1   0.1	 0.0   0.0   0.1   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
CXSI   0.0   0.01  0.0	 0.0   0.01  0.0   0.0	 0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
CXRI   1.0   1.0   0.1	 0.5   0.01  0.0   0.0	 0.0   0.0   0.0   0.5	 0.1   0.5   0.1   0.5	 0.1   0.1   0.1   0.1	 0.5   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0

QUAD  0A    0C	  0E	0G    0I    0i	  0g	0e    0c    0a	  4A	4C    4E    4G	  4I	6I    6G    6E	  6C	6A    6i    6g	  6e	6c    6a    4a	  4c	4e    4g    4i
ELGL   0.01  0.01  0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ELIN   0.0   0.01  0.1	 0.01  0.5   0.0   0.0	 0.0   0.0   0.0   0.1	 0.1   0.1   0.1   0.01  0.0   0.0   0.1   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ORAS   0.01  0.0   0.01  0.1   0.01  0.0   0.0	 0.0   0.0   0.0   0.01  0.01  0.1   0.1   0.1	 0.01  0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ORPU   0.1   0.1   0.1	 0.1   0.01  0.0   0.0	 0.0   0.0   0.0   0.5	 0.1   0.1   0.1   0.1	 0.01  0.01  0.1   0.01  0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
SCPU   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.5   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
EQVA   0.1   0.01  0.01  0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.01  0.01  0.1   0.01  0.0	 0.01  0.1   0.01  0.01  0.1   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
LYCO   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 3.0   2.0   0.0   0.0	 0.0   0.0   0.0   0.1	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
GEAM   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ROWO   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
MELI   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.5	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AGSC   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
ARLY   0.01  0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
VIRE   0.0   0.0   0.0	 0.01  0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
AGSU   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0
temp  54.0  54.0  53.0	53.0  54.0   0.0   0.0	 0.0   0.0   0.0  55.0	55.0  54.0  54.0  54.0	60.0  59.0  58.0  58.0	57.0   0.0   0.0   0.0	 0.0   0.0   0.0   0.0	 0.0   0.0   0.0

