stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
2,NA,NA,1984,55,4,3,1982,
2,NA,NA,1984,57,107,24,1982,
2,NA,NA,1984,59,12,5,1977,
2,NA,NA,1984,91,21,5,1977,
2,NA,NA,1984,97,12,3,1982,
2,NA,NA,1984,98,9,2,1981,
2,NA,NA,1984,403,13,5,1982,
2,NA,NA,1984,405,11,4,1981,
2,NA,NA,1984,406,8,6,1981,
2,NA,NA,1984,408,28,3,,
2,NA,NA,1984,410,12,6,"1982, 1981",
2,NA,NA,1984,413,5,8,1980,
2,NA,NA,1984,415,2,1,,
2,NA,NA,1984,416,10,6,1981,
2,NA,NA,1984,417,11,7,1981,
2,NA,NA,1984,421,19,4,1981,
2,NA,NA,1984,422,22,3,1981,
2,NA,NA,1984,423,22,7,1981,40 male cones
2,NA,NA,1984,424,10,3,1980,
2,NA,NA,1984,425,16,9,1981,
2,NA,NA,1984,426,14,3,1982,
2,NA,NA,1984,427,17,5,1981,
2,NA,NA,1984,428,7,2,1980,
2,NA,NA,1984,431,18,5,1981,
2,NA,NA,1984,433,11,3,1981,
2,NA,NA,1984,434,15,2,,
2,NA,NA,1984,435,55,13,1981,
2,NA,NA,1984,437,4,1,1980,
2,NA,NA,1984,439,41,4,1981,
2,NA,NA,1984,440,11,4,1982,
2,NA,NA,1984,441,14,3,"1983, 1979",
2,NA,NA,1984,444,14,3,"1983, 1982","3 male cones, part dead"
2,NA,NA,1984,445,8,2,,9 male cones
2,NA,NA,1984,446,21,7,1981,
2,NA,NA,1984,448,9,14,1980,
2,NA,NA,1984,449,11,2,1982,
2,NA,NA,1984,453,16,3,1981,
2,NA,NA,1984,455,6,3,1981,
2,NA,NA,1984,457,63,6,,
2,NA,NA,1984,462,4,2,,
2,NA,NA,1984,464,12,3,1982,6 male cones
2,NA,NA,1984,465,14,4,1983,
2,NA,NA,1984,468,12,4,1980,
2,NA,NA,1984,470,6,2,1982,
2,NA,NA,1984,471,9,8,1981,
2,NA,NA,1984,472,16,10,1980,
2,NA,NA,1984,473,7,12,1982,
2,NA,NA,1984,476,16,5,1982,
2,NA,NA,1984,477,12,3,,
2,NA,NA,1984,479,6,1,,
2,NA,NA,1984,482,8,3,1981,7 male cones
2,NA,NA,1984,483,12,3,1982,
2,NA,NA,1984,485,6,2,1981,
2,NA,NA,1984,487,11,4,1978,
2,NA,NA,1984,488,12,7,1981,
2,NA,NA,1984,491,9,4,,
2,NA,NA,1984,492,10,8,,
2,NA,NA,1984,494,7,3,,
2,NA,NA,1984,497,31,4,,
2,NA,NA,1984,603,12,9,,
2,NA,NA,1984,605,6,8,,
2,NA,NA,1984,616,10,3,,
2,NA,NA,1984,617,9,1,,
2,NA,NA,1984,665,11,3,,new seedling
2,NA,NA,1984,679,23,2,,new seedling
2,NA,NA,1984,695,9,1,,
2,NA,NA,1984,708,12,5,1979,
2,NA,NA,1984,711,6,3,1981,
2,NA,NA,1984,712,8,4,1981,
2,NA,NA,1984,715,10,1,1982,aphids
2,NA,NA,1984,719,4,2,1981,
2,NA,NA,1984,721,16,2,1981,
2,NA,NA,1984,733,14,3,1982,
2,NA,NA,1984,738,10,4,1981,
2,NA,NA,1984,759,5,5,1981,
2,NA,NA,1984,761,10,6,1981,
2,NA,NA,1984,771,39,4,1981,
2,NA,NA,1984,787,8,2,1981,
2,NA,NA,1984,789,8,7,1981,
2,NA,NA,1984,794,7,7,1982,
2,NA,NA,1984,798,8,11,"1982, 1981",8 male coles
2,NA,NA,1984,799,10,5,1981,
