stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
7,6,25,1984,718,3,1,,
7,6,25,1984,670,3,1,,
7,6,25,1984,680,10,3,,
7,6,25,1984,687,1,1,,
7,6,25,1984,625,2,1,,
7,6,25,1984,693,60,13,,
7,6,25,1984,627,7,2,,
7,6,25,1984,878,86,23,"1978, 1976",
7,6,25,1984,855,10,5,,
7,6,25,1984,896,13,4,,
7,6,25,1984,899,22,6,,
7,6,25,1984,846,67,17,1982,
7,6,25,1984,802,48,11,,
7,6,25,1984,871,72,17,,
7,6,25,1984,817,42,9,,
7,6,25,1984,840,27,4,,
7,6,25,1984,845,27,5,,
7,6,25,1984,819,105,17,"1977, 1974",
7,6,25,1984,801,90,14,,
7,6,25,1984,860,95,14,1972,
7,6,25,1984,854,6,2,,
7,6,25,1984,832,10,3,,
7,6,25,1984,893,66,11,,
7,6,25,1984,825,19,5,,
7,6,25,1984,816,44,8,,
7,6,25,1984,870,48,9,,
7,6,25,1984,882,45,7,,
7,6,25,1984,867,45,7,,
7,6,25,1984,892,59,16,,
7,6,25,1984,824,46,10,,
7,6,25,1984,836,31,7,,
7,6,25,1984,858,79,17,,
7,6,25,1984,827,93,15,,
7,6,25,1984,890,49,7,,
7,6,25,1984,844,39,6,,
7,6,25,1984,898,28,6,,
7,6,25,1984,869,18,3,1973,
7,6,25,1984,891,155,25,1970,
7,6,25,1984,880,9,3,"1983, 1982, 1981",
7,6,25,1984,884,6,2,,
7,6,25,1984,811,72,11,,
7,6,25,1984,806,38,6,,
7,6,25,1984,828,12,3,,
7,6,25,1984,830,40,17,1977,
7,6,25,1984,895,43,11,,
7,6,25,1984,881,21,5,1983,
7,6,25,1984,870,84,16,,
7,6,25,1984,842,19,6,1981,
7,6,25,1984,885,213,36,,
7,6,25,1984,812,220,40,,
7,6,25,1984,850,60,15,1968,
7,6,25,1984,888,125,23,,
7,6,25,1984,876,43,11,1974,
7,6,25,1984,868,32,6,,
7,6,25,1984,841,24,7,,
7,6,25,1984,862,17,4,,
7,6,25,1984,833,13,3,,
7,6,25,1984,861,15,4,,
7,6,25,1984,886,21,7,,
7,6,25,1984,834,22,7,,
7,6,25,1984,894,16,5,1978,
7,6,25,1984,809,83,16,,
7,6,25,1984,899,80,12,,
7,6,25,1984,872,66,9,,
7,6,25,1984,837,190,29,,
7,6,25,1984,814,8,2,,
7,6,25,1984,848,19,4,,
7,6,25,1984,808,113,19,,
7,6,25,1984,804,35,6,,
7,6,25,1984,851,80,18,1970,
7,6,25,1984,822,151,23,,
7,6,25,1984,818,115,17,,
7,6,25,1984,815,51,14,,
7,6,25,1984,897,65,15,,
7,6,25,1984,823,110,17,,
7,6,25,1984,835,105,23,,
7,6,25,1984,857,205,25,,
7,6,25,1984,873,203,37,,
7,6,25,1984,863,120,17,,
7,6,25,1984,805,270,35,1975,
7,6,25,1984,800,62,15,,
7,6,25,1984,826,89,17,,
7,6,25,1984,877,81,23,,
7,6,25,1984,820,78,16,,
7,6,25,1984,852,12,2,,
7,6,25,1984,32,14,4,"1982, 1981, 1980",
7,6,25,1984,8,19,3,"1981, 1980",
7,6,25,1984,72,29,6,"1980, 1979",
7,6,25,1984,61,19,6,"1982, 1980",
7,6,25,1984,10,22,2,,
7,6,25,1984,3,14,3,1980,
7,6,25,1984,15,12,3,1981,
7,6,25,1984,11,24,4,"1982, 1981, 1980",
7,6,25,1984,27,11,2,,
7,6,25,1984,30,7,2,,
7,6,25,1984,16,9,2,,
7,6,25,1984,82,14,5,,
7,6,25,1984,23,46,14,,
7,6,25,1984,35,21,9,"1982, 1981, 1979",
7,6,25,1984,71,114,22,,
7,6,25,1984,58,44,9,,
7,6,25,1984,81,25,5,,
7,6,25,1984,56,49,13,,
7,6,25,1984,12,9,3,,
7,6,25,1984,47,42,11,,
7,6,25,1984,85,15,4,,
7,6,25,1984,67,15,3,,
7,6,25,1984,88,5,2,,
7,6,25,1984,83,3,1,,
7,6,25,1984,84,20,3,,
7,6,25,1984,60,130,26,,
7,6,25,1984,80,280,31,,
7,6,25,1984,4,8,3,,
7,6,25,1984,6,8,2,1980,
7,6,25,1984,50,8,2,,
7,6,25,1984,1,16,4,1981,
7,6,25,1984,18,5,1,1983,
7,6,25,1984,49,5,1,,
7,6,25,1984,24,2,1,,
7,6,25,1984,75,4,1,,
7,6,25,1984,74,1,1,,
7,6,25,1984,53,1,1,,
7,6,25,1984,22,2,2,,
7,6,25,1984,95,5,1,,
7,6,25,1984,19,2,1,,
7,6,25,1984,66,5,2,,
7,6,25,1984,65,2,1,,
7,6,25,1984,718,5,1,,
7,6,25,1984,670,3,1,,
7,6,25,1984,86,5,1,,
7,6,25,1984,680,17,3,1968,
7,6,25,1984,68,11,3,1982,
7,6,25,1984,69,8,2,,
7,6,25,1984,77,3,1,,
7,6,25,1984,79,7,3,"1982, 1980",
7,6,25,1984,64,195,29,,
7,6,25,1984,92,80,23,,
7,6,25,1984,93,75,21,,
7,6,25,1984,43,4,1,,
7,6,25,1984,76,10,2,,
7,6,25,1984,48,18,1,,
7,6,25,1984,28,4,1,,
7,6,25,1984,687,1,1,,
7,6,25,1984,2,65,14,,
7,6,25,1984,39,1,1,,
7,6,25,1984,38,21,5,,
7,6,25,1984,625,4,1,,
7,6,25,1984,45,23,9,,
7,6,25,1984,41,45,8,,
7,6,25,1984,44,28,7,,
7,6,25,1984,17,94,16,,
7,6,25,1984,94,2,1,,
7,6,25,1984,33,44,11,,
7,6,25,1984,46,127,22,,
7,6,25,1984,37,15,5,,
7,6,25,1984,62,11,4,,
7,6,25,1984,63,27,5,,
7,6,25,1984,51,22,4,,
7,6,25,1984,25,16,2,,
7,6,25,1984,26,10,2,,
7,6,25,1984,693,61,13,,
7,6,25,1984,627,9,2,1982,
7,6,25,1984,29,10,2,,
7,6,25,1984,36,6,3,,
7,6,25,1984,21,9,2,,
7,6,25,1984,31,230,35,,
7,6,25,1984,89,144,30,,
7,6,25,1984,54,50,7,1981,
7,6,25,1984,34,99,24,,
7,6,25,1984,40,112,18,,
7,6,25,1984,829,7,2,1982,
7,6,25,1984,96,20,6,,
7,6,25,1984,4,9,3,,
7,6,25,1984,86,6,1,,
7,6,25,1984,38,22,4,1979,
7,6,25,1984,14,9,2,,
7,6,25,1984,99,9,1,,
7,6,25,1984,5,4,1,,
