stand,east_west,north_south,contour_value
4,4,D,7.46
4,5,D,7.59
4,6,D,6.74
4,7,D,6.2
4,8,D,5.11
4,9,D,4.44
4,10,D,3.77
4,0,E,8.92
4,1,E,8.53
4,2,E,7.53
4,3,E,7.7
4,4,E,7.34
4,5,E,7.8
4,6,E,6.52
4,7,E,6.06
4,8,E,4.86
4,9,E,3.86
4,10,E,3.5
4,0,F,9.3
4,1,F,8.52
4,2,F,7.53
4,3,F,8.18
4,4,F,8.19
4,5,F,7.89
4,6,F,5.99
4,7,F,5.37
4,8,F,4.02
4,9,F,3.7
4,10,F,3.29
4,0,G,9.42
4,1,G,9.25
4,2,G,7.89
4,3,G,8.32
4,4,G,7.41
4,5,G,7.17
4,6,G,5.32
4,7,G,5.16
4,8,G,4.48
4,9,G,4.2
4,10,G,4
4,0,H,10.64
4,1,H,10.49
4,2,H,8.95
4,3,H,8.35
4,4,H,6.61
4,5,H,6.82
4,6,H,5.76
4,7,H,5.29
4,8,H,4.59
4,9,H,4.8
4,10,H,4.42
4,0,I,12.08
4,1,I,11.53
4,2,I,9.23
4,3,I,8.47
4,4,I,6.42
4,5,I,6.38
4,6,I,5.32
4,7,I,5.35
4,8,I,4.58
4,9,I,4.62
4,10,I,4.21
4,0,J,12.52
4,1,J,10.89
4,2,J,8.96
4,3,J,8.98
4,4,J,6.8
4,5,J,6.77
4,6,J,5.46
4,7,J,5.51
4,8,J,4.09
4,9,J,4.42
4,10,J,4.63
4,0,K,12.1
4,1,K,9.65
4,2,K,10.01
4,3,K,10.9
4,4,K,9.41
4,5,K,8.45
4,6,K,6.97
4,7,K,6.2
4,8,K,5.74
4,9,K,5.81
4,10,K,4.88
5,0,A,10
5,1,A,8.72
5,2,A,8.09
5,3,A,7.63
5,4,A,7.33
5,5,A,6.3
5,6,A,5.61
5,7,A,4.83
5,8,A,4.2
5,9,A,3.92
5,10,A,3.59
5,0,B,9.5
5,1,B,8.71
5,2,B,8.24
5,3,B,7.47
5,4,B,6.94
5,5,B,5.72
5,6,B,5.09
5,7,B,4.44
5,8,B,4.13
5,9,B,3.6
5,10,B,3.3
5,0,C,9.27
5,1,C,8.72
5,2,C,8.21
5,3,C,7.47
5,4,C,6.94
5,5,C,5.72
5,6,C,5.09
5,7,C,4.44
5,8,C,4.13
5,9,C,3.6
5,10,C,3.3
5,0,D,9.09
5,1,D,8.55
5,2,D,7.39
5,3,D,6.48
5,4,D,5.77
5,5,D,4.84
5,6,D,4.31
5,7,D,3.81
5,8,D,3.63
5,9,D,3.37
5,10,D,3
5,0,E,9.15
5,1,E,8.19
5,2,E,6.65
