stand,quad,tree_tag,species_code,DBH_1983_cm,base_coord_S_1983_m,base_coord_W_1983_m,year_dead,fallen_stem_length_1983_m,exit_coord_S_1983_m,exit_coord_W_1983_m,year_fallen_1988,age_1983,stem_height_1983_m,stem_lean_amt_scaled_1983,stem_lean_dir_1983,stem_lean_amt_1991,stem_lean_dir_1991,stem_lean_amt_2000,stem_lean_dir_2000,crown_width_NS_1983_m,crown_width_EW_1983_m,height_to_crown_1983_m,fill_perc_1983,BSD_1983_cm,radial_10year_inc_1983_mm,DBH_1991_cm,DBH_2000_cm,height_2000_m,tree_code_2000,fire_code_2000,comments,DBH_2005_cm,height_2005_m,code_2005,lean_amount_2005_degrees,lean_direction_2005,comments_2005,DBH_2010_cm,height_2010_m,code_2010,lean_amount_2010_degrees,lean_direction_2010,comments_2010
1,0F,6232,PIBA,3.8,3.9,1.8,2000,NA,NA,NA,NA,33,6.2,S,SW,NA,NA,NA,NA,0.6,1,1.1,65,NA,4.23,4,4,6.6,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0F,6230,PIBA,10.2,3.6,3.2,NA,NA,NA,NA,NA,NA,11.9,Z,Z,NA,NA,NA,NA,2.1,2.3,4.6,45,NA,NA,11.5,13.3,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0F,6231,PIBA,12,3.3,2.2,NA,NA,NA,NA,NA,NA,12.6,S,SW,NA,NA,NA,NA,2.6,1.8,3.4,60,NA,NA,15.9,18.8,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0F,6229,PIBA,13,2.5,3.5,NA,NA,NA,NA,NA,NA,12.3,Z,Z,NA,NA,NA,NA,2.7,2.6,1.3,50,NA,NA,15.8,17.8,16.4,NA,NA,NA,18.8,17.5,NA,NA,NA,NA,19.5,18.7,NA,NA,NA,NA
1,0G,6228,PIBA,16.5,4.5,3.7,NA,NA,NA,NA,NA,NA,14.5,S,SW,NA,NA,NA,NA,6.7,4.5,3.3,50,NA,NA,19.8,21.8,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0H,6226,PIBA,26.8,0.6,2.4,NA,NA,NA,NA,NA,NA,13.3,Z,Z,NA,NA,NA,NA,7.6,8.2,1.9,45,NA,NA,29.1,30.5,17.5,NA,NA,NA,31.1,18.4,NA,NA,NA,NA,31.6,20,NA,NA,NA,NA
1,0H,6225,PIBA,3,1.5,2.8,2000,NA,NA,NA,NA,27,5.1,S,NW,NA,NA,NA,NA,1.3,1.2,2,20,NA,2.61,3.2,3.1,5.2,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0H,6227,PIBA,4,3.8,0.8,2000,NA,NA,NA,NA,28,8.4,Z,Z,NA,NA,NA,NA,1.7,0.7,3.2,35,NA,4.33,4.3,4.2,8.3,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0H,6224,PIBA,10.5,3.2,3.2,NA,NA,NA,NA,NA,NA,11.8,S,N,NA,NA,NA,NA,2.7,2.7,4.2,45,NA,NA,13.2,16.2,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0I,6285,PIBA,21.8,0.3,2.9,NA,NA,NA,NA,NA,NA,14.3,Z,Z,NA,NA,NA,NA,5.2,3.9,3.9,70,NA,NA,23,24.3,17.7,NA,NA,NA,24.5,18.6,NA,NA,NA,NA,24.5,19.5,NA,NA,NA,dbh checked
1,0I,6283,PIBA,4.2,1.2,5,2000,NA,NA,NA,NA,25,7.2,Z,Z,NA,NA,NA,NA,1.4,1.2,1.5,50,NA,6.5,5,4.9,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0I,6284,PIBA,8.8,1.4,4.3,NA,NA,NA,NA,NA,NA,12.3,S,NW,NA,NA,NA,NA,1.2,1.6,8.6,65,NA,NA,10.9,12.4,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0I,6282,PIBA,14,3.5,4.9,NA,NA,NA,NA,NA,NA,12.3,S,N,NA,NA,NA,NA,4.2,3.2,4.7,35,NA,NA,17.2,19,16.6,NA,NA,NA,20,17.1,NA,NA,NA,NA,21,17.9,NA,NA,NA,NA
1,0I,6286,PIBA,5.8,3,2.1,1982,8.1,4.9,5,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0I,6287,PIBA,2.8,2.1,2.4,1983,3.8,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0J,6281,PIBA,5.5,0.2,1.5,1982,NA,0,2.1,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0J,6278,PIBA,9.2,1.4,1,NA,NA,NA,NA,NA,NA,10.4,S,SW,NA,NA,NA,NA,2.3,2.4,3.6,40,NA,NA,10.3,10.7,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0J,6276,PIBA,13.5,2,2.1,NA,NA,NA,NA,NA,NA,12.6,S,NE,NA,NA,NA,NA,2.6,2,4.7,45,NA,NA,15.5,16.1,16.4,NA,NA,NA,16.1,16.7,NA,NA,NA,NA,16.1,17.3,NA,NA,NA,dbh checked
1,0J,6279,PIBA,7.2,2.1,1.2,NA,NA,NA,NA,NA,29,10.7,S,SW,NA,NA,NA,NA,1.3,1.2,6.3,65,NA,10.4,8.7,9.2,13.5,NA,NA,NA,9.2,13.6,NA,NA,NA,tree looks almost dead,8.9,13.5,DS,NA,NA,dbh checked
1,0J,6277,PIBA,11.8,2.5,1.8,NA,NA,NA,NA,NA,NA,12.9,S,N,NA,NA,NA,NA,2.3,1.3,6,60,NA,NA,12.7,13.3,15.5,NA,NA,NA,13.7,15.7,NA,NA,NA,NA,13.8,15.8,NA,NA,NA,NA
1,0J,6280,PIBA,10.8,4,1.1,NA,NA,NA,NA,NA,NA,12.3,Z,Z,NA,NA,NA,NA,2.7,1.7,4.5,60,NA,NA,12.9,14.7,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,20.3,NA,NA,NA,NA
1,1A,6384,PIBA,5.5,4.9,4,NA,NA,NA,NA,NA,30,5.9,M,E,NA,NA,NA,NA,1.5,1.4,1,75,NA,NA,6.7,7.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.5,LL,15,NE,NA
1,1A,6452,PIBA,8.8,4.8,3.8,NA,NA,NA,NA,NA,NA,11.1,S,S,NA,NA,NA,NA,1.2,1.2,2.5,70,NA,NA,10.8,12.7,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,17.8,NA,NA,NA,NA
1,1A,6451,PIBA,10.5,4.8,3.5,NA,NA,NA,NA,NA,NA,11.5,Z,Z,NA,NA,NA,NA,2.2,1.4,1.8,50,NA,NA,12.9,14.8,15.6,NA,NA,NA,15,16,NA,NA,NA,NA,15.5,17.1,NA,NA,NA,NA
1,1A,6385,PIBA,5.5,4.3,4.2,NA,NA,NA,NA,NA,38,7.2,S,SE,NA,NA,NA,NA,1.6,1.2,1.1,25,NA,5.65,6.4,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1A,6386,PIBA,13.8,2.9,3.1,NA,NA,NA,NA,NA,38,11.8,Z,Z,NA,NA,NA,NA,3.5,2.7,1.2,50,NA,NA,16.2,19.9,16.9,NA,NA,NA,20.6,17.7,NA,NA,NA,NA,21.8,19.7,NA,NA,NA,NA
1,1B,6387,PIBA,13.5,4.6,1.9,NA,NA,NA,NA,NA,37,10.7,Z,Z,NA,NA,NA,NA,4.9,3.9,2.5,30,17.6,10.8,15.8,17.5,15.5,NA,NA,NA,17.7,15.7,DS,NA,NA,looks recently dead,NA,NA,DS,NA,NA,NA
1,1B,6388,PIBA,13.2,3.1,4.1,NA,NA,NA,NA,NA,38,12.3,Z,Z,NA,NA,NA,NA,2.9,2.8,3.4,65,15.8,15.18,15.6,18.9,18.4,NA,NA,NA,19.6,19,NA,NA,NA,NA,20.5,20.6,NA,NA,NA,NA
1,1C,6389,PIBA,11.5,0,4.3,NA,NA,NA,NA,NA,31,13.6,S,E,NA,NA,NA,NA,1.8,2,1.5,80,14.5,14.97,14,15.8,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6,18.2,NA,NA,NA,NA
1,1C,6390,PIBA,8.8,0.1,3.9,NA,NA,NA,NA,NA,23,13.9,S,E,NA,NA,NA,NA,1.2,0.6,3,45,NA,NA,9.5,9.5,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1C,6392,PIBA,6.2,0.7,3.5,NA,NA,NA,NA,NA,25,9.1,Z,Z,NA,NA,NA,NA,1.4,1.2,3.2,50,NA,NA,6.8,7.2,9.4,NA,NA,NA,6.8,9.4,DS,NA,NA,dbh checked,NA,NA,DS,NA,NA,NA
