"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"4","0A","468","PIGL",34.8,NA,"0.1","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.1","41","27.5",NA,NA,""
"4","0A","469","ABBA",4.8,NA,"0.7",NA,"0.8",NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.2","6.1","6.9",NA,NA,""
"4","0A","470","PIGL",24.2,NA,"2",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.6","28.7","24.3",NA,NA,""
"4","0A","467","PIGL",6.8,NA,"2.4","1.4",NA,"1981","8.1",NA,"2",NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,"DD",NA,""
"4","0A","465","PIGL",5,"0.7",NA,NA,"2.2","1981","2.3","1",NA,"1.5",NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"Data is different than the original data sheet, but left as is, b/c it is the original data entry (2003)"
"4","0A","464","PIGL",18.5,"1.3",NA,NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.2","19.3","18.4",NA,NA,""
"4","0A","466","POTR",22.2,"2.1",NA,"1",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.8",NA,NA,"DB1",NA,""
"4","0B","471","PIGL",50,NA,"0.1","2",NA,"2000",NA,NA,NA,NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.1",NA,NA,"DB2",NA,"Broken stem (2000)"
"4","0B","476","PIGL",13.8,NA,"0.5","0.3",NA,"1991","16.9",NA,NA,"0.2",NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.3",NA,NA,"DD",NA,"Data is different than the original data sheet, but left as is, b/c it is the original data entry (2003)"
"4","0B","472","PIGL",4.5,"0.4",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.46","5","5.8",NA,"LL",NA,"Moved S base coord of 2.0 to E."
