"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"1","0C","6602","PIBA",14.8,NA,"2","2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.8","S","S",NA,NA,NA,NA,"5.2","3.9","1.2","40",NA,NA,"19","22.1","16.8",NA,NA,NA
"1","0C","6239","PIBA",11.2,"0",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.5","S","SW",NA,NA,NA,NA,"1.9","2","5","60",NA,NA,"14.3","17","17.8",NA,NA,NA
"1","0C","6601","PIBA",22,"0.1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"12.8","O","Z",NA,NA,NA,NA,"5","5.2","1.6","30",NA,NA,"23.1","23.8","16.3",NA,NA,NA
"1","0C","6600","PIBA",7.2,"0.1",NA,NA,"2.4","2000",NA,NA,NA,NA,NA,NA,"31","9.6","O","Z",NA,NA,NA,NA,"1.8","1.5","1.6","12",NA,"8.65","7.5","7.5","10.8","DD",NA,NA
"1","0D","6237","PIBA",12,NA,"0","2",NA,NA,NA,NA,NA,NA,NA,NA,"31","11.7","O","Z",NA,NA,NA,NA,"2.7","4.5","1.2","65",NA,NA,"14.6","17.4","16.9",NA,NA,"new_tag:_8009_(tagged_in_2000)"
"1","0D","6236","PIBA",9.2,NA,"1.2","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.6","O","Z",NA,NA,NA,NA,"3","2","3.9","25",NA,NA,"11.8","13.7","16.2",NA,NA,NA
"1","0D","6238","PIBA",18.5,"0.1",NA,NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,"14.2","O","Z",NA,NA,NA,NA,"5.3","3.9","2.1","65",NA,NA,"22.3","24.8","18.9",NA,NA,"new_tag:_8008_(tagged_in_2000)"
"1","0F","6235","PIBA",9.5,"0.3",NA,NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,"12.7","S","SW",NA,NA,NA,NA,"0.7","0.9","4.8","60",NA,NA,"11.4","12.8","18.7",NA,NA,NA
"1","0F","6234","PIBA",2.8,"0.7",NA,NA,"1.9","1984","5.3","0",NA,NA,"2.2",NA,"19","4.9","S","N",NA,NA,NA,NA,"0.5","0.5","1.3","8",NA,"8.02","3",NA,NA,"DD",NA,NA
"1","0F","6233","PIBA",3.8,"0.8",NA,NA,"1.8","2000",NA,NA,NA,NA,NA,NA,"31","5.4","S","SW",NA,NA,NA,NA,"0.5","0.8","1.2","35",NA,"3.33","4.3","4.1","5.7","DD",NA,NA
"1","0F","6232","PIBA",3.8,"1.1",NA,NA,"1.8","2000",NA,NA,NA,NA,NA,NA,"33","6.2","S","SW",NA,NA,NA,NA,"0.6","1","1.1","65",NA,"4.23","4","4","6.6","DD",NA,NA
"1","0F","6230","PIBA",10.2,"1.4",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.9","O","Z",NA,NA,NA,NA,"2.1","2.3","4.6","45",NA,NA,"11.5","13.3","15.1",NA,NA,NA
"1","0F","6231","PIBA",12,"1.7",NA,NA,"2.2",NA,NA,NA,NA,NA,NA,NA,NA,"12.6","S","SW",NA,NA,NA,NA,"2.6","1.8","3.4","60",NA,NA,"15.9","18.8","17.9",NA,NA,NA
"1","0F","6229","PIBA",13,"2.5",NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.3","O","Z",NA,NA,NA,NA,"2.7","2.6","1.3","50",NA,NA,"15.8","17.8","16.4",NA,NA,NA
"1","0G","6228","PIBA",16.5,"0.5",NA,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.5","S","SW",NA,NA,NA,NA,"6.7","4.5","3.3","50",NA,NA,"19.8","21.8","18.3",NA,NA,NA
"1","0H","6226","PIBA",26.8,NA,"0.6",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,"13.3","O","Z",NA,NA,NA,NA,"7.6","8.2","1.9","45",NA,NA,"29.1","30.5","17.5",NA,NA,NA
"1","0H","6225","PIBA",3,NA,"1.5",NA,"2.8","2000",NA,NA,NA,NA,NA,NA,"27","5.1","S","NW",NA,NA,NA,NA,"1.3","1.2","2","20",NA,"2.61","3.2","3.1","5.2","DD",NA,NA
"1","0H","6227","PIBA",4,"1.2",NA,NA,"0.8","2000",NA,NA,NA,NA,NA,NA,"28","8.4","O","Z",NA,NA,NA,NA,"1.7","0.7","3.2","35",NA,"4.33","4.3","4.2","8.3","DD",NA,NA
"1","0H","6224","PIBA",10.5,"1.8",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.8","S","N",NA,NA,NA,NA,"2.7","2.7","4.2","45",NA,NA,"13.2","16.2","17.3",NA,NA,NA
"1","0I","6285","PIBA",21.8,NA,"0.3","2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.3","O","Z",NA,NA,NA,NA,"5.2","3.9","3.9","70",NA,NA,"23","24.3","17.7",NA,NA,NA
"1","0I","6283","PIBA",4.2,NA,"1.2","0",NA,"2000",NA,NA,NA,NA,NA,NA,"25","7.2","O","Z",NA,NA,NA,NA,"1.4","1.2","1.5","50",NA,"6.5","5","4.9","7.7",NA,NA,NA
