"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"5","0D","2293","POTR",22.5,NA,"0.6",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.9","25","19.6",NA,NA,""
"5","0D","2686","POTR",7.8,NA,"0.8",NA,"0.5","1982","4.5","0.8",NA,NA,"1.2","1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3",NA,NA,"DD",NA,""
"5","0D","2622","POTR",21,NA,"2",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","24.3",NA,"LL",NA,""
"5","0D","2624","PIGL",20.2,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.2","26.5","16.8",NA,NA,""
"5","0D","2623","PIGL",10.5,"0.2",NA,NA,"2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.3","10","9.7",NA,NA,""
"5","0D","2682","POTR",7.5,"0.4",NA,"1.6",NA,"1982","5.5","2.3",NA,"0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2",NA,NA,"DD",NA,""
"5","0D","2621","POTR",11.8,"0.8",NA,NA,"1.6","1982","14.2","1.9",NA,"0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"Original_data_sheet_had_the_length_number_-_spreadsheet_is_corrected_to_match_(2003)"
"5","0D","2619","POTR",17,"1.2",NA,NA,"0.8","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.8","17.9",NA,"DB2",NA,""
"5","0E","2257","POTR",11,NA,"0.3","1.4",NA,"1982","12.9",NA,"0","1.2",NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.9",NA,NA,"DD",NA,"2.5_m_snag,_exit_coordinates_=_top_=_53.8_(1991);_data_is_different_than_the_original_data_sheet,_but_left_as_is,_b/c_it_is_the_original_data_entry_(2003)"
"5","0E","2294","POTR",11.8,NA,"1.4",NA,"1.2","1982","2.5",NA,"0.5",NA,"0","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.1",NA,NA,"DD",NA,""
