"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"8","0A","3689","PIMA",4.2,NA,"0.5","1.6",NA,"1982","5.2",NA,"2.5","0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.7",NA,NA,"DD",NA,""
"8","0A","3688","PIMA",5.2,NA,"0.6",NA,"1.6","1982","4.4",NA,"0.4","0",NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.6",NA,NA,"DD",NA,""
"8","0A","3687","PIMA",8,NA,"1.1",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,"8.4","M","S",NA,NA,NA,NA,"1.8","1.4","2.5","70",NA,NA,"3.8","11.4","9",NA,NA,""
"8","0A","3788","PIMA",5.5,NA,"1.5","0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","L","NE","10","NE",NA,NA,"1.8","2.2","4.2","45",NA,NA,"2.6","8.7","8.7","LL",NA,""
"8","0A","3787","PIMA",7.2,NA,"1.6","0.3",NA,"1982","6.2",NA,"0","0",NA,"1985",NA,"6.6",NA,NA,NA,NA,NA,NA,NA,NA,"6.6",NA,NA,NA,"2.9",NA,NA,"DD",NA,""
"8","0A","3686","PIMA",5.8,NA,"2.3",NA,"0.8","1982","8",NA,"2.4",NA,"0","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"The length was recorded in the original data sheet as 0.8, must be a typo - entered length as 8.0 in the spreadsheet (2003)"
"8","0A","3690","PIMA",2.8,NA,"2.5","1",NA,"1982","2.5","1.4",NA,NA,"1.6","1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"DD",NA,""
"8","0A","3793","PIMA",8.5,"0.2",NA,NA,"0.1","1984",NA,NA,NA,NA,NA,NA,NA,"8.6",NA,NA,NA,NA,NA,NA,NA,NA,"8.6",NA,NA,NA,"3",NA,NA,"DD",NA,""
"8","0A","3682","PIMA",5.5,"0.6",NA,NA,"0.3","1982",NA,NA,NA,NA,NA,NA,NA,"7.1",NA,NA,NA,NA,NA,NA,NA,NA,"7.1",NA,NA,NA,"2.2",NA,NA,"DD",NA,""
"8","0A","3792","PIMA",8.8,"0.6",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.6","O","Z",NA,NA,NA,NA,"1.1","1.5","3.6","65",NA,NA,"3.5","9.6","11.5",NA,NA,""
