"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"3","0A","404","PIBA",20.8,"0.3",NA,NA,"1.7",NA,NA,NA,NA,NA,NA,NA,NA,"27","S","W",NA,NA,NA,NA,"3.3","4.2","8","75",NA,NA,"23","24","19.6",NA,NA,"broken top (2000)"
"3","0A","403","PIBA",22,"0.5",NA,NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,"23.4","S","SE",NA,NA,NA,NA,"3","3.1","13","70",NA,NA,"24.7","25.9","19.7",NA,NA,""
"3","0A","405","PIBA",18.5,"1",NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","S","E",NA,NA,NA,NA,"3.3","3.7","12","70",NA,NA,"20.5","21.8","19.6",NA,NA,"broken top (2000)"
"3","0A","406","PIBA",19.2,"1.5",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","M","SW",NA,NA,NA,NA,"4","4.6","10","50",NA,NA,"21","21.6","19.6",NA,NA,"broken (2000)"
"3","0A","402","PIBA",13.8,"1.8",NA,NA,"0.2","1981","6.9","2.2",NA,"0",NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.8",NA,NA,"DD",NA,""
"3","0B","407","PIBA",9,NA,"0.1",NA,"1.2","1981",NA,NA,NA,NA,NA,NA,NA,"5","O","Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.3","9.5","4.8","DB2",NA,"Top off (2000)"
"3","0B","409","PIBA",6.8,NA,"0.3",NA,"1.3","1981","6.9",NA,"0",NA,"2","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.4",NA,NA,"DD",NA,""
"3","0B","410","PIBA",9.2,NA,"0.3",NA,"1.7","1981","12.7",NA,"0",NA,"1.7","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.1",NA,NA,"DD",NA,"Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)"
"3","0B","411","PIBA",10.8,NA,"1.2",NA,"2","1981","10.6","2.4",NA,"0",NA,"1985",NA,"6.3","O","Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.7",NA,NA,"DD",NA,"Had a 1 in a column in front of the year fallen - unknown data therefore deleted the column (2003)"
"3","0B","412","PIBA",9,NA,"1.9","1.8",NA,"1981","7",NA,"0.4","0",NA,"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.1",NA,NA,"DD",NA,""
