STAND 6, SURVEY DATE: 21 & 22 Sep 2001, OBSERVERS: Kim Ozeroff, Beth _____ (#_ & #_), ROWS: 0,2,4,6,8, DATA ENTRY: 09 2002 (note: KO used soil thermistor in Celsius; GHLR converted
        temp data entries to Fahrenheit; Quads 0A-6A done on 21 Sep, Quads 8A-8I on 22 Sep; KO's data transcribed to "standard" field data forms by GHLR; this stand was burned by
        the Chisholm Fire of May 2001; virtually all above-ground plant tissue was killed, charred, vaporized, etc.)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i

ABBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BEPA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIGL   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POBA   0.0   0.5   0.1   0.1   0.05  0.05  0.01  0.01  0.0   0.0   0.0   0.01  0.0   0.1   0.0   0.01  0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POTR   4.0   1.0   4.0   2.0  12.0   5.0  40.0  15.0   5.0   4.0   1.0   1.0   8.0   4.0   6.0   1.0   0.5   0.1   8.0  50.0   2.0   1.0   0.5   3.0   8.0   0.0   0.0   0.0   0.0   0.0
AMAL   0.0   0.01  0.0   0.0   0.02  0.0   0.05  0.0   0.0   0.05  0.0   0.0   0.0   0.0   0.02  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LEGR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LODI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOIN   0.01  0.05  0.05  0.25  0.05  0.05  1.0   0.0   0.1   0.5   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PRPE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
