quad,stand,stand_size,year,AULPAL,BRASAL,CERPUR,DICPOL,DICSCO,DITFLE,DREUNC,EURPUL,HYLSPL,ORTFLA,PLESCH,POHNUT,POLJUN,POLPIL,PTICIL,PTIPUL,PTICC,SPLSPP,TETANG,TOMNIT,CETCUC,CETERI,CETNIV,CLAMIT,CLARAN,CLASTE,CLAAMA,CLACAP,CLACAR,CLACEN,CLACHL,CLACOC,CLACON,CLACOR,CLACRP,CLACRT,CLAGON,CLAGRA,CLAMUL,CLAPHY,CLAPYX,CLASQU,CLASUB,CLAUNC,CLAVER,PELAPH,PELMAL,PELPUL,PELRUF,STEALP,BRYSPP,CETHAL,CETPIN,EVEMES,HYPPHY,PARELE,PARSUL,PARAMB,PARHYP,PLAGLA,USNSPP,LECGRA
8G,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.01,NA,1,NA,NA,NA,NA,NA,NA,0.01,0.01,NA,NA,NA,0.01,NA,0.01,NA,0.1,0.1,NA,NA,NA,NA,NA,2,NA,0.01,NA,0.01,NA,0.01,NA,0.1,NA,NA,0.01,NA,NA,0.01,NA
8I,FS,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,30,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.1,NA,0.1,NA,2,0.1,NA,NA,NA,0.01,NA,2,NA,NA,0.01,NA,NA,0.01,NA,NA,NA,NA,0.01,NA,NA,NA,0.1
0A,FD,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,80,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,0.1,NA,0.1,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,0.01,0.1,0.01,0.01,0.1,NA,NA,0.01,0.01,NA,0.01,NA
0C,FD,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,75,NA,2,NA,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,NA,0.01,NA,0.1,NA,NA,NA,0.1,NA,NA,1,NA,NA,NA,0.01,0.1,0.01,0.01,0.1,NA,NA,0.01,0.01,NA,0.1,NA
0E,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,0.1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,85,0.1,1,0.01,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,0.1,0.1,0.01,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,1,NA
0G,FD,25,1982,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.01,80,NA,0.1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0.1,0.1,0.1,0.1,NA,NA,NA,NA,0.01,NA,2,NA,NA,NA,0.1,0.1,0.01,0.01,0.01,NA,0.01,0.01,0.01,NA,0.01,NA
0I,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,85,NA,0.1,NA,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,0.01,0.01,0.01,0.1,NA,NA,NA,1,NA,0.1,5,NA,NA,NA,0.01,0.1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.01,NA
4A,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,NA,80,NA,0.1,0.01,NA,NA,NA,0.01,NA,NA,1,NA,0.01,NA,0.1,NA,0.1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0.01,1,0.01,0.01,0.01,NA,NA,0.01,0.01,NA,0.1,NA
4C,FD,25,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.1,NA,85,NA,0.1,0.01,NA,NA,NA,0.01,NA,NA,0.1,NA,NA,0.01,1,NA,0.01,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,0.01,0.01,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.1,NA
4E,FD,25,1982,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,70,NA,0.1,0.01,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,NA,0.1,0.01,0.1,NA,NA,NA,20,NA,NA,1,NA,NA,NA,0.01,0.1,0.01,0.01,0.1,NA,0.01,0.01,0.01,NA,0.1,NA
