repaired_name_1980,sp_name_1980,accepted_name,species,notes,kingdom,class,order,family,genus,code,division
Cetraria pinastri,Cetraria pinastri,Vulpicida pinastri,pinastri,NA,Fungi,Lecanoromycetes,Lecanorales,Parmeliaceae,Vulpicida,CETPIN,Ascomycota
Cladonia capitata,Cladonia capitata,Cladonia peziziformis,peziziformis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACAP,Ascomycota
Cladonia cenotea,Cladonia cenotea,Cladonia cenotea,cenotea,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACEN,Ascomycota
Cladonia chlorophaea,Cladonia chlorophaea,Cladonia chlorophaea,chlorophaea,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACHL,Ascomycota
Cladonia coccifera,Cladonia coccifara,Cladonia coccifera,coccifera,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACOC,Ascomycota
Cladonia coniocraea,Cladonia coniocraea,Cladonia coniocraea,coniocraea,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACON,Ascomycota
Cladonia cornuta,Cladonia cornuta,Cladonia cornuta,cornuta,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACOR,Ascomycota
Cladonia cristatella,Cladonia cristatella,Cladonia cristatella,cristatella,Mis-spelled? Makes the most sense… the T could have been easily misread as I,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACRI,Ascomycota
Cladonia crispata,Cladonia crispata,Cladonia crispata,crispata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLACRP,Ascomycota
Ptilidium crista-castrensis,Cladonia cristatella,Ptilidium crista-castrensis,crista-castrensis,NA,Plantae,Jungermanniopsida,Ptilidiales,Ptilidiaceae,Ptilidium,CLACRT,Marchantiophyta
Cladonia fimbriata,Cladonia fimbriata,Cladonia fimbriata,fimbriata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAFIM,Ascomycota
Cladonia furcata,Cladonia furcata,Cladonia furcata,furcata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAFUR,Ascomycota
Cladonia gonecha,Cladonia gonecha,Cladonia sulphurina,sulphurina,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAGON,Ascomycota
Cladonia gracilis,Cladonia gracilis,Cladonia gracilis,gracilis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAGRA,Ascomycota
Cladina mitis,Cladina mitis,Cladonia mitis,mitis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAMIT,Ascomycota
Cladonia multiformis,Cladonia multiformis,Cladonia multiformis,multiformis,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAMUL,Ascomycota
Cladonia phyllophora,Cladonia phyllophora,Cladonia phyllophora,phyllophora,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAPHY,Ascomycota
Cladonia pyxidata,Cladonia pyxidata,Cladonia pyxidata,pyxidata,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLAPYX,Ascomycota
Cladina rangiferina,Cladina rangiferina,Cladonia rangiferina,rangiferina,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLARAN,Ascomycota
Cladonia scabriuscula,Cladonia scabriusculata,Cladonia scabriuscula,scabriuscula,Misspelling?,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASEA,Ascomycota
Cladonia,Cladonia,Cladonia,NA,NA,Fungi,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,CLASP,Ascomycota
