stand,sensor_id,temp_C,matric_potential_bars,date
1,2,9,0.4302,1984-07-02
1,9,7.36,5.4747,1984-07-02
1,14,16.58,8.283,1984-07-02
1,29,8.51,0.028,1984-07-02
1,6,8.89,14.0377,1984-07-02
2,3,12.65,0.0817,1984-07-02
2,30,4.55,10.7299,1984-07-02
2,23,12.5,1.9867,1984-07-02
2,25,11.23,8.7134,1984-07-02
3,18,5,10.3214,1984-07-02
3,12,4.55,13.7519,1984-07-02
1,14,12.93,6.4938,1984-07-11
1,36,9.67,0.6432,1984-07-11
1,9,8.89,2.9015,1984-07-11
1,6,8.12,4.8523,1984-07-11
1,2,10.99,0.394,1984-07-11
1,29,10.46,2.1339,1984-07-11
2,22,11.23,4.3923,1984-07-11
2,25,14.25,5.4161,1984-07-11
2,23,16.1,2.0388,1984-07-11
2,30,5.29,13.0669,1984-07-11
2,3,9.4,1.0183,1984-07-11
3,26,11.65,5.1605,1984-07-11
3,12,5.29,14.1959,1984-07-11
3,18,5,8.0509,1984-07-11
1,2,11.4,0.4394,1984-07-20
1,36,10.86,5.0402,1984-07-20
1,6,12.49,7.569,1984-07-20
1,9,8.89,5.3545,1984-07-20
2,25,12.93,6.0514,1984-07-21
2,22,11.23,8.0513,1984-07-21
2,30,6.04,14.6177,1984-07-21
2,3,10.59,0.9535,1984-07-21
3,26,10.82,22.0799,1984-07-21
3,12,5.67,27.9969,1984-07-21
3,18,5.75,8.6398,1984-07-21
1,2,13.93,0.4475,1984-08-06
1,9,11.67,7.1311,1984-08-06
2,3,12.23,1.1708,1984-08-06
3,18,6.51,10.9301,1984-08-06
3,18,7.64,4.1955,1984-08-16
3,12,6.41,9.173,1984-08-16
3,26,12.07,3.4571,1984-08-16
1,36,8.51,0.2369,1984-08-17
1,2,12.65,0.4729,1984-08-17
1,14,21.33,5.7644,1984-08-17
1,9,10.46,5.8325,1984-08-17
2,23,14.25,3.4758,1984-08-17
2,25,13.81,6.4281,1984-08-17
2,3,14.82,0.111,1984-08-17
1,2,10.99,0.4475,1984-08-31
1,36,8.12,0.0676,1984-08-31
1,9,8.89,6.4583,1984-08-31
1,29,8.89,0.5831,1984-08-31
2,3,12.65,1.4713,1984-08-31
2,25,10.82,4.3999,1984-08-31
3,12,4.92,6.2588,1984-09-06
3,26,10.82,2.6031,1984-09-06
3,18,5.38,9.0613,1984-09-06
1,6,5.84,9.0723,1984-09-15
1,2,8.61,0.5225,1984-09-15
1,36,6.21,0.0721,1984-09-15
1,14,6.42,6.3717,1984-09-15
1,9,7.36,4.3949,1984-09-15
1,29,5.08,4.3127,1984-09-15
2,30,4.18,3.4331,1984-09-15
2,3,7.45,0.8851,1984-09-15
2,25,7.21,7.1026,1984-09-15
2,22,8,1.7252,1984-09-15
2,23,8.39,2.7134,1984-09-15
3,12,3.43,2.698,1984-09-15
3,26,7.21,4.8353,1984-09-15
3,18,4.25,9.9939,1984-09-15
1,36,3.18,0.1256,1984-09-29
1,9,4.7,5.2305,1984-09-29
1,29,3.94,2.2076,1984-09-29
1,6,3.18,11.9413,1984-09-29
1,2,5.53,0.6029,1984-09-29
1,14,6.82,11.2416,1984-09-29
2,25,4.08,8.6749,1984-09-29
2,22,5.64,3.1995,1984-09-29
2,30,2.31,4.637,1984-09-29
2,23,6.82,13.2914,1984-09-29
2,3,4.76,0.0663,1984-09-29
3,12,0.41,4.5847,1984-09-29
3,26,4.08,6.7812,1984-09-29
3,18,2.36,11.8676,1984-09-29
