stand,quadrat,tree_tag,dead,height_m,age,dbh_m,sp_codes
3,2A,409,l,NA,NA,12.44599328,PIBA
3,2B,410,l,NA,NA,8.889995199,PIBA
3,2B,411,l,NA,NA,10.41399438,PIBA
3,2B,413,l,NA,NA,13.96999246,PIBA
3,2B,412,l,NA,NA,8.889995199,PIBA
3,2B,414,l,NA,NA,8.635995337,PIBA
3,2B,415,l,NA,NA,8.889995199,PIBA
3,2B,416,l,NA,NA,10.41399438,PIBA
3,2C,101,l,NA,NA,4.317997668,PIBA
3,2C,417,l,NA,NA,4.063997805,PIBA
3,2C,418,l,NA,NA,8.635995337,PIBA
3,2C,420,l,NA,NA,10.66799424,PIBA
3,2C,419,l,NA,NA,8.889995199,PIBA
3,2C,428,l,NA,NA,10.66799424,PIBA
3,2C,421,l,11.4,38,12.19199342,PIBA
3,2C,422,l,NA,NA,11.17599396,PIBA
3,2C,120,l,NA,NA,6.349996571,PIBA
3,2D,424,l,NA,NA,11.42999383,PIBA
3,2D,425,l,NA,NA,11.42999383,PIBA
3,2D,426,d,NA,NA,7.365996022,PIBA
3,2D,427,l,NA,NA,8.889995199,PIBA
3,2D,429,l,NA,NA,7.365996022,PIBA
3,2D,432,l,NA,NA,7.365996022,PIBA
3,2D,431,l,NA,NA,8.889995199,PIBA
3,2E,434,l,NA,NA,6.603996434,PIBA
3,2E,433,l,NA,NA,13.96999246,PIBA
3,2E,435,d,NA,NA,11.42999383,PIBA
3,2E,436,l,NA,NA,6.603996434,PIBA
3,2E,437,l,NA,NA,7.365996022,PIBA
3,2F,439,l,NA,NA,6.095996708,PIBA
3,2F,440,l,NA,NA,8.635995337,PIBA
3,2F,441,l,NA,NA,10.15999451,PIBA
3,2F,442,l,NA,NA,12.44599328,PIBA
3,2F,443,l,NA,NA,11.68399369,PIBA
3,2F,444,l,NA,NA,15.23999177,PIBA
3,2G,447,l,NA,NA,7.619995885,PIBA
3,2G,445,l,NA,NA,16.00199136,PIBA
3,2G,446,l,NA,NA,11.68399369,PIBA
3,2G,448,l,NA,NA,12.44599328,PIBA
3,2G,449,l,NA,NA,12.19199342,PIBA
3,2G,451,l,NA,NA,14.47799218,PIBA
3,2G,452,l,NA,NA,7.11199616,PIBA
3,2G,453,l,NA,NA,12.953993,PIBA
3,2H,454,l,NA,NA,10.9219941,PIBA
3,2H,455,l,NA,NA,13.46199273,PIBA
3,2H,456,l,NA,NA,15.49399163,PIBA
3,2H,457,l,NA,NA,11.17599396,PIBA
3,2H,458,l,NA,NA,9.905994651,PIBA
3,2H,459,l,NA,NA,20.31998903,PIBA
3,2I,450,l,NA,NA,11.68399369,PIBA
3,2I,460,l,NA,NA,12.44599328,PIBA
3,2J,461,l,NA,NA,14.98599191,PIBA
3,2J,462,l,NA,NA,13.20799287,PIBA
3,2J,463,l,NA,NA,12.953993,PIBA
3,3J,464,l,7.6,33,9.143995062,PIBA
3,3J,466,l,NA,NA,14.98599191,PIBA
3,3J,465,l,NA,NA,7.365996022,PIBA
3,3J,467,l,NA,NA,8.381995474,PIBA
3,3J,468,l,NA,NA,10.9219941,PIBA
3,3J,469,l,NA,NA,14.73199204,PIBA
3,3I,471,l,NA,NA,10.15999451,PIBA
3,3I,470,l,NA,NA,9.397994925,PIBA
3,3G,474,l,NA,NA,19.55798944,PIBA
3,3G,473,l,NA,NA,16.00199136,PIBA
3,3E,475,l,NA,NA,15.49399163,PIBA
3,3E,476,l,NA,NA,10.66799424,PIBA
3,3E,477,l,NA,NA,15.23999177,PIBA
3,3E,478,l,NA,NA,7.619995885,PIBA
3,3D,476,l,NA,NA,16.50999108,PIBA
3,3C,482,d,NA,NA,7.873995748,PIBA
3,3C,481,l,NA,NA,14.73199204,PIBA
3,3C,480,l,NA,NA,14.98599191,PIBA
3,3B,483,l,NA,NA,12.69999314,PIBA
3,3B,484,l,NA,NA,12.19199342,PIBA
3,3B,485,l,NA,NA,7.365996022,PIBA
3,3A,486,l,NA,NA,12.69999314,PIBA
3,3A,487,l,NA,NA,8.635995337,PIBA
3,3A,488,l,NA,NA,4.825997394,PIBA
3,3A,489,l,11.3,37,12.69999314,PIBA
3,3A,490,l,NA,NA,12.69999314,PIBA
3,3A,491,l,NA,NA,10.15999451,PIBA
3,3A,493,d,NA,NA,7.619995885,PIBA
3,3A,494,l,NA,NA,12.44599328,PIBA
3,4A,495,l,NA,NA,8.127995611,PIBA
3,4A,492,l,NA,NA,9.651994788,PIBA
3,4B,497,l,NA,NA,15.7479915,PIBA
3,4B,496,l,NA,NA,13.20799287,PIBA
3,4B,499,l,NA,NA,11.42999383,PIBA
3,4B,498,l,NA,NA,15.23999177,PIBA
3,4B,500,l,NA,NA,14.47799218,PIBA
3,4B,501,l,NA,NA,8.889995199,PIBA
3,4C,502,l,NA,NA,13.71599259,PIBA
3,4D,503,l,NA,NA,10.41399438,PIBA
3,4D,504,l,NA,NA,14.73199204,PIBA
3,4E,505,l,NA,NA,19.30398958,PIBA
3,4E,506,l,NA,NA,13.20799287,PIBA
3,4E,507,l,NA,NA,12.69999314,PIBA
3,4E,508,l,NA,NA,6.095996708,PIBA
3,4E,510,l,NA,NA,15.49399163,PIBA
3,4F,511,l,NA,NA,11.68399369,PIBA
3,4H,512,l,NA,NA,17.01799081,PIBA
3,4I,513,l,NA,NA,19.30398958,PIBA
3,4I,514,l,NA,NA,17.52599054,PIBA
3,4J,512,l,NA,NA,13.96999246,PIBA
3,4J,516,l,10.7,37,12.69999314,PIBA
3,5H,517,l,NA,NA,19.55798944,PIBA
3,5G,518,l,NA,NA,16.50999108,PIBA
3,5F,519,l,NA,NA,20.31998903,PIBA
3,5E,520,l,NA,NA,19.8119893,PIBA
3,5D,521,l,NA,NA,9.905994651,PIBA
3,5D,522,l,NA,NA,7.365996022,PIBA
3,5D,523,l,NA,NA,13.96999246,PIBA
3,5C,524,l,NA,NA,12.19199342,PIBA
3,5C,525,l,NA,NA,14.47799218,PIBA
3,5C,526,l,NA,NA,12.44599328,PIBA
3,5A,527,l,10.3,36,15.23999177,PIBA
3,5A,528,l,NA,NA,13.96999246,PIBA
3,6A,529,l,12.5,37,21.58998834,PIBA
3,6C,530,l,NA,NA,19.8119893,PIBA
3,6C,531,l,NA,NA,16.76399095,PIBA
3,6C,533,l,NA,NA,8.127995611,PIBA
3,6C,532,l,NA,NA,17.01799081,PIBA
3,6E,534,l,NA,NA,13.46199273,PIBA
3,6I,535,l,NA,NA,16.76399095,PIBA
3,6J,536,l,NA,NA,12.69999314,PIBA
3,6J,539,l,NA,NA,18.54198999,PIBA
3,6J,537,l,NA,NA,15.23999177,PIBA
3,7J,540,l,NA,NA,13.46199273,PIBA
3,7J,577,l,NA,NA,7.11199616,PIBA
3,7I,509,d,NA,NA,13.71599259,PIBA
3,7F,541,l,9.6,32,17.01799081,PIBA
3,7D,542,l,NA,NA,18.79598985,PIBA
3,7C,543,l,NA,NA,14.22399232,PIBA
3,7C,544,l,10.2,37,13.71599259,PIBA
3,7B,545,l,NA,NA,17.27199067,PIBA
3,7A,546,l,NA,NA,18.28799012,PIBA
3,8A,547,l,NA,NA,12.953993,PIBA
3,8B,548,l,NA,NA,10.41399438,PIBA
3,8B,549,l,NA,NA,13.46199273,PIBA
3,8B,550,l,NA,NA,12.953993,PIBA
3,8B,551,l,NA,NA,18.03399026,PIBA
3,8B,552,l,NA,NA,7.619995885,PIBA
3,8C,553,l,NA,NA,13.71599259,PIBA
3,8E,554,l,NA,NA,20.31998903,PIBA
3,8F,555,l,NA,NA,23.87598711,PIBA
3,8G,556,l,NA,NA,19.8119893,PIBA
3,8H,557,l,NA,NA,17.01799081,PIBA
3,8I,558,l,NA,NA,14.22399232,PIBA
3,8I,559,l,NA,NA,14.47799218,PIBA
3,8J,560,l,NA,NA,13.96999246,PIBA
3,9J,561,l,NA,NA,14.47799218,PIBA
3,9J,562,l,NA,NA,7.11199616,POTR
3,9I,564,l,NA,NA,4.317997668,POTR
3,9H,565,l,NA,NA,16.50999108,PIBA
3,9G,566,l,NA,NA,21.58998834,PIBA
3,9G,567,l,NA,NA,9.651994788,PIBA
3,9F,568,l,NA,NA,14.22399232,PIBA
3,9D,569,l,NA,NA,21.33598848,PIBA
3,9B,570,l,NA,NA,14.22399232,PIBA
3,9B,571,l,NA,NA,12.19199342,PIBA
3,9A,572,l,NA,NA,13.96999246,PIBA
3,9A,578,l,NA,NA,8.889995199,PIBA
3,9A,573,l,NA,NA,13.96999246,PIBA
3,9A,574,l,NA,NA,8.889995199,PIBA
3,9A,584,l,NA,NA,10.66799424,PIBA
3,9A,583,l,NA,NA,11.42999383,PIBA
3,9A,582,l,NA,NA,4.063997805,PIBA
3,9A,581,l,NA,NA,6.349996571,PIBA
3,9A,580,l,NA,NA,13.20799287,PIBA
3,9A,579,l,NA,NA,7.619995885,PIBA
3,9A,576,l,NA,NA,9.397994925,PIBA
4,0A,1433,l,NA,NA,13.96999246,PIBA
4,0A,1434,l,NA,NA,7.11199616,PIBA
4,0A,1432,l,NA,NA,9.905994651,PIBA
4,0B,1431,l,NA,NA,13.20799287,PIBA
4,0B,1430,l,NA,NA,4.063997805,PIBA
4,0B,1429,l,NA,NA,6.349996571,PIBA
4,0B,1428,l,NA,NA,4.063997805,PIBA
4,0C,1427,l,NA,NA,10.15999451,PIBA
4,0C,1425,l,NA,NA,5.841996845,PIBA
