Order from csv file,Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted...Y.N.,,,
143,SEIN_2,F,SENEIND,Senecio indecorus,Greene,rayless ragwort,Packera indecora,(Greene) A. Love & D. Love,same as SEIN,NA,,,
194,SHCA,S,SHEPCAN,Shepherdia canadensis,(L.) Nutt.,Canada buffaloberry,Shepherdia canadensis,(L.) Nutt.,,Y,,,
82,SMTR,F,SMILTRI,Smilacina trifolia,(L.) Desf.,three-leaved Solomon's-seal,Maianthemum trifolium,(L.) Sloboda,,N,,,
142,SOCA,F,SOLICAN,Solidago canadensis,L.,Canada goldenrod,Solidago canadensis,L.,NA,NA,,,
20,SOSP,F,SOLISPA,Solidago spathulata,DC.,mountain goldenrod,Solidago spathulata,DC.,,Y,,,
62,SOUL,F,SONCULI,Sonchus uliginosus,Bieb.,smooth perennial sow-thistle,Sonchus arvensis ssp. uliginosus,(M. Bieb.) Nyman,"identified by Derek Johnson - called ""LACTUCA-PINK"" on 2005 fieldsheet",N,,,
83,SPRO,F,SPIRROM,Spiranthes romanzoffiana,Cham. & Schlecht.,hooded ladies'-tresses,Spiranthes romanzoffiana,Cham.,,Y,,,
71,STLO,F,STELLON,Stellaria longifolia,Muhl.,long-leaved chickweed,Stellaria longifolia,Muhl. Ex Willd.,"called ""STELLARIA"" on 2005 fieldsheet - Collected sample from Stand 8 was identified by Derek Johnson - initially called ARLA and was later identified by Derek as Stellaria longifolia",Y,,,
195,SYAL,S,SYMPALB,Symphoricarpos albus,(L.) Blake,snowberry,Symphoricarpos albus,(L.) S.F. Blake,,Y,,,
43,TAOF,F,TARAOFF,Taraxacum officinale,Weber,common dandelion,Taraxacum officinale,F.H. Wigg.,,Y,,,
149,THVE,F,THALVEN,Thalictrum venulosum,Trel.,veiny meadow-rue,Thalictrum venulosum,Trel.,NA,NA,,,
84,TOGL,F,TOFIGLU,Tofieldia glutinosa,(Michx.) Pers.,sticky false asphodel,Tofieldia glutinosa,(Michx.) Pers.,species name verified by George LaRoi,N,,,
36,TRBO,F,TRIEBOR,Trientalis borealis,Raf.,northern starflower,Trientalis borealis,Raf.,,Y,,,
42,TRHY,F,TRIFHYB,Trifolium hybridum,L.,alsike clover,Trifolium hybridum,L.,,Y,,,
114,TRMA,G,TRIGMAR,Triglochin maritima,L.,seaside arrow-grass,Triglochin maritima,L.,,Y,,,
63,TRPR,F,TRIFPRA,Trifolium pratense,L.,red clover,Trifolium pratense,L.,,Y,,,
141,TRRE,F,TRIFREP,Trifolium repens,L.,white clover,Trifolium repens,L.,NA,NA,,,
89,TYLA,F,TYPHLAT,Typha latifolia,L.,common cattail,Typha latifolia,L.,,Y,,,
128,UNKA,NA,Unknown,NA,NA,NA,NA,NA,unidentified species,NA,,,
135,UNKNA,NA,UnknownA,NA,NA,NA,NA,NA,unidentified species,NA,,,
162,UNKR,NA,UnknownR,NA,NA,NA,NA,NA,unidentified species,NA,,,
206,VACA,S,VACCCAE,Vaccinium caespitosum,Michx.,dwarf bilberry,Vaccinium cespitosum,Michx.,,N,,,
196,VAMY,S,VACCMYR,Vaccinium myrtilloides,Michx.,common blueberry,Vaccinium myrtilloides,Michx.,,Y,,,
197,VAVI,S,VACCVIT,Vaccinium vitis-idaea,L.,bog cranberry,Vaccinium vitis-idaea,L.,,Y,,,
21,VIAD,F,VIOLADU,Viola adunca,J.E. Smith,early blue violet,Viola adunca,Sm.,,Y,,,
54,VIAM,F,VICIAME,Vicia americana,Muhl.,wild vetch,Vicia americana,Muhl. Ex Willd.,,Y,,,
201,VIED,S,VIBUEDU,Viburnum edule,(Michx.) Raf.,low-bush cranberry,Viburnum edule,(Michx.) Raf.,,Y,,,
27,VIRE,F,VIOLREN,Viola renifolia,A. Gray,kidney-leaved violet,Viola renifolia,A. Gray,,Y,,,
131,X2IPH,NA,UNKNX2I,Unknown,NA,NA,NA,NA,"no idea, check datasheets?",NA,,,
