Order from csv file,Species,Strata,X7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted...Y.N.,,,
222,BEPA,T,BETUPAP,Betula papyrifera,Marsh.,white birch,Betula papyrifera,Marsh.,,Y,,,
213,BEPU,S,BETUPUM,Betula pumila,L.,dwarf birch,Betula pumila,L.,,Y,,,
108,BRCI,G,BROMCIL,Bromus ciliatus,L.,fringed brome,Bromus ciliatus,L.,,Y,,,
50,CABU,F,CALYBUL,Calypso bulbosa,(L.) Oakes,Venus'-slipper,Calypso bulbosa,(L.) Oakes,,Y,,,
104,CACA,G,CALACAN,Calamagrostis canadensis,(Michx.) Beauv.,bluejoint,Calamagrostis canadensis,(Michx.) P. Beauv.,,Y,,,
101,CAIN,G,CALAINE,Calamagrostis inexpansa,A. Gray,northern reed grass,Calamagrostis stricta ssp. inexpansa,(A. Gray) C.W. Greene,,N,,,
7,CARO,F,CAMPROT,Campanula rotundifolia,L.,harebell,Campanula rotundifolia,L.,,Y,,,
58,CHCA,F,CHENCAP,Chenopodium capitatum,(L.) Aschers.,strawberry blite,Chenopodium capitatum,(L.) Ambrosi,"identified by Derek Johnson - called ""CHENO"" on 2005 fieldsheet",Y,,,
61,CIAR,F,CIRSARV,Cirsium arvense,(L.) Scop.,Canada thistle,Cirsium arvense,(L.) Scop.,was called CICA but is most likely CIAR (verified by George LaRoi),Y,,,
130,COAU,F,CORYAUR,Corydalis aurea,Willd.,scrambled eggs,Corydalis aurea,Willd.,common post fire,NA,,,
32,COCA,F,CORNCAN,Cornus canadensis,L.,bunchberry,Cornus canadensis,L.,,Y,,,
202,COST,S,CORNSTO,Cornus stolonifera,Michx.,red-osier dogwood,Cornus sericea ssp. sericea,L.,,N,,,
37,COTR,F,CORATRI,Corallorhiza trifida,Chatelain,pale coralroot,Corallorhiza trifida,Chatelain,,Y,,,
41,CRTE,F,CREPTEC,Crepis tectorum,L.,annual hawk's-beard,Crepis tectorum,L.,"identified by Derek Johnson - called ""ANCOM"" on 2005 fieldsheet",Y,,,
106,CXAE,G,CAREAEN,Carex aenea,Fern.,silvery-flowered sedge,Carex foenea,Willd.,"identified by Derek Johnson - called ""CX-NRLF"" in Stands 3 and 4 or ""CX-NWLF"" in Stands 6 and 8 on 2005 fieldsheet",N,,,
113,CXAQ,G,CAREAQU,Carex aquatilis,Wahlenb.,water sedge,Carex aquatilis,Wahlenb.,,Y,,,
178,CXAU,G,CAREAUR,Carex aurea,Nutt.,golden sedge,Carex aurea,Nutt.,,NA,,,
139,CXBY,G,CARESP(BY),Carex sp. (BY),NA,NA,NA,NA,same as CX-BYEL; could be Carex aurea,NA,,,
122,CX-BYEL,G,CARESP(BY),Carex sp. (BY),,,0,0,"Derek was unable to give a confirmed identification for this carex species in 2005 - ""CX-BYEL"" = ""Carex Big Yellow"" was very abundant and collected in Stand 4 in 2005 - its average cover was ca. 10% (verified by George LaRoi)",,,,
181,CXCA,G,CARECAP,Carex capillaris,L. ,hair-like sedge,Carex capillaris,L. ,,NA,,,
121,CXCO,G,CARECON,Carex concinna,R.Br.,beautiful sedge,Carex concinna,R.Br.,,Y,,,
102,CXDE,G,CAREDEF,Carex deflexa,Hornem.,bent sedge,Carex deflexa,Hornem.,"identified by Derek Johnson - called ""CX-TUS"" on 2005 fieldsheet",Y,,,
109,CXDI,G,CAREDIA,Carex diandra,Schrank,two-stamened sedge,Carex diandra,Schrank,species name verified by George LaRoi,Y,,,
120,CXDS,G,CAREDIS,Carex disperma,Dewey,two-seeded sedge,Carex disperma,Dewey,species name verified by George LaRoi,Y,,,
170,CXDW,G,CAREDEW,Carex deweyana,Schwein.,dewey sedge,Carex deweyana,Schwein.,,NA,,,
110,CXGY,G,CAREGYN,Carex gynocrates,Wormsk.,northern bog sedge,Carex gynocrates,Wormsk. ex Drejer,,Y,,,
105,CXHO,G,CAREHOU,Carex houghtoniana,Torr.,sand sedge,Carex houghtoniana,Torr. ex Dewey,"identified by Derek Johnson - called ""CX-BIG"" in Stands 3 and 8 and ""CX-BIGFRUIT"" in Stand 4 on 2005 fieldsheet - Derek Johnson confirmed that they are the same species",Y,,,
111,CXIN,G,CAREINT,Carex interior,Bailey,inland sedge,Carex interior,L.H. Bailey,,Y,,,
158,CXLE,G,CARELEP,Carex leptalea,Wahlenb.,bristly stalked sedge,Carex leptalea,Wahlenb.,,NA,,,
112,CXLI,G,CARELIM,Carex limosa,L.,mud sedge,Carex limosa,L.,,Y,,,
167,CXNL,G,CARESP.,Carex sp.,NA,NA,NA,NA,"unknown Carex, was not identified to species",NA,,,
184,CXNO,G,CARENOR,Carex norvegica,Retz.,Norway sedge,Carex norvegica,Retz.,,NA,,,
157,CXPR,G,CAREPRA,Carex praticola,Rydb.,meadow sedge,Carex praticola,Rydb.,,NA,,,
94,CXRI,G,CARERIC,Carex richardsonii,R.Br.,Richardson's sedge,Carex richardsonii,R.Br.,,Y,,,
119,CXRO,G,CAREROS,Carex rostrata,Stokes,beaked sedge,Carex rostrata,Stokes,,Y,,,
93,CXSI,G,CARESIC,Carex siccata,Dewey,hay sedge,Carex siccata,Dewey,,Y,,,
118,CXSO,G,CARESOP,Carex soperi,Raup,thickhead sedge,Carex macloviana,d'Urv.,not sure of this species - verified by George La Roi,,not positive,,
159,CXSP,G,CARESPR,Carex sprengelii ,Dewey,Sprengel's sedge,Carex sprengelii ,Dewey ex Spreng.,NA,NA,,,
168,CXTU,G,CARETEN,Carex tenuiflora,Wahlenb.,sparseflower edge,Carex tenuiflora,Wahlenb.,,NA,,,
107,CXVA,G,CAREVAG,Carex vaginata,Tausch,sheathed sedge,Carex vaginata,Tausch,"identified by Derek Johnson - called ""CX-VLF"" on 2005 fieldsheet",Y,,,
117,CXYL,G,CARESP(Y),Carex sp. (yellow),,,0,0,"""CXYL"" = ""CXYI"" = ""Carex Yellow"" - not collected - strongly chlorotic leaves (verified by George LaRoi)",,can't name it - might be the same as CXBY and CX-BYEL,,
38,DITR,F,DISPTRA,Disporum trachycarpum,(S. Wats.) B. & H.,fairybells,Prosartes trachycarpa,S. Watson,,N,,,
132,DOTR,NA,NA,NA,NA,NA,NA,NA,probably an entry error: COTR - as above (which year was this found in?),NA,,,
35,DRCA,F,DRYOCAR,Dryopteris carthusiana,(Vill.) H.P. Fuchs,narrow spinulose shield fern,Dryopteris carthusiana,(Vill.) H.P. Fuchs,,Y,,,
55,DRPA,F,DRACPAR,Dracocephalum parviflorum,Nutt.,American dragonhead,Dracocephalum parviflorum,Nutt.,"identified by Derek Johnson - called ""PKMIN"" on 2005 fieldsheet. Was called ""mint"" before 2005 (verified by George LaRoi)",Y,,,
75,DRRO,F,DROSROT,Drosera rotundifolia,L.,round-leaved sundew,Drosera rotundifolia,L.,,Y,,,
185,EAPN,NA,NA,NA,NA,NA,NA,NA,probably an entry error: EPAN - as below. Shows up in 1995,NA,,,
95,ELGL,G,ELYMGLA,Elymus glaucus,Buckl.,smooth wild rye,Elymus glaucus,Buckley,,Y,,,
96,ELIN,G,ELYMINN,Elymus innovatus,Beal,hairy wild rye,Leymus innovatus,(Beal) Pilg.,,N,,,
8,EPAN,F,EPILANG,Epilobium angustifolium,L.,common fireweed,Chamerion angustifolium ssp. angustifolium,(L.) Holub,,N,,,
