Strata,Species,7.letter.code,sci.name.2005,sci.authority.2005,common.name,sci.name.2020,sci.authority2020,Comments,Accepted? (Y/N)
F,ACMI,ACHIMIL,Achillea millefolium,L.,common yarrow,Achillea millefolium,L.,,Y
F,ACRU,ACTARUB,Actaea rubra,(Ait.) Willd.,red and white baneberry,Actaea rubra,(Aiton) Willd.,,Y
F,ANMU,ANEMMUL,Anemone multifida,Poir.,cut-leaved anemone,Anemone multifida,Poir.,,Y
F,ANPA,ANEMPAT,Anemone patens,L.,prairie crocus,Anemone patens,L.,species name verified by George LaRoi,Y
F,ANRA,ANTERAC,Antennaria racemosa,Hook.,racemose everlasting,Antennaria racemosa,Hook.,species name verified by George LaRoi,Y
F,AQBR,AQUIBRE,Aquilegia brevistyla,Hook.,blue columbine,Aquilegia brevistyla,Hook.,,Y
F,ARLY,ARABLYR,Arabis lyrata,L.,lyre-leaved rock cress,Arabidopsis lyrata ssp. lyrata,L. O'Kane & Al-Shehbaz,"was also called ""Arabis"" in Stand 1 (verified by George LaRoi)",N
F,ARNU,ARALNUD,Aralia nudicaulis,L.,wild sarsaparilla,Aralia nudicaulis,L.,,Y
F,ARCA,ARTECAM,Artemisia campestris,L.,plains wormwood,Artemisia campestris,L.,,Y
F,ASBO,ASTEBOR,Aster borealis,(T. & G.) Prov.,marsh aster,Symphyotrichum boreale,(Torr. & A. Gray) A. Love & D. Love,,N
F,ASCI,ASTECIL,Aster ciliolatus,Lindl.,Lindley's aster,Symphyotrichum ciliolatum,(Lindl.) A. Love & D. Love,,N
F,ASCO,ASTECON,Aster conspicuus,Lindl.,showy aster,Eurybia conspicua,(Lindl.) G.L. Nesom,,N
F,ASLA,ASTELAE,Aster laevis,L.,smooth aster,Symphyotrichum laeve,(L.) A. Love & D. Love,,N
F,ASPU,ASTEPUN,Aster puniceus,L.,purple-stemmed aster,Symphyotrichum puniceum var. puniceum,(L.) A. Love & D. Love,"identified by Derek Johnson - called ""AS-SPST"" on 2005 fieldsheet",N
F,CABU,CALYBUL,Calypso bulbosa,(L.) Oakes,Venus'-slipper,Calypso bulbosa,(L.) Oakes,,Y
F,CARO,CAMPROT,Campanula rotundifolia,L.,harebell,Campanula rotundifolia,L.,,Y
F,CHCA,CHENCAP,Chenopodium capitatum,(L.) Aschers.,strawberry blite,Chenopodium capitatum,(L.) Ambrosi,"identified by Derek Johnson - called ""CHENO"" on 2005 fieldsheet",Y
F,CIAR,CIRSARV,Cirsium arvense,(L.) Scop.,Canada thistle,Cirsium arvense,(L.) Scop.,was called CICA but is most likely CIAR (verified by George LaRoi),Y
F,COTR,CORATRI,Corallorhiza trifida,Chatelain,pale coralroot,Corallorhiza trifida,Chatelain,,Y
F,COCA,CORNCAN,Cornus canadensis,L.,bunchberry,Cornus canadensis,L.,,Y
F,CRTE,CREPTEC,Crepis tectorum,L.,annual hawk's-beard,Crepis tectorum,L.,"identified by Derek Johnson - called ""ANCOM"" on 2005 fieldsheet",Y
F,DITR,DISPTRA,Disporum trachycarpum,(S. Wats.) B. & H.,fairybells,Prosartes trachycarpa,S. Watson,,N
F,DRPA,DRACPAR,Dracocephalum parviflorum,Nutt.,American dragonhead,Dracocephalum parviflorum,Nutt.,"identified by Derek Johnson - called ""PKMIN"" on 2005 fieldsheet. Was called ""mint"" before 2005 (verified by George LaRoi)",Y
F,DRRO,DROSROT,Drosera rotundifolia,L.,round-leaved sundew,Drosera rotundifolia,L.,,Y
F,DRCA,DRYOCAR,Dryopteris carthusiana,(Vill.) H.P. Fuchs,narrow spinulose shield fern,Dryopteris carthusiana,(Vill.) H.P. Fuchs,,Y
F,EPAN,EPILANG,Epilobium angustifolium,L.,common fireweed,Chamerion angustifolium ssp. angustifolium,(L.) Holub,,N
F,EPCI,EPILCIL,Epilobium ciliatum,Raf.,northern willowherb,Epilobium ciliatum,Raf.,"identified by Derek Johnson - called ""EPPA"" on 2005 fieldsheet (varified by George La Roi as EPCI)",Y
F,EPPA,EPILPAL,Epilobium palustre,L.,marsh willowherb,Epilobium palustre,L.,,Y
F,EQAR,EQUIARV,Equisetum arvense,L.,common horsetail,Equisetum arvense,L.,,Y
F,EQFL,EQUIFLU,Equisetum fluviatile,L.,swamp horsetail,Equisetum fluviatile,L.,,Y
F,EQPR,EQUIPRA,Equisetum pratense,Ehrh.,meadow horsetail,Equisetum pratense,Ehrh.,,Y
F,EQSC,EQUISCI,Equisetum scirpoides,Michx.,dwarf scouring-rush,Equisetum scirpoides,Michx.,,Y
F,EQSY,EQUISYL,Equisetum sylvaticum,L.,woodland horsetail,Equisetum sylvaticum,L.,,Y
F,EQVA,EQUIVAR,Equisetum variegatum,Schleich.,variegated horsetail,Equisetum variegatum,Schleich. ex F. Weber & D. Mohr,,Y
F,ERGL,ERIGGLA,Erigeron glabellus,Nutt.,smooth fleabane,Erigeron glabellus,Nutt.,,Y
F,FRVE,FRAGVES,Fragaria vesca,L.,woodland strawberry,Fragaria vesca,L.,,Y
F,FRVI,FRAGVIR,Fragaria virginiana,Duchesne,wild strawberry,Fragaria virginiana,Duchesne,,Y
F,GABO,GALIBOR,Galium boreale,L.,northern bedstraw,Galium boreale,L.,,Y
F,GALA,GALILAB,Galium labradoricum,Wieg.,Labrador bedstraw,Galium labradoricum,(Wiegand) Wiegand,,Y
F,GATR,GALITRI,Galium triflorum,Michx.,sweet-scented bedstraw,Galium triflorum,Michx.,,Y
F,GEAM,GENTAMA,Gentianella amarella,(L.) Borner,felwort,Gentianella amarella,(L.) Borner,,Y
F,GELI,GEOCLIV,Geocaulon lividum,(Richards.) Fern.,northern bastard toadflax,Geocaulon lividum,(Richardson) Fernald,,Y
F,GEBI,GERABIC,Geranium bicknellii,Britt.,Bicknell's geranium,Geranium bicknellii,Britton,,Y
F,GERI,GEUMRIV,Geum rivale,L.,purple avens,Geum rivale,L.,,Y
F,GORE,GOODREP,Goodyera repens,(L.) R.Br.,lesser rattlesnake plantain,Goodyera repens,(L.) R. Br.,,Y
F,GYDR,GYMNDRY,Gymnocarpium dryopteris,(L.) Newm.,oak fern,Gymnocarpium dryopteris,(L.) Newman,,Y
F,HAHY,HABEHYP,Habenaria hyperborea,(L.) R.Br.,northern green bog orchid,Plantanthera hyperborea,(L.) Lindl.,,N
F,HIUM,HIERUMB,Hieracium umbellatum,L.,narrow-leaved hawkweed,Hieracium umbellatum,L.,,Y
F,LAOC,LATHOCH,Lathyrus ochroleucus,Hook.,cream-colored vetchling,Lathyrus ochroleucus,Hook.,,Y
F,LIPH,LILIPHI,Lilium philadelphicum,L.,western wood lily,Lilium philadelphicum,L.,,Y
F,LIBO,LINNBOR,Linnaea borealis,L.,twinflower,Linnaea borealis,L.,,Y
F,LYAN,LYCOANN,Lycopodium annotinum,L.,stiff club-moss,Lycopodium annotinum,L.,,Y
F,LYCO,LYCOCOM,Lycopodium complanatum,L.,ground-cedar,Lycopodium complanatum,L.,,Y
F,LYOB,LYCOOBS,Lycopodium obscurum,L.,ground-pine,Lycopodium obscurum,L.,,Y
F,MACA,MAIACAN,Maianthemum canadense,Desf.,wild lily-of-the-valley,Maianthemum canadense,Desf.,,Y
F,MELI,MELALIN,Melampyrum lineare,Desr.,cow-wheat,Melampyrum lineare,Desr.,,Y
F,MEAL,MELIALB,Melilotus alba,Desr.,white sweet-clover,Melilotus albus,Desr.,,N
F,MEOF,MELIOFF,Melilotus officinalis,(L.) Lam.,yellow sweet-clover,Melilotus officinalis,(L.) Lam.,,Y
F,METR,MENYTRI,Menyanthes trifoliata,L.,buck-bean,Menyanthes trifoliata,L.,,Y
F,MEPA,MERTPAN,Mertensia paniculata,(Ait.) G. Don.,tall lungwort,Mertensia paniculata,(Aiton) G. Don.,,Y
F,MINU,MITENUD,Mitella nuda,L.,bishop's-cap,Mitella nuda,L.,,Y
F,MOLA,MOEHLAT,Moehringia lateriflora,(L.) Fenzl.,blunt-leaved sandwort,Moehringia lateriflora,(L.) Fenzl.,was called ARLA - Arenaria lateriflora based on Moss 1st edition (verified by George LaRoi),Y
F,MOUN,MONEUNI,Moneses uniflora,(L.) A. Gray,one-flowered wintergreen,Moneses uniflora,(L.) A. Gray,,Y
F,ORRO,ORCHROT,Orchis rotundifolia,Banks ex Pursh,round-leaved orchid,Galearis rotundifolia,(Banks ex Pursh) R.M. Bateman,,N
F,ORSE,ORTHSEC,Orthilia secunda,(L.) House,one-sided wintergreen,Orthilia secunda,(L.) House,,Y
F,OSCH,OSMOCHI,Osmorhiza chilensis,Hook. & Arn.,blunt-fruited sweet cicely,Osmorhiza berteroi,DC.,was identified as Osmorhiza chilensis in the early 1980s - not collected - may be Osmorhiza depauperata? (verified by George LaRoi),N
F,PAPA,PARNPAL,Parnassia palustris,L.,northern grass-of-parnassus,Parnassia palustris,L.,,Y
F,PEPA,PETAPAL,Petasites palmatus,(Ait.) A. Gray,palmate-leaved coltsfoot,Petasites frigidus var. palmatus,(Aiton) Cronquist,,N
F,PESA,PETASAG,Petasites sagittatus,(Pursh) A. Gray,arrow-leaved coltsfoot,Petasites frigidus var. sagittatus,(Banks ex Pursh) Chem.,,N
F,POPA,POTEPAL,Potentilla palustris,(L.) Scop.,marsh cinquefoil,Comarum palustre,L.,,N
F,POT-TRI,POTETRI,Potentilla tridentata,Ait.,three-toothed cinquefoil,Sibbaldiopsis tridentata,(Aiton) Rydb.,,N
F,POye,,,,,0,0,a ruderal Potentilla species - not collected - (verified by George LaRoi),
