sp.code,correct.sp.code,correct.sp.name,accepted_name,genus,kingdom,order,family,class,division,species
LECGRA,LECGRA,Lecidea granulosa,Lecidea granulosa,Lecidea,Fungi,Lecideales,Lecideaceae,Lecanoromycetes,Ascomycota,granulosa
ORTFLA,DICFLA,Dicranum flagellare,Dicranum flagellare,Dicranum,Plantae,Dicranales,Dicranaceae,Bryopsida,Bryophyta,flagellare
PARELE,PARELE,Parmelia elegantula,Parmelia elegantula,Parmelia,Fungi,Lecanorales,Parmeliaceae,Lecanoromycetes,Ascomycota,elegantula
PARSUL,PARSUL,Parmelia sulcata,Parmelia sulcata,Parmelia,Fungi,Lecanorales,Parmeliaceae,Lecanoromycetes,Ascomycota,sulcata
PARAMB,PARAMB,Parmeliopsis ambigua,Parmeliopsis ambigua,Parmeliopsis,Fungi,Lecanorales,Parmeliaceae,Lecanoromycetes,Ascomycota,ambigua
PARHYP,PARHYP,Parmeliopsis hyperopta,Parmeliopsis hyperopta,Parmeliopsis,Fungi,Lecanorales,Parmeliaceae,Lecanoromycetes,Ascomycota,hyperopta
PELAPH,PELAPH,Peltigera aphthosa,Peltigera aphthosa,Peltigera,Fungi,Peltigerales,Peltigeraceae,Lecanoromycetes,Ascomycota,aphthosa
PELCAN,PELCAN,Peltigera canina,Peltigera canina,Peltigera,Fungi,Peltigerales,Peltigeraceae,Lecanoromycetes,Ascomycota,canina
PELMAL,PELMAL,Peltigera malacea,Peltigera malacea,Peltigera,Fungi,Peltigerales,Peltigeraceae,Lecanoromycetes,Ascomycota,malacea
PELPUL,PELPUL,Peltigera pulverulenta,Peltigera pulverulenta,Peltigera,Fungi,Peltigerales,Peltigeraceae,Lecanoromycetes,Ascomycota,pulverulenta
PELRUF,PELRUF,Peltigera rufescens,Peltigera rufescens,Peltigera,Fungi,Peltigerales,Peltigeraceae,Lecanoromycetes,Ascomycota,rufescens
PLAGLA,PLAGLA,Platismatia glauca,Platismatia glauca,Platismatia,Fungi,Lecanorales,Parmeliaceae,Lecanoromycetes,Ascomycota,glauca
PLESCH,PLESCH,Pleurozium schreberi,Pleurozium schreberi,Pleurozium,Plantae,Hypnales,Hylocomiaceae,Bryopsida,Bryophyta,schreberi
POHNUT,POHNUT,Pohlia nutans,Pohlia nutans,Pohlia,Plantae,Bryales,Mielichhoferiaceae,Bryopsida,Bryophyta,nutans
POLCOM,POLCOM,Polytrichum commune,Polytrichum commune,Polytrichum,Plantae,Polytrichales,Polytrichaceae,Polytrichopsida,Bryophyta,commune
POLJUN,POLJUN,Polytrichum juniperinum,Polytrichum juniperinum,Polytrichum,Plantae,Polytrichales,Polytrichaceae,Polytrichopsida,Bryophyta,juniperinum
POLPIL,POLPIL,Polytrichum piliferum,Polytrichum piliferum,Polytrichum,Plantae,Polytrichales,Polytrichaceae,Polytrichopsida,Bryophyta,piliferum
PTICIL,PTICIL,Ptilidium ciliare,Ptilidium ciliare,Ptilidium,Plantae,Ptilidiales,Ptilidiaceae,Jungermanniopsida,Marchantiophyta,ciliare
PTIPUL,PTIPUL,Ptilidium pulcherrimum,Ptilidium pulcherrimum,Ptilidium,Plantae,Ptilidiales,Ptilidiaceae,Jungermanniopsida,Marchantiophyta,pulcherrimum
PTICC,PTICC,Ptilium crista-castrensis,Ptilium crista-castrensis,Ptilium,Plantae,Hypnales,Hypnaceae,Bryopsida,Bryophyta,crista-castrensis
SPLSPP,SPLSP,Splachnum sp.,Splachnum sp.,Splachnum,Plantae,Splachnales,Splachnaceae,Bryopsida,Bryophyta,sp.
STEALP,STEALP,Stereocaulon alpinum,Stereocaulon alpinum,Stereocaulon,Fungi,Lecanorales,Stereocaulaceae,Lecanoromycetes,Ascomycota,alpinum
TETANG,TETANG,Tetraplodon angustatus,Tetraplodon angustatus,Tetraplodon,Plantae,Splachnales,Splachnaceae,Bryopsida,Bryophyta,angustatus
TOMNIT,TOMNIT,Tomentypnum nitens,Tomentypnum nitens,Tomentypnum,Plantae,Hypnales,Amblystegiaceae,Bryopsida,Bryophyta,nitens
USNSPP,USNSP,Usnea sp.,Usnea sp.,Usnea,Fungi,Lecanorales,Parmeliaceae,Lecanoromycetes,Ascomycota,sp.
