0a,0,0,0,0,0,0,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0c,0,0,0,0,1,0,30,0.5,0,45,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0e,0.1,0,0,0,2,0,50,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0g,0.5,0,0,0,3,0.5,45,0.1,0,30,0.5,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0
0i,0,0,0,0,1,0,75,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a,0,0,1,0,15,1,15,0.1,0,10,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0
2c,0.5,0,0.5,0,10,0,30,0,0,25,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2e,0.1,0,0.5,0.1,10,0,30,0,0,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2g,0,0,1,0,20,0,45,0,0,1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0
2i,0,0,0.5,0,2,0.5,65,0,0,3,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0
4a,0,0,0,0,1,0,30,0,0,20,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
4c,1,0,0.5,0,10,0,60,0,0,0.5,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
4e,0.5,0,1,0.1,25,0.5,45,0.1,0,2,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
4g,0.1,0,1,0,5,0.5,50,0,0,10,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0
4i,0,0,0.5,0,5,1,50,0.1,0,10,0.1,0.1,0.1,0.1,0,0.1,0.1,0.5,0,0,0,0,0,0,0
6a,0.1,0,0.5,0,1,0,50,0,0.5,1,0.1,0,0.1,0.1,0,0,0,0.5,0,0,0,0,0,0,0
6c,0,0,0.1,0,5,0,50,0,0,10,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.5,0.1,0,0
6e,0,0,0.5,0,10,0.5,40,0.1,0,2,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
6g,0,0,0,0.1,1,0.5,45,0,0,5,1,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0
6i,0.1,0,0.5,0,30,0,25,0,0,3,0.5,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
8a,0.1,0,0.5,0,2,0,60,0,0,10,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
8c,0.5,0,0.5,0,15,0.5,35,0,0,20,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
8e,0,0,0.5,0.1,3,0.5,60,0,0.5,10,0.1,0,0.1,0.1,0,0.1,0.1,0.5,0,0.1,0,0,0,0,0
8g,0,0,0.5,0.1,20,1,30,0.1,0,10,1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.5,0.5,0,0,0.1
8i,0.5,0,0.1,0.1,2,1,40,0,0,1,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0
