0A,0,0,0,0,10,70,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C,0,0,0,0,20,60,0,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
0E,5,0,0,0,1,70,0,0.5,0,0,0,0,0,1,0.1,2,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0
0G,1,0,0,0,15,60,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0I,3,0,0,0,10,50,0,0,0,0,0,0,0,3,0,4,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2A,0,0,0,0,25,40,0,0,0,0,0,0,0,4,0,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0
2C,0,0,0,0,20,50,0,0,0,0,0,0,0,0.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2E,0.5,0,0,0,20,35,0,0.5,0,0,0,0,0,0,0,3,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
2G,0,0,0,0,15,30,0,0.5,0,0,0,0,0,0,0,20,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
2I,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
4A,0.5,0,0,0,15,60,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
4C,5,0,0,1,10,50,0,0.5,0,0,0,0,0,0.5,0,2,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
4E,0,0,0,0,25,35,0,0.5,0,0,0,0,0,1,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4G,0,0,0,0,25,60,0,0,0,0,0,0,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0
4I,0,0,0,0,35,50,0,0,0,0,0,0,0,0,0,3,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
6A,15,0.5,2,0,25,40,0,1,0,0,0,0,0.5,0,0.5,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
6C,10,0,0,0,55,15,0,0.5,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
6E,0,0,0,0,40,40,0,0.5,0,0,0,0,0,0,0,4,3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
6G,0,0,0,0,55,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6I,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0
