0a,0,0,0.1,0,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0.1,0,0,0,0,0,75,0.5,0.1,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0
0c,0,0,0.1,0,0,0,0.5,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,0,0,0.5,75,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
0e,0,0,0.5,0,0,0.1,3,0.5,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0.5,80,1,0.5,0,0,0.1,0.1,0,0,0.5,2,0,0,0,0,0.1,0,0
0g,0,0,0.1,0,0,0.1,0.1,0.1,0.5,0,0,0.5,0,0,0,0.1,0,0.1,0,0,0.5,50,0.5,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0
0i,0,0,0.5,0,0,0.5,5,0.1,0.1,1,0.5,0,0,0,0.1,0,0.1,0.1,0,0,0.1,7,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
2a,0,0,0,0,0,0,0,0.5,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,60,0.5,0.1,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0
2c,0,0,0.5,0,0,2,15,0,0,0.5,0,0,0,0,0,0.1,0,0,0,0,0,35,0.5,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0
2e,0,0,0.1,0,0,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2g,0,0.1,0.5,0,0,2,20,0.5,0.1,1,0,0.1,0,0,0.1,0,0,0,0,0,0,30,0.5,0,0,0,0.1,0,0,0,0.5,1,0,0,0,0,0,0,0
2i,0,0,1,0,0,1,45,0,0,2,0,0,0,0,0,0,0,0.1,0,0,0,5,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0
4a,0,0,0.1,0,0,0.1,1,0.5,1,0,0,0.5,0,0,0,0.1,0,0.1,0,0,0.1,40,0.5,0.1,0,0,0.5,0,0,0,0,2,0,0,0,0,0,0,0
4c,0,0,0,0,0,0,0.1,0.5,0.5,0,0,0.1,0,0,0.1,0.5,0,0.5,0.1,0,0,65,0.5,0.5,0.1,0,0,0.5,0,0,0,4,0.5,0,0,0,0,0,0
4e,0,0.1,0.1,0,0,0.5,3,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,60,0.1,0.5,0,0,0.5,0.1,0,0,0.1,3,0,0,0.5,0,0,0,0
4g,0,0,0.1,0,0,0,0.5,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0.1,5,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4i,0,0,0.1,0,0,0.1,0.1,0.1,0.5,0.1,0,0,0,0,0.1,0,0,0.5,0,0,0.5,85,0.5,0.5,0,0,0,1,0,0,0.5,2,0,0,0,0,0,0,0
6a,0,0,0,0,0,0.1,1,0.5,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1,15,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1
6c,0,0,0.1,0,0,0,1,0.5,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,25,0.1,0.5,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0
6e,0,0,0.1,0,0,0.1,1,0,0,0.5,0.1,0.1,0,0,0.1,0,0,0,0,0,0.1,65,0,0.1,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0
6g,0,0,0,0,0,0.5,2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,65,0.1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6i,0,0,0.1,0,0,0,0.5,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,75,0.1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8a,0.5,0,0.5,0,0,4,75,0,0,1,0.1,0,0,0,0.1,0,0,0.1,0,0.1,0,3,0.5,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0
8c,0.1,0,0,0,0,1,5,0,0,4,0.1,0,0,0,0.1,0,0,0.1,0,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8e,0,0,0.5,0,0,1,25,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0,3,0.1,0,0,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0
8g,0,0,0.5,0,0,0.5,15,0,0,3,0,0,0,0,0.1,0,0,0,0,0,0.1,3,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
8i,0,0.1,0.1,0,0,0,2,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0,0.1,85,0.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
