0a,2,0,0.5,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
0c,2,0,0.5,2,0,0.5,0,0.5,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0
0e,1,0,0.5,0.1,0.5,0.5,0,0,0.1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0
0g,3,0,1,0.5,1,1,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
0i,3,0,0,0,0.1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0
2a,3,0,1,0.5,0.5,1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2c,4,0.1,0,0.5,1,4,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
2e,3,0,1,0.5,1,20,0.1,0,0.5,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0
2g,3,0,1,2,0.5,3,1,0,0,0,0,0,0.1,0.1,0,0,0,0,0.5,0,0,0
2i,5,0.1,1,0.5,0.5,0.5,0.5,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
4a,1,0,0.5,0.5,0.5,0.5,0,0,0.1,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0
4c,3,0,0,0.5,2,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0
4e,4,0,2,1,1,0.5,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01
4g,6,0.5,0.5,2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1
4i,3,0,2,0.5,1,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0
6a,2,0,1,0.5,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c,4,0,1,0.5,5,1,0.5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
6e,4,0,1,0.5,1,0.5,0.1,0.5,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0
6g,5,0,2,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
6i,2,0,1,1,1,0.1,0,0,0.5,0,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0
8a,3,0,1,1,1,5,0.5,0.1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0
8c,7,0,0.5,0.5,1,2,1,0,0.5,0,0.5,0,0.1,0,0,0,0,0.1,0,0,0,0
8e,2,0,2,0.5,2,0,0.1,0,0.5,0,0.1,0,0,0,0,0,0,1,0,0,0,0
8g,3,0,1,0.1,2,0.5,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0
8i,1,0,2,1,1,0.5,1,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0
