1B,75,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0.5,0.5,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,25,0,0,0,0,0,0,2,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0.1,0,0,0.5,0.1,0,0,0,0,0,0,0
1F,60,10,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0
1H,15,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,7,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0.5,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
3B,40,0.5,0,0,0,0,0,6,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
3D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F,35,15,0,0,0,5,0,2,0,0,0,0,0.5,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,0,0,0.1,0,0,0,0,85,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,0,0,0,50,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5B,65,0.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0
5D,20,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0.1,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
5F,80,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0.5,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
5H,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0.5,0,0.1,0,0.5,0,0,0,0.1,0,0,0,0,0,0
5J,85,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7F,70,0,0,1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7H,65,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
7J,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
9B,1,0,0,0,0,0,0,85,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,0,0,0,0,0,0,0,1,0,0,1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0
9F,0.5,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9H,75,2,0,0,0,0,0,2,0,0,0,0.1,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
1B,60,0.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,0.1,0,0.5,0.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,15,0,0,0,0,0,0,10,0,0,0.5,0,0,0,2,0,0,0,0,0.5,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0
1F,40,7,0,0,0,0,0,1,0,0.1,0,0,0,0,0.1,0,0,0,0.1,1,0.1,0.5,0,0,0,0.1,0,0,0,1,0,0,0,0
1H,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1J,4,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0.1,0,0,0,0,0.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
3J,0,0,0,0,0,0,0,50,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3H,0,0,0.1,0,0,0,0,80,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F,30,10,0.1,0,0,8,0,1,0,0,0.1,0,0.1,0,0,0,0.5,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
3D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B,35,0,0,0,0,0,0,10,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
5B,40,0.5,0,0.5,0,0,0,0,0,10,0,0,0,0,0,0,0.5,0,3,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0
5D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5F,60,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
5H,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0
5J,85,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,2,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
7H,70,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
7F,75,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7D,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0
7B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9B,1,0,0,0,0,0,0,90,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,0,0,0,0,0,0,0,0.5,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0
9F,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9H,65,1,0,0,0,0,0,15,0,0,0.5,0.5,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5
