0a,0.5,0,0,0.1,30,0,0.5,20,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0
0c,0.1,0,0,0.1,40,0,0.5,30,0,1,0.5,0,0.1,0,0,0,0,0.1,0,0,0
0e,0,0,0,0.5,70,0,0,2,0,0.5,0,0,0.1,0.1,0,0,0,0.1,0.5,0,0
0g,0,0,0,0,40,0.5,0,15,0.5,20,0.5,0,0.1,0.1,0,0,0,0,0,0.1,0.1
0i,0,0,0.5,0.5,35,0.1,0.1,20,0,10,0,0,0,0,0.1,0,0,0,0,0,0
2a,0.1,0,0,0,20,0,0.1,15,0,10,0.5,0,0,0,0,0,0,0,0.1,0,0
2c,0.5,0,0,0.5,20,0.1,0.1,0.5,0,1,0,0,0,0,0,0,0,0.5,0,0,0
2e,0.1,0,0.1,0.5,45,0,0,30,0,1,0.5,0,0.1,0,0,0,0,0.1,0.1,0,0
2g,0,0,0,0.1,40,0,0,20,0,3,0.5,0,0.1,0,0,0,0,0.1,0,0,0
2i,1,0,0.1,0.1,10,0,0.1,2,0,5,0,0,0,0,0,0,0,0,0,0,0
4a,0,0,0,0,40,0.5,0.1,25,0,20,0.5,0,0.1,0.1,0,0,0,0.1,0,0.1,0
4c,0,0,0,0.1,35,0.5,0.5,20,0,25,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0
4e,0,0,0,0.5,40,0.1,0,10,0,20,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0
4g,0.5,0,0.5,0,30,0.1,0,15,0,30,0.5,0,0,0.1,0,0,0.1,0,0,0,0
4i,0.1,0,0.5,0.5,25,0,0,20,0,15,0.5,0,0.1,0,0,0,0,0,0,0,0
6a,1,0,0.1,0,5,0.1,0,3,0,20,0.5,0,0.1,0.1,0,0,0,1,0,0,0
6c,0,0,0,0,60,0.5,0.5,10,0,10,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0
6e,0,0,0.1,0.5,10,0.1,0.1,5,0,10,0,0,0.1,0,0,0,0,0.5,0,0,0
6g,0,0,0,0.1,35,0,0,15,0,20,0.5,0,0.1,0,0,0,0,0,0,0,0
6i,0,0,0,0,40,0,0,20,0,20,0.1,0,0.1,0.1,0,0,0,0,0,0,0
8a,0,0,0.5,0.5,40,0,0,20,0,25,0.5,0,0.1,0.1,0,0,0.1,1,0,0,0
8c,1,0,0,0.5,10,0,0,10,0,10,0.5,0,0.5,0.1,0,0,0,0.1,0,0,0
8e,0.1,0,0.5,0,35,0,0,10,0,30,0.5,0,0.1,0,0,0,0,0,0,0,0
8g,0,0,1,0.5,25,0,0,25,0.1,5,0.5,0.1,0.1,0,0,0,0,0,0.1,0.1,0
8i,0.1,0,0,0,40,0,0.1,30,0,1,1,0,0.1,0.1,0,0,0,0,0,0,0
