0A,0,0,60,0,0,.5,0,1,0,0,.5,.5,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C,0,0,5,.5,0,0,0,1,0,0,0,.5,0,0,0,.5,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0E,0,0,15,1,.5,1,0,.5,0,.5,.1,.5,.1,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0G,.5,.5,35,2,0,1,.5,.5,0,0,.5,.5,0,.5,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0I,40,1,3,0,0,0,0,0,0,.1,.1,.1,2,.5,0,.5,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,5,.5,35,.5,.5,0,0,0,0,0,.5,.5,1,0,.5,.5,0,0,0,.5,0,0,0,0,.5,0,0,0,0,0,0,0,0
2C,2,0,30,5,0,.5,1,1,0,0,.5,0,0,0,0,.5,0,0,0,0,0,.5,0,.1,0,0,0,0,0,0,0,0,0
2E,2,1,15,5,1,0,2,.5,0,.5,.5,.5,0,0,0,.5,0,0,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2G,0,0,60,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2I,5,2,30,.5,1,0,0,.5,0,.5,0,.5,1,1,0,.5,.5,0,0,0,0,.5,0,1,0,0,0,0,0,0,0,0,0
4A,1,.5,20,5,.5,.5,0,2,0,0,.5,.5,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,.5,0,0,0,0,0,0
4C,2,0,25,10,0,1,0,.5,0,0,.5,.5,.5,0,0,.1,0,0,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0
4E,10,20,10,4,0,0,0,.5,0,0,.5,0,.5,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,1,0,0,0,0,0
4G,3,1,40,0,0,0,0,.5,0,0,0,.5,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,.5,0,0,0,0
4I,0,0,50,1,.5,.5,0,1,0,.5,.5,.5,0,0,0,.5,0,0,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0
6A,.5,.1,30,.5,.5,0,0,.5,0,.5,1,.5,0,0,0,.5,.5,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0
6C,0,0,60,0,0,0,0,.5,0,0,.5,0,0,0,0,0,.5,0,0,.5,0,1,0,0,0,0,0,0,0,0,0,0,0
6E,.1,0,50,2,0,0,0,.5,0,.5,0,.5,0,0,0,.5,0,0,.5,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0
6G,1,0,40,0,0,0,0,.5,0,.5,0,.5,0,0,0,.5,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0
6I,1,0,60,0,0,0,0,.5,0,0,1,.5,0,0,0,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0
8A,0,0,70,0,.1,1,0,.5,0,0,1,0,0,0,0,.5,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0
8C,.1,0,10,0,0,0,0,.1,0,.5,.1,.5,.1,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E,.5,0,60,0,.5,.5,0,1,.5,0,0,0,0,0,0,0,0,0,0,0,.1,.5,0,0,0,0,0,0,0,0,0,0,0
8G,0,0,60,0,0,.5,.5,.5,0,.5,.5,.5,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
8I,0,0,40,0,.5,1,0,.5,0,0,.1,.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0A,0,0,35,0,0,1,0,.5,0,0,.5,.5,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0
0C,0,0,3,0,.5,0,0,.5,0,.5,.5,.5,0,0,0,0,0,0,.5,0,.1,0,0,0,0,0,0,0,0,0,0,0,0
0E,0,0,20,.5,0,.5,0,.5,0,1,0,.5,0,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0G,.1,0,60,2,0,.5,0,.5,0,0,.5,.5,0,1,0,.5,.5,0,0,.5,0,0,0,0,0,0,0,0,.5,0,0,0,0
0I,30,10,5,.5,.5,0,0,0,0,0,.5,.5,.5,.5,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,1,0,0,0,0
2A,15,2,40,.5,.5,0,0,0,0,0,.5,.5,.5,.5,.1,0,.5,0,.5,.5,0,0,0,0,0,0,0,0,1,0,.5,.1,0
2C,1,.5,30,3,.5,.5,1,.5,0,.5,1,.5,.5,.5,0,.5,.5,0,0,0,0,0,0,.5,0,0,0,0,.5,0,0,0,0
2E,2,1,6,2,.5,.5,1,1,0,1,.5,.5,0,.5,0,.5,0,0,.5,0,0,0,0,.5,0,0,.5,0,1,0,0,0,0
2G,0,0,75,0,.5,0,0,.5,0,.5,.5,.5,0,0,0,0,0,0,0,0,0,0,.5,.1,0,0,0,1,.5,.5,0,0,0
2I,5,3,30,1,.5,.5,0,.5,0,.5,.5,.5,.5,1,0,.5,0,0,0,.5,0,0,0,1,0,0,.5,0,1,0,0,0,0
4A,1,0,20,2,.5,2,0,.5,0,2,0,.5,0,0,0,.5,0,0,.5,.5,0,0,0,.5,0,0,1,0,1,0,0,0,0
4C,1,0,35,3,.5,.5,0,1,1,2,.5,.5,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0
4E,20,15,6,3,0,0,0,1,0,1,.5,.5,0,2,0,.5,0,0,0,0,0,0,0,0,0,0,.5,2,.5,0,0,0,0
4G,2,.5,65,2,.5,.5,0,.5,0,.5,.5,.5,.5,0,0,.5,.1,0,0,0,0,0,0,0,0,0,0,0,1,.5,0,0,0
4I,0,0,60,3,.5,1,0,2,.5,1,0,.5,0,0,0,0,.5,.5,0,.5,0,0,0,0,0,0,.5,0,1,.5,0,0,0
6A,.1,.1,60,2,.5,.5,0,.5,0,1,0,.5,0,0,0,.5,.5,0,0,.5,0,0,0,.1,0,0,0,0,.5,0,0,0,0
6C,0,0,75,1,.5,.5,0,.5,0,.5,.5,.5,.5,0,0,0,.5,0,.5,.5,0,0,0,0,0,0,0,0,1,0,.1,0,.1
6E,.5,0,65,2,0,0,0,1,0,1,.5,.5,.5,0,0,0,.5,0,.5,0,0,0,.5,0,0,0,0,0,.5,.5,0,0,0
6G,.5,0,65,0,0,.5,0,.5,0,.5,0,.5,.5,0,0,0,.5,0,.5,0,.1,0,0,0,0,0,.5,0,.5,.5,0,0,0
6I,0,0,70,0,0,0,0,.5,0,.5,1,.5,0,0,0,.1,.5,0,0,0,0,0,0,0,0,0,0,0,1,.1,0,0,0
8A,0,0,80,.5,.5,3,0,.5,0,.5,1,.5,0,0,0,0,0,0,0,0,.1,0,.5,0,.1,0,0,0,.5,0,0,0,0
8C,0,0,15,1,0,0,0,.5,0,.5,0,.5,.1,0,0,.5,0,0,0,.5,0,0,.1,0,0,0,0,0,.5,.5,0,0,.1
8E,.5,0,80,.5,.5,2,0,1,.5,2,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,.5,0,0,0,0
8G,0,0,55,.5,0,1,0,.5,0,.5,.5,.5,0,0,0,.5,0,0,0,0,.1,0,0,0,.5,0,0,.5,.5,.5,0,0,.5
8I,0,0,55,1,.5,2,0,.5,0,1,.5,.5,0,0,0,.5,0,0,0,.5,0,0,0,0,.5,0,.5,0,.5,.5,0,0,.1
