STAND 6, SURVEY DATE: 13 Jul 1981, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4A-C, R.A. Ellis (#2), ROWS: 4E-I,6,8, DATA ENTRY: 30 Oct 2003 (note: soil temperatures NOT measured [why?])
        (Note: first use of "." = 0.01% cover in this stand)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
FRVE   0.0   0.5   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.5   0.1   0.5   0.1   0.1   0.1   0.1   1.0   0.5   0.1   0.1   0.01  0.1   0.5   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   1.0   0.5   0.5   0.5   0.1   1.0   1.0   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.1   0.5   0.1   0.1   0.5   0.5   0.5   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0
GATR   0.5   0.1   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.5   0.1   0.0   0.1   0.5   0.01  0.0   0.0   0.1   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.0   0.01  0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HIUM   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LAOC   2.0   0.0   1.0   0.1   0.5   2.0   3.0   2.0   1.0   1.0   0.1   0.0   0.0   0.1   0.1   0.0   0.5   0.1   0.1   0.5   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LIBO   2.0   4.0   2.0   2.0   4.0   5.0   3.0   2.0   4.0   2.0   4.0   3.0   2.0   3.0   3.0   2.0   4.0   2.0   1.0   1.0   0.5   1.0   2.0   2.0   2.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
MACA   1.0   1.0   0.5   0.5   1.0   0.5   1.0   0.5   0.5   1.0   0.1   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0
MEPA   5.0   3.0   4.0   2.0   4.0   3.0   6.0   3.0   1.0   6.0   3.0   3.0   2.0   3.0   2.0   2.0   4.0   3.0   1.0  10.0   4.0   3.0   2.0   0.5   4.0   0.0   0.0   0.0   0.0   0.0
MINU   0.1   2.0   2.0   1.0   3.0   3.0   3.0   3.0   0.1   2.0   2.0   2.0   1.0   1.0   1.0   0.5   2.0   1.0   1.0   2.0   2.0   3.0   1.0   1.0   3.0   0.0   0.0   0.0   0.0   0.0
MOUN   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   0.5   0.5   2.0   0.5   2.0   2.0   1.0   1.0   3.0   1.0   3.0   1.0   1.0   0.5   0.5   1.0   1.0   1.0   1.0   2.0   3.0   1.0   0.5   1.0   2.0   0.0   0.0   0.0   0.0   0.0
PYAS   1.0   0.1   0.0   0.0   1.0   0.1   0.5   0.0   0.5   0.5   0.0   0.5   0.5   0.1   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
