STAND 6, SURVEY DATES: 31 Jul [MSR], 3 Aug [GHLR] & 7 Aug [RAE] 1985, OBSERVERS: G.H. La Roi (#1), ROWS: 0,2,4, R.A. Ellis (#2), ROW: 4, M.S. Ross (#4) ROWS: 4,6,8 DATA ENTRY: 16 Feb 2005
(note: soil thermometer ID #'s not known from photocopied data sheets; central Max-Min data for previous 30 days Max=87F, Min=37F; 15% cover est by MSR in cell 8A is for PIGL not BEPA!; also 6%/8A is VIED not VAVI)
(Calibration Note: MSR data from Row 4 entered in 4a-i; RAE data from Row 4 entered in 4aa-ii; neither used in computing raw data worksheet statistics, but very useful for comparing observations!)(Used RAE 0.1% LYAN
in 4I; RAE did not measure soil temperatures; note: filename H685MTRX.AUG does NOT include RAE's cover estimates; it IS too bad all 3 observers did not make their estimates on the SAME date!)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
VAVI   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
VIED  11.0   2.0   7.0   3.0  10.0  13.0  13.0   4.0   3.0   5.0   9.0   3.0   1.0   6.0   6.0   2.0   4.0   4.0   0.5   7.0   6.0   1.0   1.0   1.0   6.0   4.0   3.0   1.0   3.0   2.0   2.0   1.0   0.5   2.0   2.0
ACMI   0.01  0.01  0.01  0.0   0.1   0.1   0.01  0.0   0.1   0.0   0.1   0.01  0.1   0.01  0.01  0.0   0.01  0.01  0.01  0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.01  0.1   0.0   0.1   0.1   0.1   0.1   0.01  0.01
ACRU   1.0   0.5   1.0   0.1   1.0   0.5   1.0   2.0   0.0   0.0   0.0   0.1   1.0   0.0   0.5   0.0   0.1   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.1   0.0   0.1   0.0   0.1   0.1   0.0   0.1
ARNU  18.0  10.0   7.0  12.0  15.0  10.0  10.0  10.0   2.0   6.0  14.0   7.0   7.0   9.0  16.0   4.0   3.0   0.0   0.5   0.5   1.0   0.0   0.0   0.1  16.0  10.0   5.0   3.0   3.0  10.0   5.0   3.0   5.0   1.0   3.0
ASCI   2.0   1.0   1.0   0.5   3.0   4.0   4.0   2.0   1.0   3.0   2.0   1.0   1.0   1.0   0.5   0.5   1.0   0.5   0.1   2.0   0.5   1.0   0.1   0.5   3.0   1.0   1.0   2.0   1.0   3.0   0.5   1.0   1.0   2.0   2.0
ASCO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.1   0.0   1.0   0.5   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.5   0.1   0.5   0.1   0.0   0.5   0.0   0.0   0.0   0.0
AQBR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   7.0  10.0   6.0   2.0   7.0   3.0   7.0   7.0  15.0   6.0  13.0   5.0   8.0   2.0  10.0   2.0   3.0   2.0   0.5   2.0   1.0   0.5   1.0   0.1  10.0  15.0   4.0   4.0   3.0  10.0  12.0   5.0   5.0   3.0   5.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
DITR   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   3.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   1.0   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1
FRVE   0.0   0.5   1.0   1.0   0.0   0.0   0.1   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.01  0.0   0.1   0.0   0.5   0.01  0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0
FRVI   0.5   0.1   0.5   0.1   0.5   0.1   0.0   0.1   1.0   0.1   0.01  0.0   0.1   0.1   0.5   0.0   0.1   0.0   0.1   0.0   0.5   0.01  0.01  0.0   0.0   0.5   0.0   0.1   0.5   1.0   0.1   0.0   0.5   0.1   0.5
GABO   1.0   0.1   0.5   0.1   1.0   0.5   0.1   0.1   0.1   0.1   0.5   1.0   0.1   0.1   0.1   0.01  0.1   0.01  0.1   0.1   0.5   0.1   0.01  0.01  0.1   0.1   0.5   0.1   0.01  0.5   0.5   0.5   0.1   0.5   0.1
GATR   0.5   0.1   0.0   0.1   0.0   0.5   0.0   0.1   0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.01  0.1   0.5   0.0   0.0   0.1   0.1   0.1   0.01  0.5   0.0   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.1   0.1
GORE   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.0   0.1   0.01  0.1   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.01  0.01  0.01
HIUM   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LAOC   2.0   0.5   0.1   0.0   1.0   1.0   1.0   0.5   0.5   0.5   1.0   0.0   0.0   0.0   0.5   0.0   0.0   0.1   0.0   0.5   0.1   0.0   0.0   0.0   0.1   1.0   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0   0.1
LIBO   4.0  10.0   1.0   3.0  13.0   9.0   7.0   3.0   5.0   3.0  10.0   0.0   3.0   3.0   7.0   0.5   5.0   2.0   0.5   0.5   0.5   2.0   1.0   0.5   3.0   1.0   0.5   3.0   3.0   8.0   8.0   5.0   5.0   5.0   7.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
MACA   4.0   3.0   1.0   0.5   2.0   1.0   0.5   0.5   0.5   0.5   0.0   0.0   0.1   0.01  0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.1   0.01  0.0   0.1   0.0   0.1   1.0   0.1   0.5   0.0   0.5   0.0   0.5
MEPA   8.0   7.0   4.0   2.0   4.0   3.0   7.0   3.0   1.0   6.0   6.0   5.0   5.0   3.0   1.0   2.0   3.0   3.0   1.0   6.0   5.0   0.5   0.5   0.5   5.0   2.0   3.0   8.0   5.0   1.0   2.0   3.0   3.0   3.0   1.0
MINU   2.0   3.0   4.0   1.0   3.0   4.0   5.0   3.0   3.0   3.0   3.0   1.0   3.0   1.0   2.0   0.1   1.0   0.5   0.5   2.0   3.0   0.5   0.5   1.0   7.0   3.0   1.0   3.0   1.0   5.0   3.0   1.0   2.0   1.0   3.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   2.0   1.0   3.0   0.5   2.0   2.0   3.0   1.0   5.0   1.0   2.0   2.0   2.0   0.5   1.0   1.0   0.5   2.0   1.0   0.5   2.0   0.5   0.5   0.5   1.0   1.0   1.0   2.0   0.5   2.0   2.0   1.0   1.0   1.0   0.5
PYAS   1.0   0.5   0.5   0.0   1.0   0.1   0.5   0.0   0.5   0.5   0.1   0.1   0.1   0.0   0.1   0.01  0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.1   0.0   0.1   0.5   0.0   0.1
ORSE   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.1   0.1   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUPU   7.0   4.0   2.0   6.0   5.0   3.0   5.0   5.0   3.0   5.0   5.0   2.0   4.0   2.0   2.0   0.5   0.1   0.5   0.0   3.0   3.0   1.0   0.5   0.1   5.0   3.0   1.0   3.0   1.0   5.0   2.0   1.0   2.0   0.5   2.0
TRBO   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.01  0.1   0.0   0.0   0.0   0.1   2.0   0.0   0.0   0.1   0.0   0.1   0.0   0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.1   0.5   0.0   0.0   0.0
VIAM   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AGTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BRCI   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01
CACA   1.0   0.1   1.0   0.1   2.0   0.5   3.0   0.5   1.0   1.0   1.0   0.1   0.5   0.1   1.0   0.1   0.1   0.1   0.01  0.5   0.5   0.1   0.01  0.1   0.5   0.5   0.1   0.5   0.1   0.5   0.5   0.1   0.1   0.1   0.5
ELGL   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELIN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.5   0.01  0.0   0.0   0.01  0.1   0.0   0.1   0.1   0.1   0.0   0.1   0.1   0.0   0.0
SCPU   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQSY   0.0   0.1   0.0   0.0   0.1   0.0   0.01  0.1   0.1   0.1   0.0   0.0   0.0   0.01  0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.01  0.01  0.0   0.01  0.01  0.0   0.01  0.0
LYAN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i    4aa   4cc   4ee   4gg   4ii
VIRE   0.5   0.5   0.5   0.1   1.0   1.0   0.1   0.5   0.1   0.5   0.1   0.5   0.1   0.5   0.5   0.1   0.1   0.1   0.1   0.1   0.1   0.5   0.5   0.5   0.5   0.0   0.5   0.1   0.5   0.5   0.5   1.0   0.5   0.5   1.0
