STAND 6, SURVEY DATE: 06 Jun 1984, OBSERVERS: G.H. La Roi (#1), ROWS: 4,6,8, M.S. Ross (#3), ROWS: 0,2,4, DATA ENTRY: 14 Dec 2004 (note: GHLR used soil thermometer "Old#1", MSR used "M";
central max-min data: max 72 min 24 present 55 at 6pm;Joseph Campbell: "Masks of God", 5-vol on mythology/Renee M Ostafichuk)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ASCI   1.0   0.5   0.1   0.1   1.0   1.0   1.0   0.5   0.5   0.1   0.1   1.0   0.5   1.0   1.0   0.1   0.5   0.01  0.1   1.0   1.0   1.0   0.01  0.1   1.0   0.1   0.5   0.5   0.1   1.0
ASCO   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.1   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.01  0.0   0.0   0.1   0.1   0.01  0.0   0.0
AQBR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   3.0   1.0   1.0   0.1   1.0   0.1   0.5   0.1   0.1   0.01  5.0   1.0   2.0   1.0   3.0   1.0   2.0   2.0   0.1   5.0   4.0   0.5   0.1   0.01  4.0   0.1   0.5   1.0   0.1   1.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
DITR   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   1.0   0.0   0.0   0.0   0.01  0.5   0.0   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.1   0.5   0.1   0.0   0.5   0.5   0.0   0.0   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.1   1.0   0.01  0.0   0.1   0.0   0.1   0.1   0.0   0.0   0.0
FRVI   0.5   0.0   0.1   0.1   0.5   0.5   0.1   0.5   0.5   0.01  0.1   0.0   0.01  0.01  0.1   0.01  0.1   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.01  0.01  0.0   0.1   0.1   0.5
GABO   0.5   0.1   0.01  0.1   0.1   0.1   0.1   0.01  0.1   0.1   0.1   0.5   0.01  0.1   0.1   0.01  0.1   0.01  0.0   0.1   0.1   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0
GATR   0.1   0.1   0.01  0.1   0.01  0.1   0.1   0.1   0.0   0.01  0.0   0.01  0.01  0.01  0.1   0.0   0.1   0.5   0.0   0.0   0.01  0.1   0.1   0.0   0.1   0.0   0.01  0.01  0.01  0.1
GORE   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
HIUM   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LAOC   0.5   0.0   0.01  0.0   0.1   0.0   0.1   0.1   0.01  0.1   0.1   0.01  0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.1   0.1   0.0   0.0   0.0   0.01  0.1   0.01  0.0   0.0   0.0
LIBO   2.0   4.0   1.0   1.0   2.0   2.0   3.0   0.5   1.0   0.5   5.0   3.0   4.0   4.0   5.0   3.0   6.0   5.0   1.0   3.0   2.0   3.0   1.0   0.5   8.0   1.0   0.5   2.0   3.0   3.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
MACA   1.0   1.0   0.0   0.5   1.0   0.5   0.5   0.1   0.1   0.1   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.1   0.1   0.1   0.5   0.0   0.1   0.0   0.0   0.1   0.0   0.5   0.1   0.0
MEPA   3.0   2.0   0.5   1.0   3.0   4.0   5.0   1.0   0.5   3.0   5.0   4.0   3.0   3.0   3.0   3.0   3.0   2.0   1.0   5.0   5.0   1.0   0.1   0.1   5.0   2.0   3.0   2.0   2.0   2.0
MINU   4.0   3.0   2.0   0.5   0.5   1.0   1.0   1.0   0.0   0.5   3.0   1.0   2.0   2.0   2.0   0.1   1.0   2.0   0.1   3.0   3.0   0.5   0.5   0.5   4.0   2.0   1.0   1.0   0.5   2.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PEPA   0.5   0.5   0.1   0.0   0.1   0.1   0.1   0.1   0.1   0.1   1.0   0.1   0.5   0.5   0.5   1.0   1.0   0.5   0.1   0.5   0.5   0.1   0.5   0.1   1.0   0.5   0.1   0.1   0.1   0.5
PYAS   1.0   0.0   0.5   0.01  0.5   0.1   0.01  0.01  0.5   0.1   0.0   0.0   0.01  0.0   0.1   0.01  0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.01  0.0   0.01  0.1
ORSE   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
