STAND 6, SURVEY DATE: 31 Jul 1990, OBSERVERS: G.H. & N.B. La Roi (#1), ROWS: 0,2,4,6,8, DATA ENTRY: 22 Feb 2006 (note: GHLR used soil thermometer Old#1; no birds noted; Met data Max-Mins
SW Max 32C Min 6 Present 27 @1325h mdt, Central Max 86F Min 42 Present 78 @1500h, NE Max 87F Min 43 Present 78 @1630h; no marginal notes or rain gauge data)

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
ASCI   2.0   1.0   1.0   0.0   1.0   1.0   5.0   1.0   1.0   2.0   0.0   0.5   0.5   1.0   1.0   0.5   0.5   0.5   0.0   1.0   1.0   0.5   0.5   1.0   3.0   0.0   0.0   0.0   0.0   0.0
ASCO   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AQBR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COCA   7.0   4.0   4.0   2.0   7.0   3.0   4.0   5.0   7.0   4.0  10.0   3.0   2.0   1.0   3.0   1.0   3.0   2.0   1.0  10.0   4.0   0.5   2.0   1.0  10.0   0.0   0.0   0.0   0.0   0.0
COTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
DITR   2.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EPAN   4.0   0.0   0.5   0.0   0.5   0.5   0.0   0.0   0.0   0.5   0.5   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   1.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
FRVE   0.0   0.5   1.0   0.5   0.0   0.0   1.0   0.0   0.0   0.0   1.0   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.5   0.5   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0
FRVI   0.5   0.1   0.1   0.5   0.5   0.0   0.5   0.5   0.5   0.1   0.1   0.0   0.1   0.0   0.5   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.5   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GABO   1.0   0.5   1.0   0.5   1.0   0.5   0.5   0.1   0.1   0.1   0.5   0.5   0.1   0.1   0.5   0.1   0.1   0.01  0.1   0.5   1.0   0.1   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0
GATR   0.5   0.1   0.0   0.5   0.0   0.5   0.0   0.5   0.1   0.1   0.5   0.1   0.5   0.0   0.0   0.1   0.0   0.1   0.0   0.5   0.1   0.1   0.5   0.1   1.0   0.0   0.0   0.0   0.0   0.0
GORE   0.0   0.1   0.0   0.0   0.01  0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0
HIUM   0.0   0.0   0.01  0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LAOC   2.0   1.0   0.0   0.5   2.0   1.0   3.0   1.0   0.5   0.1   0.5   0.0   0.0   0.0   1.0   0.0   0.0   0.01  0.01  1.0   0.5   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
LIBO   7.0   5.0   3.0   3.0  11.0   8.0   7.0   3.0   4.0   3.0  11.0   4.0   7.0   3.0   9.0   1.0  12.0   4.0   2.0   4.0   3.0   4.0   3.0   4.0  12.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
MACA   3.0   3.0   2.0   1.0   3.0   0.0   1.0   2.0   0.0   1.0   0.0   0.1   0.5   0.1   0.0   0.0   0.0   0.0   0.01  0.0   0.5   0.0   0.1   0.0   0.5   0.0   0.0   0.0   0.0   0.0
MEPA   9.0   5.0   3.0   1.0   4.0   7.0   8.0   3.0   1.0   4.0   6.0   4.0   5.0   2.0   2.0   1.0   3.0   1.0   1.0   9.0   6.0   0.1   1.0   1.0   9.0   0.0   0.0   0.0   0.0   0.0
MINU   6.0   4.0   6.0   3.0   3.0   5.0   5.0   3.0   3.0   2.0   3.0   1.0   2.0   2.0   2.0   2.0   5.0   2.0   0.5   5.0   3.0   2.0   0.5   2.0   7.0   0.0   0.0   0.0   0.0   0.0
MOUN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0
PEPA   5.0   5.0   6.0   0.5   1.0   2.0   5.0   5.0   6.0   2.0   5.0   2.0   2.0   1.0   2.0   0.5   4.0   2.0   1.0   2.0   3.0   0.5   1.0   2.0   8.0   0.0   0.0   0.0   0.0   0.0
PYAS   1.0   0.1   0.0   0.1   2.0   0.0   0.5   0.1   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ORSE   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PYCH   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUPU   6.0   4.0   2.0   4.0  10.0   5.0   4.0   4.0   5.0   3.0   8.0   2.0   2.0   0.5   2.0   1.0   2.0   0.5   0.5   8.0   4.0   0.5   0.5   1.0   7.0   0.0   0.0   0.0   0.0   0.0
TRBO   0.5   0.1   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.5   0.1   0.0   0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.1   0.0   0.1   0.1   0.0   0.0   0.0   0.0   0.0
VIAM   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.01  0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
AGTR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
BRCI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CACA   1.0   0.01  0.5   0.5   0.5   1.0   2.0   0.5   0.5   0.1   1.0   0.1   0.1   0.01  0.01  0.0   0.5   0.1   0.01  1.0   0.5   0.01  0.1   0.01  0.5   0.0   0.0   0.0   0.0   0.0
ELGL   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
ELIN   0.0   0.1   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.1   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0
SCPU   0.0   0.1   0.0   0.0   0.5   0.0   0.0   0.0   0.1   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
EQSY   0.1   0.1   0.01  0.0   0.01  0.0   0.0   0.1   0.1   0.1   0.0   0.0   0.0   0.01  0.01  0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.1   0.0   0.0   0.0   0.0   0.0
LYAN   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
VIRE   0.5   0.5   0.5   0.1   1.0   0.5   0.0   1.0   0.1   0.5   1.0   0.1   0.5   0.1   0.1   0.1   0.1   0.1   0.1   1.0   0.5   0.1   0.5   0.1   0.5   0.0   0.0   0.0   0.0   0.0
GEAM   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LOCA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TAOF   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CXSI   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.01  0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COST   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SABE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
POye   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIMA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
mint   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
GEBI   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SAsp   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
UnkA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
LAVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
PIBA   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RIOX   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
RUsp   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CIAR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
COAU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
SEER   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0

Quad  0A    0C    0E    0G    0I    2I    2G    2E    2C    2A    4A    4C    4E    4G    4I    6I    6G    6E    6C    6A    8A    8C    8E    8G    8I    4a    4c    4e    4g    4i
THVE   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TRHY   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
CABU   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
TRPR   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0
temp  65.0  64.0  64.0  64.0  65.0  65.0  65.0  64.0  62.0  64.0  64.0  64.0  65.0  65.0  65.0  68.0  67.0  67.0  68.0  67.0  66.0  65.0  68.0  64.0  67.0   0.0   0.0   0.0   0.0   0.0

