year,stand,quad,total_cover,ABBA,BEPU,LALA,PIBA,PIGL,PIMA,POBA,POTR,ALCR,PRPE
1987,2,1D,37,0,0,0,37,0,0,0,0,0,0
1987,2,1E,69,0,0,0,69,0,0,0,0,0,0
1987,2,1F,30,0,0,0,30,0,0,0,0,0,0
1987,2,1G,61,0,0,0,61,0,0,0,0,0,0
1987,2,1H,71,0,0,0,71,0,0,0,0,0,0
1987,2,1I,62,0,0,0,62,0,0,0,0,0,0
1987,2,1J,73,0,0,0,73,0,0,0,0,0,0
1987,2,2A,31,0,0,0,31,0,0,0,0,0,0
1987,2,2B,42,0,0,0,42,0,0,0,0,0,0
1987,2,2C,55,0,0,0,55,0,0,0,0,0,0
1987,2,2D,81,0,0,0,81,0,0,0,0,0,0
1987,2,2E,42,0,0,0,42,0,0,0,0,0,0
1987,2,2F,35,0,0,0,35,0,0,0,0,0,0
1987,2,2G,52,0,0,0,52,0,0,0,0,0,0
1987,2,2H,68,0,0,0,68,0,0,0,0,0,0
1987,2,2I,62,0,0,0,62,0,0,0,0,0,0
1987,2,2J,66,0,0,0,66,0,0,0,0,0,0
1987,2,3A,25,0,0,0,25,0,0,0,0,0,0
1987,2,3B,25,0,0,0,25,0,0,0,0,0,0
1987,2,3C,35,0,0,0,35,0,0,0,0,0,0
1987,2,3D,60,0,0,0,60,0,0,0,0,0,0
1987,2,3E,54,0,0,0,54,0,0,0,0,0,0
1987,2,3F,55,0,0,0,55,0,0,0,0,0,0
1987,2,3G,50,0,0,0,50,0,0,0,0,0,0
1987,2,3H,35,0,0,0,35,0,0,0,0,0,0
1987,2,3I,32,0,0,0,32,0,0,0,0,0,0
1987,2,3J,37,0,0,0,37,0,0,0,0,0,0
1987,2,4A,29,0,0,0,29,0,0,0,0,0,0
1987,2,4B,35,0,0,0,35,0,0,0,0,0,0
1987,2,4C,51,0,0,0,51,0,0,0,0,0,0
1987,2,4D,49,0,0,0,49,0,0,0,0,0,0
1987,2,4E,57,0,0,0,57,0,0,0,0,0,0
1987,2,4F,76,0,0,0,76,0,0,0,0,0,0
1987,2,4G,68,0,0,0,68,0,0,0,0,0,0
1987,2,4H,35,0,0,0,35,0,0,0,0,0,0
1987,2,4I,22,0,0,0,22,0,0,0,0,0,0
1987,2,4J,33,0,0,0,33,0,0,0,0,0,0
1987,2,5A,66,0,0,0,66,0,0,0,0,0,0
1987,2,5B,51,0,0,0,51,0,0,0,0,0,0
1987,2,5C,60,0,0,0,60,0,0,0,0,0,0
1987,2,5D,58,0,0,0,58,0,0,0,0,0,0
1987,2,5E,55,0,0,0,55,0,0,0,0,0,0
1987,2,5F,71,0,0,0,71,0,0,0,0,0,0
1987,2,5G,77,0,0,0,77,0,0,0,0,0,0
1987,2,5H,47,0,0,0,47,0,0,0,0,0,0
1987,2,5I,23,0,0,0,23,0,0,0,0,0,0
1987,2,5J,36,0,0,0,36,0,0,0,0,0,0
1987,2,6A,73,0,0,0,73,0,0,0,0,0,0
1987,2,6B,67,0,0,0,67,0,0,0,0,0,0
1987,2,6C,62,0,0,0,62,0,0,0,0,0,0
1987,2,6D,82,0,0,0,82,0,0,0,0,0,0
1987,2,6E,73,0,0,0,73,0,0,0,0,0,0
1987,2,6F,80,0,0,0,80,0,0,0,0,0,0
1987,2,6G,64,0,0,0,64,0,0,0,0,0,0
1987,2,6H,40,0,0,0,40,0,0,0,0,0,0
1987,2,6I,33,0,0,0,33,0,0,0,0,0,0
1987,2,6J,63,0,0,0,63,0,0,0,0,0,0
1987,2,7A,76,0,0,0,76,0,0,0,0,0,0
1987,2,7B,83,0,0,0,83,0,0,0,0,0,0
1987,2,7C,77,0,0,0,77,0,0,0,0,0,0
1987,2,7D,72,0,0,0,72,0,0,0,0,0,0
1987,2,7E,81,0,0,0,81,0,0,0,0,0,0
1987,2,7F,77,0,0,0,77,0,0,0,0,0,0
1987,2,7G,81,0,0,0,81,0,0,0,0,0,0
1987,2,7H,57,0,0,0,57,0,0,0,0,0,0
1987,2,7I,50,0,0,0,50,0,0,0,0,0,0
1987,2,7J,62,0,0,0,62,0,0,0,0,0,0
1987,2,8A,73,0,0,0,73,0,0,0,0,0,0
1987,2,8B,77,0,0,0,77,0,0,0,0,0,0
1987,2,8C,78,0,0,0,78,0,0,0,0,0,0
1987,2,8D,70,0,0,0,70,0,0,0,0,0,0
1987,2,8E,83,0,0,0,83,0,0,0,0,0,0
1987,2,8F,73,0,0,0,73,0,0,0,0,0,0
1987,2,8G,61,0,0,0,61,0,0,0,0,0,0
1987,2,8H,46,0,0,0,46,0,0,0,0,0,0
1987,2,8I,48,0,0,0,48,0,0,0,0,0,0
1987,2,8J,67,0,0,0,67,0,0,0,0,0,0
1987,2,9A,66,0,0,0,66,0,0,0,0,0,0
1987,2,9B,58,0,0,0,58,0,0,0,0,0,0
1987,2,9C,69,0,0,0,69,0,0,0,0,0,0
1987,2,9D,64,0,0,0,64,0,0,0,0,0,0
1987,2,9E,75,0,0,0,75,0,0,0,0,0,0
1987,2,9F,77,0,0,0,77,0,0,0,0,0,0
1987,2,9G,52,0,0,0,52,0,0,0,0,0,0
1987,2,9H,37,0,0,0,37,0,0,0,0,0,0
1987,2,9I,50,0,0,0,50,0,0,0,0,0,0
1987,2,9J,68,0,0,0,68,0,0,0,0,0,0
1987,3,0A,54,0,0,0,53,1,0,0,0,0,0
1987,3,0B,48,0,0,0,48,0,0,0,0,0,0
1987,3,0C,43,0,0,0,43,0,0,0,0,0,0
1987,3,0D,48,0,0,0,48,0,0,0,0,0,0
1987,3,0E,47,0,0,0,47,0,0,0,0,0,0
1987,3,0F,69,0,0,0,47,22,0,0,0,0,0
1987,3,0G,55,2,0,0,53,0,0,0,0,0,0
1987,3,0H,56,0,0,0,56,0,0,0,0,0,0
1987,3,0I,54,0,0,0,54,0,0,0,0,0,0
1987,3,0J,47,0,0,0,47,0,0,0,0,0,0
1987,3,1A,68,0,6,0,31,31,0,0,0,0,0
1987,3,1B,67,0,4,0,53,10,0,0,0,0,0
1987,3,1C,46,0,0,0,46,0,0,0,0,0,0
1987,3,1D,56,0,0,0,55,1,0,0,0,0,0
1987,3,1E,53,0,0,0,49,4,0,0,0,0,0
1987,3,1F,75,0,0,0,44,31,0,0,0,0,0
1987,3,1G,49,0,0,0,48,1,0,0,0,0,0
1987,3,1H,45,0,0,0,45,0,0,0,0,0,0
1987,3,1I,54,0,3,0,50,1,0,0,0,0,0
1987,3,1J,57,0,0,0,57,0,0,0,0,0,0
1987,3,2A,69,0,0,0,37,32,0,0,0,0,0
1987,3,2B,54,0,0,0,49,5,0,0,0,0,0
1987,3,2C,52,0,0,0,52,0,0,0,0,0,0
1987,3,2D,56,0,5,0,50,1,0,0,0,0,0
1987,3,2E,53,0,0,0,50,3,0,0,0,0,0
1987,3,2F,56,0,0,0,46,10,0,0,0,0,0
1987,3,2G,60,0,0,0,49,11,0,0,0,0,0
1987,3,2H,51,0,0,0,51,0,0,0,0,0,0
1987,3,2I,59,0,0,0,57,2,0,0,0,0,0
1987,3,2J,70,0,0,0,66,4,0,0,0,0,0
1987,3,3A,58,0,0,0,54,4,0,0,0,0,0
1987,3,3B,48,0,0,0,48,0,0,0,0,0,0
1987,3,3C,41,0,0,0,41,0,0,0,0,0,0
1987,3,3D,40,0,0,0,30,10,0,0,0,0,0
1987,3,3E,86,0,0,0,25,61,0,0,0,0,0
1987,3,3F,60,0,0,0,37,23,0,0,0,0,0
1987,3,3G,58,0,0,0,50,8,0,0,0,0,0
1987,3,3H,54,0,0,0,53,1,0,0,0,0,0
1987,3,3I,58,0,0,0,57,1,0,0,0,0,0
1987,3,3J,54,0,0,0,54,0,0,0,0,0,0
1987,3,4A,44,0,0,0,44,0,0,0,0,0,0
1987,3,4B,40,0,0,0,26,8,0,0,0,0,6
1987,3,4C,45,0,4,0,36,5,0,0,0,0,0
1987,3,4D,79,0,0,0,54,25,0,0,0,0,0
1987,3,4E,45,0,0,0,38,7,0,0,0,0,0
1987,3,4F,45,0,0,0,40,5,0,0,0,0,0
1987,3,4G,46,0,0,0,46,0,0,0,0,0,0
1987,3,4H,56,0,0,0,56,0,0,0,0,0,0
1987,3,4I,46,0,0,0,46,0,0,0,0,0,0
1987,3,4J,47,0,0,0,47,0,0,0,0,0,0
