stand,WE_marker,SN_marker,relative_elevation_m
4,8,B,-3.64
4,9,B,-3.88
4,10,B,-4.00
4,0,C,-0.37
4,1,C,-0.29
4,2,C,-1.41
4,3,C,-2.07
4,4,C,-2.16
4,5,C,-2.03
4,6,C,-2.59
4,7,C,-3.54
4,8,C,-4.37
4,9,C,-4.76
4,10,C,-5.41
4,0,D,-0.98
4,1,D,-0.85
4,2,D,-2.12
4,3,D,-2.03
4,4,D,-2.54
4,5,D,-2.41
4,6,D,-3.26
4,7,D,-3.80
4,8,D,-4.89
4,9,D,-5.56
4,10,D,-6.23
4,0,E,-1.08
4,1,E,-1.47
4,2,E,-2.47
4,3,E,-2.30
4,4,E,-2.66
4,5,E,-2.20
4,6,E,-3.48
4,7,E,-3.94
4,8,E,-5.14
4,9,E,-6.14
4,10,E,-6.50
4,0,F,-0.70
4,1,F,-1.48
4,2,F,-2.47
4,3,F,-1.82
4,4,F,-1.81
4,5,F,-2.11
4,6,F,-4.01
4,7,F,-4.63
4,8,F,-5.98
4,9,F,-6.30
4,10,F,-6.71
4,0,G,-0.58
4,1,G,-0.75
4,2,G,-2.11
4,3,G,-1.68
4,4,G,-2.59
4,5,G,-2.83
4,6,G,-4.68
4,7,G,-4.84
4,8,G,-5.52
4,9,G,-5.80
4,10,G,-6.00
4,0,H,0.64
4,1,H,0.49
4,2,H,-1.05
4,3,H,-1.65
4,4,H,-3.39
4,5,H,-3.18
4,6,H,-4.24
4,7,H,-4.71
4,8,H,-5.41
4,9,H,-5.20
4,10,H,-5.58
4,0,I,2.08
4,1,I,1.53
4,2,I,-0.77
4,3,I,-1.53
4,4,I,-3.58
4,5,I,-3.62
4,6,I,-4.68
4,7,I,-4.65
4,8,I,-5.42
4,9,I,-5.38
4,10,I,-5.79
4,0,J,2.52
4,1,J,0.89
4,2,J,-1.04
4,3,J,-1.02
4,4,J,-3.20
4,5,J,-3.23
4,6,J,-4.54
4,7,J,-4.49
4,8,J,-5.91
4,9,J,-5.58
4,10,J,-5.37
4,0,K,2.10
4,1,K,-0.35
4,2,K,0.01
4,3,K,0.90
4,4,K,-0.59
4,5,K,-1.55
4,6,K,-3.03
4,7,K,-3.80
4,8,K,-4.26
4,9,K,-4.19
4,10,K,-5.12
5,0,A,0.00
5,1,A,-1.28
5,2,A,-1.91
5,3,A,-2.37
5,4,A,-2.67
5,5,A,-3.70
5,6,A,-4.39
5,7,A,-5.17
5,8,A,-5.80
5,9,A,-6.08
5,10,A,-6.41
5,0,B,-0.50
5,1,B,-1.29
5,2,B,-1.76
5,3,B,-2.53
5,4,B,-3.06
5,5,B,-4.28
5,6,B,-4.91
5,7,B,-5.56
5,8,B,-5.87
5,9,B,-6.40
5,10,B,-6.70
5,0,C,-0.73
5,1,C,-1.28
5,2,C,-1.79
5,3,C,-2.53
5,4,C,-3.06
5,5,C,-4.28
5,6,C,-4.91
5,7,C,-5.56
5,8,C,-5.87
5,9,C,-6.40
5,10,C,-6.70
5,0,D,-0.91
5,1,D,-1.45
5,2,D,-2.61
5,3,D,-3.52
5,4,D,-4.23
5,5,D,-5.16
5,6,D,-5.69
5,7,D,-6.19
5,8,D,-6.37
5,9,D,-6.63
5,10,D,-7.00
5,0,E,-0.85
5,1,E,-1.81
5,2,E,-3.35
5,3,E,-3.81
5,4,E,-4.98
5,5,E,-4.73
5,6,E,-5.95
5,7,E,-6.43
5,8,E,-6.71
5,9,E,-6.98
5,10,E,-7.12
5,0,F,-1.34
5,1,F,-2.23
5,2,F,-3.76
5,3,F,-4.17
5,4,F,-5.10
5,5,F,-5.78
5,6,F,-6.29
5,7,F,-6.53
5,8,F,-6.93
5,9,F,-6.95
5,10,F,-7.49
5,0,G,-2.12
5,1,G,-2.86
5,2,G,-3.71
5,3,G,-4.68
5,4,G,-5.51
5,5,G,-5.55
5,6,G,-6.90
5,7,G,-6.64
5,8,G,-6.92
5,9,G,-7.40
5,10,G,-7.71
5,0,H,-3.05
5,1,H,-3.49
5,2,H,-4.41
5,3,H,-5.11
5,4,H,-5.93
5,5,H,-6.15
5,6,H,-7.19
5,7,H,-7.14
5,8,H,-6.75
5,9,H,-7.66
5,10,H,-7.83
5,0,I,-3.44
5,1,I,-2.88
5,2,I,-5.16
5,3,I,-5.67
5,4,I,-6.12
5,5,I,-6.65
5,6,I,-7.47
5,7,I,-7.75
5,8,I,-5.18
5,9,I,-8.29
5,10,I,-8.39
5,0,J,-3.63
5,1,J,-3.49
5,2,J,-5.55
5,3,J,-6.17
5,4,J,-6.95
5,5,J,-7.35
5,6,J,-8.42
5,7,J,-8.28
5,8,J,-8.64
5,9,J,-8.77
5,10,J,-9.16
5,0,K,-4.48
5,1,K,-3.73
5,2,K,-5.85
5,3,K,-6.33
5,4,K,-7.50
5,5,K,-7.75
5,6,K,-9.07
5,7,K,-8.92
5,8,K,-9.35
5,9,K,-9.60
5,10,K,-9.69
6,0,A,0.00
6,1,A,-0.62
6,2,A,-0.60
6,3,A,-0.72
6,4,A,-0.79
6,5,A,-1.08
6,6,A,-0.89
6,7,A,-0.72
6,8,A,-0.99
6,9,A,-1.17
6,10,A,-0.92
6,0,B,-0.27
6,1,B,-0.71
6,2,B,-0.72
6,3,B,-1.10
6,4,B,-0.99
6,5,B,-1.49
6,6,B,-1.28
6,7,B,-1.11
6,8,B,-1.65
6,9,B,-1.50
6,10,B,-1.54
6,0,C,-0.62
6,1,C,-1.24
6,2,C,-0.92
6,3,C,-1.22
6,4,C,-1.16
6,5,C,-1.61
6,6,C,-1.60
6,7,C,-1.57
6,8,C,-1.96
6,9,C,-1.73
6,10,C,-1.52
6,0,D,-0.87
6,1,D,-1.18
6,2,D,-0.95
6,3,D,-1.22
6,4,D,-1.34
6,5,D,-2.06
6,6,D,-1.67
6,7,D,-1.57
6,8,D,-1.68
6,9,D,-1.87
6,10,D,-1.64
6,0,E,-0.92
6,1,E,-1.04
6,2,E,-0.69
6,3,E,-1.20
6,4,E,-1.31
6,5,E,-1.67
6,6,E,-1.79
6,7,E,-1.70
6,8,E,-1.54
6,9,E,-1.75
6,10,E,-1.71
6,0,F,-0.84
6,1,F,-0.86
6,2,F,-0.36
6,3,F,-1.22
6,4,F,-1.04
6,5,F,-1.85
6,6,F,-1.88
6,7,F,-1.75
6,8,F,-1.85
6,9,F,-2.07
6,10,F,-2.00
6,0,G,-0.40
6,1,G,-0.59
6,2,G,-0.50
6,3,G,-0.86
6,4,G,-0.80
6,5,G,-1.73
6,6,G,-1.80
6,7,G,-1.62
6,8,G,-2.17
6,9,G,-2.17
6,10,G,-1.81
6,0,H,-0.15
6,1,H,-0.30
6,2,H,0.25
6,3,H,-0.70
6,4,H,-0.37
6,5,H,-1.60
6,6,H,-1.86
6,7,H,-1.38
6,8,H,-1.60
6,9,H,-1.88
6,10,H,-1.64
6,0,I,-0.13
