original_code,strata,sci_name_original,sci_authority_original,common_name,accepted_name,sci_authority_accepted,comments,unified_code
ABBA,T,Abies balsamea,(L.) Mill.,balsam fir,Abies balsamea,(L.) Mill.,,ABBA
ACMI,F,Achillea millefolium,L.,common yarrow,Achillea millefolium,L.,,ACMI
ACRU,F,Actaea rubra,(Ait.) Willd.,red and white baneberry,Actaea rubra,(Aiton) Willd.,,ACRU
ACSI,F,Achillea sibirica,Ledeb.,Siberian yarrow,Achillea alpina,L.,NA,ACAL
AGSC,G,Agrostis scabra,Willd.,rough hair grass,Agrostis scabra,Willd.,,AGSC
AGSU,G,Agropyron subsecundum,(Link) Malte,slender wheat grass,Elymus trachycaulum,(Link) Malte ex H.F. Lewis,Agropyron subsecundum is now just a sub-species,AGTR
AGTR,G ,Agropyron trachycaulum,(Link) Malte,slender wheat grass,Elymus trachycaulum,(Link) Malte ex H.F. Lewis,identified by Derek Johnson - Sample collected in Stand 8 in 2005 was initially called Ag-inexpa. Was called AGSU - Agropyron subsecundum - in stands 1 and 2 before 2005 based on Moss 1st edition (verified by George LaRoi),AGTR
ALCR,S,Alnus crispa,(Ait.) Pursh,green alder,Alnus viridis,(Aiton) Turrill, ,ALVI
ALTE,S,Alnus tenuifolia,Nutt.,River alder,Alnus incana ,(L.) Moench,,ALIN
AMAL,S,Amelanchier alnifolia,(Nutt.) Nutt.,saskatoon,Amelanchier alnifolia,(Nutt.) Nutt. ex M. Roem.,,AMAL
ANRA,F,Antennaria racemosa,Hook.,raceme pussytoes,Antennaria howellii,Hook.,"species name verified by George LaRoi; however, D. Johnson notes that this is a Western species that does not occur in AB. Revised to A. howellii (closest look-alike, but distributed in AB)",ANHO
ANMU,F,Anemone multifida,Poir.,cut-leaved anemone,Anemone multifida,Poir.,,ANMU
ANPA,F,Anemone patens,L.,prairie crocus,Anemone patens,L.,species name verified by George LaRoi,ANPA
ANPO,S,Andromeda polifolia,L.,bog rosemary,Andromeda polifolia,L.,,ANPO
APAN,F,Apocynum androsaemifolium,L.,spreading dogbane,Apocynum androsaemifolium,L.,only in AOS plots,APAN
AQBR,F,Aquilegia brevistyla,Hook.,blue columbine,Aquilegia brevistyla,Hook.,,AQBR
AQFL,F,Aquilegia flavescens,S. Watson,yellow columbine,Aquilegia flavescens,S. Watson,only in AOS plots,AQFL
ARCA,F,Artemisia campestris,L.,plains wormwood,Artemisia campestris,L.,,ARCA
