month,year,stand,quad,temp_C
7,1989,1,0G,14
8,1989,1,0G,16
9,1989,1,0G,11
10,1989,1,0G,7
5,1990,1,0G,3
6,1990,1,0G,9
7,1990,1,0G,12
8,1990,1,0G,11
9,1990,1,0G,12
10,1990,1,0G,3
8,1995,1,0G,13
8,2000,1,0G,15
8,2005,1,0G,14
8,2010,1,0G,15
6,1981,1,0I,8
8,1981,1,0I,13
9,1981,1,0I,8
11,1981,1,0I,4
5,1982,1,0I,2
6,1982,1,0I,8
7,1982,1,0I,14
8,1982,1,0I,12
9,1982,1,0I,11
10,1982,1,0I,4
5,1983,1,0I,3
6,1983,1,0I,9
7,1983,1,0I,14
8,1983,1,0I,17
9,1983,1,0I,9
10,1983,1,0I,8
5,1984,1,0I,3
6,1984,1,0I,11
7,1984,1,0I,14
8,1984,1,0I,18
9,1984,1,0I,12
10,1984,1,0I,7
5,1985,1,0I,3
6,1985,1,0I,7
7,1985,1,0I,12
9,1985,1,0I,17
10,1985,1,0I,6
5,1986,1,0I,1
6,1986,1,0I,10
7,1986,1,0I,11
8,1986,1,0I,14
9,1986,1,0I,14
10,1986,1,0I,7
5,1987,1,0I,7.5
6,1987,1,0I,9.5
7,1987,1,0I,13.5
8,1987,1,0I,15
9,1987,1,0I,7
10,1987,1,0I,10.5
5,1988,1,0I,3
6,1988,1,0I,10.5
7,1988,1,0I,17.5
8,1988,1,0I,14
9,1988,1,0I,12
10,1988,1,0I,4
5,1989,1,0I,4
6,1989,1,0I,6
7,1989,1,0I,13
8,1989,1,0I,15
9,1989,1,0I,11
10,1989,1,0I,6
5,1990,1,0I,3
6,1990,1,0I,9
7,1990,1,0I,12
8,1990,1,0I,11
9,1990,1,0I,11
10,1990,1,0I,2
8,1995,1,0I,12
8,2000,1,0I,14
8,2005,1,0I,14
8,2010,1,0I,15
6,1981,1,2A,11
8,1981,1,2A,14
9,1981,1,2A,9
11,1981,1,2A,4
5,1982,1,2A,3
6,1982,1,2A,9
7,1982,1,2A,12
8,1982,1,2A,13
9,1982,1,2A,12
10,1982,1,2A,5
5,1983,1,2A,3
6,1983,1,2A,9
7,1983,1,2A,16
8,1983,1,2A,18
9,1983,1,2A,9
10,1983,1,2A,8
5,1984,1,2A,6
6,1984,1,2A,12
7,1984,1,2A,14
8,1984,1,2A,19
9,1984,1,2A,12
10,1984,1,2A,7
5,1985,1,2A,2
6,1985,1,2A,11
7,1985,1,2A,13
9,1985,1,2A,17
10,1985,1,2A,7
5,1986,1,2A,3
6,1986,1,2A,12
7,1986,1,2A,14
8,1986,1,2A,14
9,1986,1,2A,18
10,1986,1,2A,4
8,1987,1,2A,14
8,1988,1,2A,17
8,1989,1,2A,16
8,1990,1,2A,12
8,1995,1,2A,12
8,2000,1,2A,16
8,2005,1,2A,14
8,2010,1,2A,16
6,1981,1,2C,12
8,1981,1,2C,14
9,1981,1,2C,8
11,1981,1,2C,3
5,1982,1,2C,4
6,1982,1,2C,10
7,1982,1,2C,13
8,1982,1,2C,13
9,1982,1,2C,13
10,1982,1,2C,4
5,1983,1,2C,4
6,1983,1,2C,9
7,1983,1,2C,18
8,1983,1,2C,18
9,1983,1,2C,9
10,1983,1,2C,8
5,1984,1,2C,5
6,1984,1,2C,13
7,1984,1,2C,15
8,1984,1,2C,19
9,1984,1,2C,12
10,1984,1,2C,6
5,1985,1,2C,4
6,1985,1,2C,12
7,1985,1,2C,14
9,1985,1,2C,17
10,1985,1,2C,6
5,1986,1,2C,3
6,1986,1,2C,13
7,1986,1,2C,13
8,1986,1,2C,17
9,1986,1,2C,18
10,1986,1,2C,6
8,1987,1,2C,14
8,1988,1,2C,17
8,1989,1,2C,16
8,1990,1,2C,11
8,1995,1,2C,12
8,2000,1,2C,16
8,2005,1,2C,14
8,2010,1,2C,16
6,1981,1,2E,11
8,1981,1,2E,14
9,1981,1,2E,9
11,1981,1,2E,3
5,1982,1,2E,3
6,1982,1,2E,8
7,1982,1,2E,13
8,1982,1,2E,13
9,1982,1,2E,13
10,1982,1,2E,4
5,1983,1,2E,4
6,1983,1,2E,10
7,1983,1,2E,17
8,1983,1,2E,18
9,1983,1,2E,9
10,1983,1,2E,8
5,1984,1,2E,4
6,1984,1,2E,13
7,1984,1,2E,16
8,1984,1,2E,19
9,1984,1,2E,12
10,1984,1,2E,6
5,1985,1,2E,3
6,1985,1,2E,9
7,1985,1,2E,13
9,1985,1,2E,17
10,1985,1,2E,6
5,1986,1,2E,4
6,1986,1,2E,14
7,1986,1,2E,13
8,1986,1,2E,16
9,1986,1,2E,18
10,1986,1,2E,6
8,1987,1,2E,14
8,1988,1,2E,16
8,1989,1,2E,16
8,1990,1,2E,11
8,1995,1,2E,13
8,2000,1,2E,16
8,2005,1,2E,14
8,2010,1,2E,16
6,1981,1,2G,11
8,1981,1,2G,14
9,1981,1,2G,8
11,1981,1,2G,3
5,1982,1,2G,2
6,1982,1,2G,7
7,1982,1,2G,12
8,1982,1,2G,12
