"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"6","0A","4962","POTR",2.5,"1.9",NA,NA,"1.9","1982",NA,NA,"2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.6",NA,NA,"DD",NA,""
"6","0B","4959","PIGL",4,NA,"0.4","1.3",NA,"1982",NA,NA,NA,NA,NA,NA,NA,"5","M","S",NA,NA,"50","SW",NA,NA,NA,NA,NA,NA,"4.2","4.2",NA,"DL",NA,""
"6","0B","4958","PIGL",8.5,NA,"0.8","0.5",NA,"2001",NA,NA,NA,NA,NA,NA,NA,"10.9","S","SW",NA,NA,NA,NA,"2.5","1.9","7.1","70",NA,NA,"9.3","9.2",NA,"DB2",NA,""
"6","0B","4960","PIGL",9.2,NA,"0.9","1.9",NA,"2001",NA,NA,NA,NA,NA,NA,NA,"11.3","O","Z",NA,NA,NA,NA,"2.4","2.4","5.2","75",NA,NA,"10.3","10.2",NA,"DB2",NA,""
"6","0A","4961","PIGL",44,NA,"1.9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.5","S","N",NA,NA,NA,NA,"7.4","6.1","1.8","90",NA,NA,"44.7","46.3","27.1",NA,NA,""
"6","0B","4955","PIGL",8.2,"0.8",NA,"0.7",NA,"2001",NA,NA,NA,NA,NA,NA,NA,"10.1","O","Z",NA,NA,NA,NA,"1.8","1.8","3.9","85",NA,NA,"9.5","9.9",NA,"DD",NA,""
"6","0B","4956","PIGL",5,"1.5",NA,"0.3",NA,"1991",NA,NA,NA,NA,NA,NA,"47","7.5","O","Z",NA,NA,NA,NA,"1.5","1.8","4.6","10",NA,"2.15","4.8",NA,NA,"DD",NA,""
"6","0B","4957","PIGL",7,"1.6",NA,"0.3",NA,"2001",NA,NA,NA,NA,NA,NA,"56","9.6","S","SW",NA,NA,NA,NA,"1.2","1.9","7","60",NA,"3.09","7.5","7.1",NA,"DB2",NA,""
"6","0C","4953","PIGL",4.2,NA,"0.1",NA,"0.3","1982",NA,NA,NA,NA,NA,NA,NA,"7.8","O","Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4",NA,NA,"DD",NA,""
"6","0C","4952","PIGL",2.5,NA,"0.2",NA,"0.6","1982",NA,NA,NA,NA,NA,NA,NA,"3.1","L","ENE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9",NA,NA,"DD",NA,""
