"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"7","0A","6785","PIMA",6.2,NA,"1.6",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"5.7","M","SWS",NA,NA,NA,NA,"1","0.8","2.5","90",NA,NA,"2.6","6.8","6.4",NA,NA,""
"7","0A","6787","PIMA",4.8,NA,"1.7","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.3","S","S",NA,NA,NA,NA,"1","1","0.9","80",NA,NA,"2.2","7","6.7",NA,NA,""
"7","0A","6788","PIMA",2.5,NA,"1.8","0.6",NA,NA,NA,NA,NA,NA,NA,NA,"43","3.1","L","SES",NA,NA,NA,NA,"0.6","0.6","0.7","40",NA,"2.72","1.9","3.6",NA,NA,NA,""
"7","0A","6790","PIMA",5,NA,"1.9","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","S","NW",NA,NA,NA,NA,"1","1","0.5","80",NA,NA,"2.1","5.2",NA,NA,NA,""
"7","0A","6789","PIMA",5.2,NA,"1.9","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6","M","SSW",NA,NA,NA,NA,"1","0.8","0.4","70",NA,NA,"2.2","6.2",NA,NA,NA,""
"7","0A","6786","PIMA",3,NA,"1.9","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.3","S","N",NA,NA,NA,NA,"0.6","0.8","0.6","65",NA,NA,"1.5","4.8",NA,NA,NA,""
"7","0A","6688","PIMA",4.5,"0.3",NA,"1.6",NA,"2000",NA,NA,NA,NA,NA,NA,"55","3.7","M","N",NA,NA,NA,NA,"0.6","0.9","0.6","50",NA,"3.45","1.1","4.5",NA,"DB2",NA,""
"7","0A","8016","LALA",6.2,"1",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,"6.1","O","Z",NA,NA,NA,NA,"2","1.7","1.5","80",NA,NA,"4.2","15.4","11.8",NA,NA,""
"7","0A","6782","PIMA",4.5,"1.5",NA,NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,"3.8","M","NW",NA,NA,NA,NA,"0.7","0.9","0.8","80",NA,NA,"2.1","6.7",NA,NA,NA,""
"7","0A","6783","PIMA",4.8,"1.9",NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,"4.4","S","SW",NA,NA,NA,NA,"0.6","0.8","1.1","90",NA,NA,"2","5.9","4.8","LB",NA,"Dead top (1991)"
"7","0A","6791","PIMA",2.8,"2",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9","O","Z",NA,NA,NA,NA,"0.8","0.7","1.2","40",NA,NA,"1.3","4.2","4.5",NA,NA,""
"7","0A","6784","PIMA",3.2,"2.3",NA,NA,"0.6","1991",NA,NA,NA,NA,NA,NA,NA,"3.6","M","W",NA,NA,NA,NA,"0.5","0.5","1.4","90",NA,NA,"1.4",NA,NA,"DL",NA,""
"7","0B","6698","PIMA",3.5,NA,"0.2","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.3","O","Z",NA,NA,NA,NA,"0.7","0.8","0.3","70",NA,NA,"1.5","5",NA,NA,NA,""
"7","0B","6699","PIMA",3.2,NA,"0.2","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.2","M","S",NA,NA,NA,NA,"0.6","0.6","0.8","50",NA,NA,"1.7","4.6",NA,NA,NA,""
"7","0B","6701","PIMA",4.8,NA,"0.5",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,"36","4.3","S","S",NA,NA,NA,NA,"0.8","0.8","0.7","50",NA,"5.48","2.1","6.1","7",NA,NA,""
"7","0B","9001","PIMA",3.8,NA,"0.6",NA,"2.1",NA,NA,NA,NA,NA,NA,NA,NA,"4.2","S","S",NA,NA,NA,NA,"1","1.3","0.8","95",NA,NA,"1.8","4.9",NA,NA,NA,""
"7","0B","6700","PIMA",9.2,NA,"1",NA,"2.1",NA,NA,NA,NA,NA,NA,NA,"63","7.3","S","S",NA,NA,NA,NA,"2","1.6","1.5","95","12.2","6.73","3.9","10.3","8",NA,NA,""
"7","0B","6702","PIMA",3.8,NA,"1.1",NA,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,"3.6","S","N",NA,NA,NA,NA,"0.9","0.9","0.4","45",NA,NA,"1.6","4.3",NA,NA,NA,"Dead top (1991)"
"7","0B","6703","PIMA",3,NA,"2.5",NA,"1.3",NA,NA,NA,NA,NA,NA,NA,NA,"3.7","M","E",NA,NA,NA,NA,"0.7","0.6","7","50",NA,NA,"1.3","3.8",NA,NA,NA,""
"7","0B","6692","PIMA",4.8,"0.2",NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,"59","4.5","S","SW",NA,NA,NA,NA,"0.6","0.5","3.4","60",NA,"2.12","2.1","5.9",NA,NA,NA,""
"7","0B","6690","PIMA",4.2,"0.3",NA,"1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.4","S","NE",NA,NA,NA,NA,"0.6","0.9","1.9","40",NA,NA,"1.7","5.1",NA,NA,NA,""
"7","0B","6689","PIMA",3.2,"0.5",NA,NA,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,"3.3","O","Z",NA,NA,NA,NA,"0.7","0.6","1.8","50",NA,NA,"1.4","4","4.4",NA,NA,""
"7","0B","6691","PIMA",3.8,"0.6",NA,"1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.7","S","S",NA,NA,NA,NA,"0.8","0.8","0.5","80",NA,NA,"1.7","5",NA,NA,NA,""
"7","0B","6693","PIMA",5.5,"0.7",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","M","E",NA,NA,NA,NA,"1.3","1","2","65",NA,NA,"2.3","6.4","5.9",NA,NA,""
"7","0B","6694","PIMA",2.8,"1.3",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"3","O","Z",NA,NA,NA,NA,"0.7","0.8","1.7","30",NA,NA,"1.3","3.3",NA,NA,NA,""
"7","0B","6696","PIMA",5.5,"1.6",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.6","O","Z",NA,NA,NA,NA,"0.7","0.5","0.3","80",NA,NA,"2.3","6.3",NA,NA,NA,""
"7","0B","6695","PIMA",7,"1.8",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.9","M","S",NA,NA,NA,NA,"1.1","1.1","1.2","80",NA,NA,"3","7.8","7.1",NA,NA,""
"7","0B","6697","PIMA",8,NA,"2","0.3",NA,NA,NA,NA,NA,NA,NA,NA,"56","6.4","S","S",NA,NA,NA,NA,"0.8","0.9","0.3","95","9.9","5.82","3.4","9.2",NA,NA,NA,""
"7","0C","6712","PIMA",4.2,NA,"1.2","0.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.8","S","S",NA,NA,NA,NA,"1.3","1.3","1.3","80",NA,NA,"1.9","5.6",NA,NA,NA,""
"7","0C","6710","LALA",13,NA,"1.9","0.5",NA,NA,NA,NA,NA,NA,NA,NA,"50","12","S","E",NA,NA,NA,NA,"4.1","2","2","90","17.1","12.12","6",NA,"13.1",NA,NA,"Together with 6711 - unsure of their DBH's (2000)"
"7","0C","6711","LALA",14.8,NA,"1.9","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"50","14","S","S",NA,NA,NA,NA,"3.2","2.5","1.7","90","18.9","12.25","6.6",NA,"15.2",NA,NA,""
"7","0C","6709","PIMA",5,NA,"2.2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.7","M","NNE",NA,NA,NA,NA,"1.2","1","1","90",NA,NA,"2.1","6.1",NA,"LL",NA,""
"7","0C","6704","PIMA",4.2,"0.2",NA,NA,"0.4","1991",NA,NA,NA,NA,NA,NA,"44","4","M","NW",NA,NA,NA,NA,"0.6","0.7","1.4","70",NA,"3.51","1.6",NA,NA,"DS",NA,""
"7","0C","6708","PIMA",2.5,"0.2",NA,"1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.9","S","SE",NA,NA,NA,NA,"0.7","0.8","0.7","50",NA,NA,"1","3.1","3.9",NA,NA,""
"7","0C","6706","PIMA",3,"0.3",NA,NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,"3.2","O","Z",NA,NA,NA,NA,"0.7","0.6","1.1","70",NA,NA,"1.4","4.5",NA,NA,NA,""
"7","0C","6705","PIMA",7.8,"1",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,NA,"6.4","S","SE",NA,NA,NA,NA,"0.8","0.7","1","80","11","3.5","3.3","7.8","6.9",NA,NA,""
"7","0C","6707","PIMA",5.2,"1.1",NA,NA,"2.4",NA,NA,NA,NA,NA,NA,NA,"48","4.2","S","SE",NA,NA,NA,NA,"0.7","0.8","1.8","90",NA,"5.12","2.3","6.2",NA,NA,NA,""
"7","0D","6714","PIMA",3.8,NA,"1.4","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","S","S",NA,NA,NA,NA,"0.8","1","0.6","80",NA,NA,"1.8","4",NA,NA,NA,""
"7","0D","6715","PIMA",6.8,NA,"2","0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2","O","Z",NA,NA,NA,NA,"1.2","1.2","2","70",NA,NA,"2.8","8.1","7",NA,NA,""
"7","0D","6717","PIMA",3.8,NA,"2.2","1.1",NA,NA,NA,NA,NA,NA,NA,NA,"46","4.2","S","E",NA,NA,NA,NA,"0.7","0.4","1.8","60",NA,"2.42","1.5","4.5",NA,NA,NA,""
"7","0D","6718","PIMA",4.5,NA,"2.3","1.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2","O","Z",NA,NA,NA,NA,"1.3","0.8","0.5","60",NA,NA,"2","5.8","6",NA,NA,""
"7","0D","6716","PIMA",4,NA,"2.4","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.3","S","E",NA,NA,NA,NA,"0.5","0.6","2.4","50",NA,NA,"1.7","4.7",NA,NA,NA,""
