"stand","plot","tag","species_code","DBH_1983_cm","base_coord_N_1983_m","base_coord_S_1983_m","base_coord_E_1983_m","base_coord_W_1983_m","year_dead","fallen_stem_length_1983_m","exit_coord_N_1983_m","exit_coord_S_1983_m","exit_coord_E_1983_m","exit_coord_W_1983_m","year_fallen_1983","age_1983","stem_height_1983_m","stem_lean_amt_scaled_1983","stem_lean_dir_1983","stem_lean_amt_1991","stem_lean_dir_1991","stem_lean_amt_2000","stem_lean_dir_2000","crown_width_NS_1983_m","crown_width_EW_1983_m","height_to_crown_1983_m","fill_perc_1983","BSD_1983","radial_10year_inc_1983_mm","DBH_1991_cm","DBH_2000_cm","height_2000_m","tree_code_2000","fire_code_2000","comments"
"2","2G","6503","PIBA",21.2,NA,"0.2","1.6",NA,NA,NA,NA,NA,NA,NA,NA,"58","18","S","S",NA,NA,NA,NA,"3.8","3.5","6","40","28.6","10.07","23.6","24.9","19.4",NA,NA,"6503 and 04 joined (2G) (1991)"
"2","2G","6504","PIBA",6.8,NA,"0.5","1.6",NA,"1982","7",NA,NA,NA,NA,NA,NA,"6.2","S","NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1",NA,"7",NA,NA,""
"2","2G","6505","PIBA",11.5,NA,"1.3","0.2",NA,"2000",NA,NA,NA,NA,NA,NA,"51","12.2","O","Z",NA,NA,NA,NA,"1.9","2","6.4","75","14.9","2.24","12.8","12","12.9","DB2",NA,"broken top (2000)"
"2","2G","6506","PIBA",27.2,NA,"2","0.5",NA,NA,NA,NA,NA,NA,NA,NA,"56","19.8","O","Z",NA,NA,NA,NA,"5.2","5","6.4","75","32.4","9.13","29.4","31.3","22.6",NA,NA,""
"2","2G","6507","PIBA",17.5,NA,"2","1.1",NA,NA,NA,NA,NA,NA,NA,NA,"54","16.6","S","SE",NA,NA,NA,NA,"2.1","3.2","6.4","85","21.6","4.09","18.8","19","15.8",NA,NA,""
"2","2H","6509","PIBA",19.8,NA,"0.5","2.1",NA,NA,NA,NA,NA,NA,NA,NA,"56","19.2","O","Z",NA,NA,NA,NA,"3.6","3.8","11.4","70","27","15.62","22.6","25","22.3",NA,NA,""
"2","2H","6508","PIBA",16.2,NA,"2",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,"54","18.8","M","E",NA,NA,NA,NA,"3.1","2.7","10","85","20.9","2.44","18.2","17.4","18.5",NA,NA,""
"2","2H","6510","PIBA",18.2,NA,"2.4","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"55","19.2","O","Z",NA,NA,NA,NA,"6","5.3","6.8","50","26.1","10.61","21","22.8","22.8",NA,NA,""
"2","2H","6288","PIBA",11.8,"0.3",NA,"0.1",NA,"1982","1.3","0.1",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,"cannot find in plot 2H, found in plot 2I - it’s a log on the ground (1983)"
"2","2I","6290","PIBA",16.2,NA,"1","1.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","O","Z",NA,NA,NA,NA,"2.8","2.8","8","50","21.4","11.46","17.5","17.8","19.2",NA,NA,""
"2","2I","6289","PIBA",18,NA,"1.4",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,"55","18.2","S","E",NA,NA,NA,NA,"3.1","2.4","10.2","65","23.2","11.9","20.8","22.7","21.9",NA,NA,""
"2","2I","6292","PIBA",13,"0.7",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,"55","14.6","S","NE",NA,NA,NA,NA,"4.7","3.8","5.4","20","16.5","6.53","15.8","16.8","18.9",NA,NA,""
"2","2I","6291","PIBA",16.8,"1.3",NA,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,"57","20","O","Z",NA,NA,NA,NA,"2.5","2.9","7","85","23.5","9.8","19","20.3","21.8",NA,NA,""
"2","2J","6293","PIBA",20.2,NA,"1.8",NA,"0.7",NA,NA,NA,NA,NA,NA,NA,NA,"20.6","O","Z",NA,NA,NA,NA,"2.7","2","12","85","27.6",NA,"22.4","23.5","19.5","LB",NA,""
"2","2J","6295","PIBA",22.2,NA,"2.1","0.5",NA,NA,NA,NA,NA,NA,NA,NA,"54","20","O","Z",NA,NA,NA,NA,"2.5","3.4","14.8","70","28",NA,"24.8","26.4","22.7",NA,NA,""
"2","2J","6296","PIBA",16.2,"0.3",NA,"1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.8","S","N",NA,NA,NA,NA,"3.7","2.9","7.6","50","18.6",NA,"16.7","16.7","15.9",NA,NA,""
"2","2J","6297","PIBA",20,"0.1",NA,"1.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.2","O","Z",NA,NA,NA,NA,"1.6","2.8","9.8","80","24.9",NA,"23.3","22.8","20.6",NA,NA,""
"2","2J","6294","PIBA",15.2,"2.1",NA,NA,"0.6",NA,NA,NA,NA,NA,NA,NA,NA,"20.4","S","NW",NA,NA,NA,NA,"2.3","1.8","11.8","70","18.3",NA,"16.3","17.1","15.4","LB",NA,""
"2","3D","6306","PIBA",23.8,NA,"0.2",NA,"1.2",NA,NA,NA,NA,NA,NA,NA,"54","16","O","Z",NA,NA,NA,NA,"4.3","4","7","70","33.1","9.08","25.5","26.4","20.2",NA,NA,""
"2","3D","6304","PIBA",22.5,NA,"1.1",NA,"2.4",NA,NA,NA,NA,NA,NA,NA,"51","18.2","O","Z",NA,NA,NA,NA,"5.9","4.9","3","60","30.4","25.36","27","28.9","23",NA,NA,""
"2","3D","6305","PIBA",18.5,NA,"1.2",NA,"1.6",NA,NA,NA,NA,NA,NA,NA,"52","17.6","S","E",NA,NA,NA,NA,"4.2","4.2","5.6","50","22.6","8.78","19.8","20.2","19.9",NA,NA,""
"2","3F","6303","PIBA",22.5,"0.1",NA,NA,"0.5",NA,NA,NA,NA,NA,NA,NA,"57","18","O","Z",NA,NA,NA,NA,"3.8","5.5","3.6","75","28.1","19.26","25.6","28.9","22.8",NA,NA,""
"2","3F","6302","PIBA",22.5,"0.6",NA,NA,"1.1",NA,NA,NA,NA,NA,NA,NA,"50","17.6","S","S",NA,NA,NA,NA,"3.4","3.2","4.2","75","25","14.84","23.5","25.4","24",NA,NA,""
"2","3G","6301","PIBA",20.5,"0.8",NA,NA,"1.4",NA,NA,NA,NA,NA,NA,NA,"52","15.6","S","S",NA,NA,NA,NA,"4.2","4.8","1.9","40","25","4.15","22.4","24.2","22.2",NA,NA,""
"2","3J","6298","PIBA",19,NA,"0.8","1.2",NA,"1982","12.5",NA,"0","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"2","3J","6299","PIBA",20.2,NA,"1.2","1.8",NA,NA,NA,NA,NA,NA,NA,NA,"52","19.4","S","N",NA,NA,NA,NA,"3.5","3.6","8.2","80","26.5",NA,"23.8","26","21.8",NA,NA,""
"2","3J","6300","PIBA",15.5,"2.1",NA,NA,"0.7","1982","6",NA,"0",NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,""
"2","4A","6307","PIBA",7.5,NA,"2",NA,"1.8","1983","9.9",NA,"2.3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,"DD",NA,""
"2","4C","6308","PIBA",24,"1",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,NA,"52","16.8","O","Z",NA,NA,NA,NA,"4","5.3","3.8","60","26.7","6.25","24.6","25","22",NA,NA,""
"2","4D","6309","PIBA",21,NA,"2.1",NA,"0.4",NA,NA,NA,NA,NA,NA,NA,"56","17.8","S","S",NA,NA,NA,NA,"3.5","4.7","2.1","50","25.7","12.68","23.2","23.9","21.4",NA,NA,""
"2","4E","6310","PIBA",19.2,"2.3",NA,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,"50","20.2","M","E",NA,NA,NA,NA,"5","4.4","11.6","75","24.2","6.13","21.1","21.8","23.9",NA,NA,""
"2","4F","6313","PIBA",23.2,NA,"1.8","2.4",NA,NA,NA,NA,NA,NA,NA,NA,"57","19.2","O","Z",NA,NA,NA,NA,"6.1","4.5","8.6","60","27.5","16.3","25.4","26.5","22.7",NA,NA,""
"2","4F","6311","PIBA",15,NA,"2",NA,"0.1",NA,NA,NA,NA,NA,NA,NA,"51","18.6","S","W",NA,NA,NA,NA,"2.4","1.6","4","70","17.5","7.64","17.2","16.7","20.8",NA,NA,"6311 and 12 are joined (4F) (1991)"
"2","4F","6312","PIBA",14.5,NA,"2",NA,"0.2",NA,NA,NA,NA,NA,NA,NA,"55","18","S","SE",NA,NA,NA,NA,"5.7","1.7","2.9","40","18.8","1.37","17.1","15.7","19.2",NA,NA,""
"2","4F","6314","PIBA",17.2,"1.2",NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,"51","19","O","Z",NA,NA,NA,NA,"4.7","2.1","9","50","20.3","4.58","17.3","17.8","20.1",NA,NA,"6314 and 15 are joined (4F) (1991)"
"2","4F","6315","PIBA",14.5,"1.2",NA,"0.5",NA,"2001",NA,NA,NA,NA,NA,NA,"47","8.6","S","NW",NA,NA,NA,NA,"4.3","1.5","1","30","17.6","1.82","16","12.7","7.6","DS",NA,""
"2","4G","6316","PIBA",22,"0.6",NA,NA,"1.4",NA,NA,NA,NA,NA,NA,NA,"56","18.8","O","Z",NA,NA,NA,NA,"5.4","5.3","7.4","65","30.3","14.14","24.5","26.2","23.2",NA,NA,""
