Hondo-SEADYN Project:  Rack 005971 File HSL Stemtbl   ,,,,,,,Data checked: 2003 Feb 18,,,,2005 Data Entered and Checked: 2005-Aug-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand 1:  Square plots 5m x 5m,,,,,,,,,,,2010 Data Entered: 2010-Sep-01; Checked: 2010-Sep-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,1983,,,,,,Fallen Stems,,,,,,,,1983,,,,,,,          1983 Crown,,,,1983,1983,1991,2000,2000,,2000,,2005,,,,,,2010,,,,,,
,,,,DBH,1983 Base Coordinates (m),,,,Year,Length,Exit Coordinates (m),,,,Year,Uprooted,,Stem,       1983 Stem Lean,,       1991 Stem Lean,,       2000 Stem Lean,,         Width ,,Ht to crown,,BSD,Radial Inc.,DBH,DBH,Height,2000,Fire ,Comments,(cm),(m),,Stem Lean,,,(cm),(m),,Stem Lean,,,
Stand,Plot,Tag #,Species,(inches),N,S,E,W,Dead,(m),N,S,E,W,Fallen,/ Broken,Age,Height(m),AmtChar,Direction,AmtNum,Direction,AmtNum,Direction,N-S,E-W,bottom (m),Fill%,(cm),(cm),(cm),(cm),(m),Code,Codes,(year recorded),DBH05,Height05,Code05,AmtNum05,Direction05,Comments05,DBH10,Height10,Code10,AmtNum10,Direction10,Comments10,Dummy
1,0H,6224,J,4.2,1.8,.,1.8,.,.,.,.,.,.,.,.,.,.,11.8,S,N,.,.,.,.,2.7,2.7,4.2,45,.,.,13.2,16.2,17.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0H,6225,J,1.2,.,1.5,.,2.8,2000,.,.,.,.,.,.,.,27,5.1,S,NW,.,.,.,.,1.3,1.2,2,20,.,2.61,3.2,3.1,5.2,DD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0H,6226,J,10.7,.,0.6,.,2.4,.,.,.,.,.,.,.,.,.,13.3,O,Z,.,.,.,.,7.6,8.2,1.9,45,.,.,29.1,30.5,17.5,.,.,.,31.1,18.4,.,.,.,.,31.6,20,.,.,.,.,X 
1,0H,6227,J,1.6,1.2,.,.,0.8,2000,.,.,.,.,.,.,.,28,8.4,O,Z,.,.,.,.,1.7,0.7,3.2,35,.,4.33,4.3,4.2,8.3,DD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0I,6282,J,5.6,1.5,.,0.1,.,.,.,.,.,.,.,.,.,.,12.3,S,N,.,.,.,.,4.2,3.2,4.7,35,.,.,17.2,19,16.6,.,.,.,20,17.1,.,.,.,.,21,17.9,.,.,.,.,X 
1,0I,6283,J,1.7,.,1.2,0,.,2000,.,.,.,.,.,.,.,25,7.2,O,Z,.,.,.,.,1.4,1.2,1.5,50,.,6.5,5,4.9,7.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0I,6284,J,3.5,.,1.4,0.7,.,.,.,.,.,.,.,.,.,.,12.3,S,NW,.,.,.,.,1.2,1.6,8.6,65,.,.,10.9,12.4,16.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0I,6285,J,8.7,.,0.3,2.1,.,.,.,.,.,.,.,.,.,.,14.3,O,Z,.,.,.,.,5.2,3.9,3.9,70,.,.,23,24.3,17.7,.,.,.,24.5,18.6,.,.,.,.,24.5,19.5,.,.,.,dbh_checked,X 
1,0I,6286,J,2.3,2,.,.,2.1,1982,8.1,0.1,.,0,.,1982,U,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.8,.,.,DD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0I,6287,J,1.1,2.9,.,.,2.4,1983,3.8,.,.,.,.,.,.,.,3.5,.,.,.,.,.,.,.,.,.,.,.,.,2.9,.,.,DD,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X 
1,0J,6276,J,5.4,.,2,.,2.1,.,.,.,.,.,.,.,.,.,12.6,S,NE,.,.,.,.,2.6,2,4.7,45,.,.,15.5,16.1,16.4,.,.,.,16.1,16.7,.,.,.,.,16.1,17.3,.,.,.,dbh_checked,X 
1,0J,6277,J,4.7,.,2.5,.,1.8,.,.,.,.,.,.,.,.,.,12.9,S,N,.,.,.,.,2.3,1.3,6,60,.,.,12.7,13.3,15.5,.,.,.,13.7,15.7,.,.,.,.,13.8,15.8,.,.,.,.,X 
