stand,month,day,year,id,age,height_cm,diameter_mm,browsed,notes
7,5,11,1983,71,35,114,22,,
7,5,11,1983,23,21,51,13,,
7,5,11,1983,16,6,13,2,,layered to 71
7,5,11,1983,30,6,7,1,,layered to 71
7,5,11,1983,96,20,18,6,,layered to 71
7,5,11,1983,90,5,11,4,,
7,5,11,1983,58,20,43,9,,layered to 71
7,5,11,1983,81,15,23,5,,layered to 71
7,5,11,1983,82,15,17,5,,layered to 71
7,5,11,1983,56,23,49,12,,
7,5,11,1983,85,12,18,4,,
7,5,11,1983,67,9,13,3,,
7,5,11,1983,83,5,3,1,,
7,5,11,1983,88,13,5,1,,
7,5,11,1983,84,6,19,2,,
7,5,11,1983,52,20,36,8,,
7,5,11,1983,31,,230,35,,
7,5,11,1983,29,16,10,2,,layered
7,5,11,1983,36,15,6,3,,layered
7,5,11,1983,21,8,9,2,,
7,5,11,1983,47,20,39,11,,
7,5,11,1983,34,26,88,22,,
7,5,11,1983,89,30,141,30,,
7,5,11,1983,40,30,112,18,,
7,5,11,1983,33,19,44,11,,
7,5,11,1983,46,30,127,22,,
7,5,11,1983,37,8,15,5,,layered to 46
7,5,11,1983,62,11,15,3,,layered to 46
7,5,11,1983,26,9,9,2,,layered to 46
7,5,11,1983,63,10,25,4,,layered to 46
7,5,11,1983,25,12,16,2,,layered to 46
7,5,11,1983,51,15,22,3,,layered to 46
7,5,11,1983,17,23,92,17,,
7,5,11,1983,45,13,23,4,,layered to 17
7,5,11,1983,41,20,35,4,,layered to 17
7,5,11,1983,44,18,27,6,,layered to 17
7,5,11,1983,38,12,23,5,,layered to 17
7,5,11,1983,42,16,88,26,,
7,5,11,1983,94,4,2,1,,
7,5,11,1983,73,1,1,1,,
7,5,11,1983,39,1,1,1,,
7,5,11,1983,43,7,4,1,,
7,5,11,1983,70,10,6,2,,
7,5,11,1983,76,6,10,2,,layered to 93
7,5,11,1983,48,13,18,1,,layered to 93
7,5,11,1983,14,7,7,3,,layered to 93
7,5,11,1983,13,9,6,1,,layered to 93
7,5,11,1983,20,9,11,2,,layered to 93
7,5,11,1983,28,7,4,1,,
7,5,11,1983,93,32,70,19,,
7,5,11,1983,2,25,68,12,,
7,5,11,1983,92,16,80,21,,
7,5,11,1983,64,15,182,28,,
7,5,11,1983,65,2,2,1,,layered
7,5,11,1983,66,3,5,2,,layered
7,5,11,1983,95,3,5,1,,layered
7,5,11,1983,19,2,2,1,,layered
7,5,11,1983,22,2,2,2,,layered
7,5,11,1983,74,1,1,1,,
7,5,11,1983,53,1,1,1,,
7,5,11,1983,18,4,7,1,,
7,5,11,1983,49,2,4,1,,
7,5,11,1983,24,2,3,1,,
7,5,11,1983,75,4,5,1,,
7,5,11,1983,4,6,13,2,,layered
7,5,11,1983,50,10,10,4,,layered
7,5,11,1983,6,7,11,2,,
7,5,16,1983,1,9,17,5,,
7,5,16,1983,68,4,9,3,,
7,5,16,1983,77,1,1,1,,
7,5,16,1983,69,2,3,1,,
7,5,16,1983,79,5,8,2,,
7,5,16,1983,35,9,18,10,,
7,5,16,1983,87,2,4,1,,
7,5,16,1983,86,4,6,1,,
7,5,16,1983,54,,31,7,,
7,5,16,1983,78,2,3,1,,
7,5,16,1983,99,4,8,2,,
7,5,16,1983,5,3,3,1,,
7,5,16,1983,9,3,6,1,,
7,5,16,1983,12,3,5,2,,
7,5,16,1983,7,2,3,1,,
7,5,16,1983,60,,130,27,,
7,5,16,1983,80,,280,29,,
7,5,16,1983,72,6,25,6,,
7,5,16,1983,3,4,12,3,,
7,5,16,1983,15,4,9,2,,
7,5,16,1983,8,6,18,4,,
7,5,16,1983,10,6,18,2,,
7,5,16,1983,61,6,19,6,,
7,5,16,1983,32,5,8,3,,
7,5,16,1983,11,6,18,5,,
7,5,16,1983,27,4,8,1,,
7,7,20,1983,837,55,190,30,,layered
7,7,20,1983,834,10,21,6,,layered
7,7,20,1983,886,12,25,7,,layered
7,7,20,1983,894,18,15,5,,
7,7,20,1983,839,10,16,5,,layered
7,7,20,1983,861,11,14,2,,layered
7,7,20,1983,841,15,24,5,,layered
7,7,20,1983,862,11,16,4,,layered
7,7,20,1983,833,11,12,3,,
7,7,20,1983,888,30,120,24,,
7,7,20,1983,859,5,12,1,,
7,7,20,1983,812,45,215,40,,layered
7,7,20,1983,868,20,32,4,,
7,7,20,1983,850,35,50,16,,
7,7,20,1983,876,30,42,10,,
7,7,20,1983,809,40,105,13,,
7,7,20,1983,889,35,100,12,,
7,7,20,1983,872,30,66,9,,
7,7,20,1983,822,50,150,22,,
7,7,20,1983,814,7,8,2,,layered
7,7,20,1983,879,3,1,2,,
7,7,20,1983,808,35,113,20,,
7,7,20,1983,818,40,115,17,,
7,7,20,1983,851,30,90,18,,
7,7,20,1983,848,13,19,4,,layered
7,7,20,1983,804,19,35,5,,layered
7,7,20,1983,897,30,63,14,,
7,7,20,1983,835,45,102,22,,
7,7,20,1983,815,30,50,10,,
7,7,20,1983,800,25,59,18,,
7,7,20,1983,823,45,113,15,,
7,7,20,1983,878,30,85,15,,
7,7,20,1983,826,32,85,17,,
7,7,20,1983,852,10,12,2,,layered
7,7,20,1983,877,40,81,24,,
7,7,20,1983,820,30,74,15,,
7,7,20,1983,830,16,39,13,1982,
7,7,20,1983,895,30,36,11,,
7,7,20,1983,864,30,52,15,,
7,7,20,1983,885,60,200,37,,
7,7,20,1983,881,10,23,4,,
7,7,20,1983,810,35,88,16,,
7,7,20,1983,811,30,68,11,,
7,7,20,1983,838,30,35,7,,
7,7,20,1983,880,2,4,3,1982,
7,7,20,1983,884,5,6,1,,
7,7,20,1983,842,10,19,5,,
7,7,20,1983,891,40,155,25,,
