stand,month,day,year,id,age,height_cm,diameter_mm,browsed,notes
4,6,28,1984,327,,31,13,1981,"girdled, top died 1981"
4,6,28,1984,340,,14,2,"1982, 1981",
4,6,28,1984,379,,38,9,1980,
4,6,28,1984,807,,62,13,"1983, 1982",
4,6,28,1984,803,,3,1,,"no new growth, top dying"
4,6,28,1984,847,,3,1,,good growth
4,6,28,1984,843,,2,1,,good growth
4,6,28,1984,849,,3,1,,"no new growth, top dying"
4,6,28,1984,326,,32,7,1980,
4,6,28,1984,303,,82,21,"1982, 1981",
4,6,28,1984,342,,66,9,,
4,6,28,1984,369,,213,34,,
4,6,28,1984,329,,5,1,1983,
4,6,28,1984,887,,12,3,1981,
4,6,28,1984,302,,140,16,1983,
4,6,28,1984,336,,4,1,1980,
4,6,28,1984,865,,3,1,,
4,6,28,1984,360,,280,32,,"tip broke off, half of 1983 growth"
4,6,28,1984,380,,142,17,,
4,6,28,1984,397,,211,20,,
4,6,28,1984,353,,3,1,,no new growth
4,6,27,1984,395,,4,1,1981,
4,6,27,1984,334,,2,1,1983,
4,6,27,1984,341,,7,1,1981,
4,6,27,1984,339,,3,1,1983,no new growth
4,6,27,1984,324,,3,1,1982,
4,6,27,1984,322,,5,1,1983,
4,6,27,1984,381,,3,1,1983,no date given; assumed 1983
4,6,27,1984,354,,3,1,1983,
4,6,27,1984,358,,5,1,1983,
4,6,27,1984,347,,161,21,,
4,6,27,1984,325,,180,20,,
4,6,27,1984,378,,6,1,"1981, 1983",
4,6,27,1984,351,,172,28,,
4,6,27,1984,335,,6,1,,
4,6,27,1984,393,,14,3,1981,
4,6,27,1984,372,,3,1,1983,
4,6,27,1984,315,,9,1,,
4,6,27,1984,323,,7,1,1979,
4,6,27,1984,309,,3,1,1983,no new growth
4,6,27,1984,361,,4,1,,
4,6,27,1984,392,,5,1,1983,no new growth
4,6,27,1984,883,,11,2,,
4,6,27,1984,390,,14,3,1983,
4,6,27,1984,365,,141,20,,
4,6,27,1984,399,,120,19,1979,
4,6,28,1984,388,2,2.5,1,,
4,6,28,1984,343,2,4,1,,
4,6,28,1984,356,4,4,1,,
4,6,28,1984,768,2,3,1,,
4,6,28,1984,386,2,3,1,,
4,6,28,1984,790,2,3,1,,
4,6,28,1984,754,2,3,1,,
4,6,28,1984,646,2,3,1,,
4,6,28,1984,306,2,3,1,,
4,6,28,1984,795,2,4,1,,
