stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
5,6,26,1984,382,17,4,1982,fire blight 1983
5,6,26,1984,272,241,26,,
5,6,26,1984,377,220,19,,
5,6,26,1984,337,210,30,,
5,6,26,1984,299,8,3,1982,
5,6,26,1984,212,161,26,,
5,6,26,1984,314,30,8,"1982, 1981",
5,6,26,1984,328,221,25,,
5,6,26,1984,581,210,21,,
5,6,26,1984,589,231,25,,
5,6,26,1984,562,150,20,,
5,6,26,1984,542,20,13,"1982, 1981",
5,6,26,1984,522,210,28,,
5,6,26,1984,533,190,29,,
5,6,26,1984,595,39,5,,
5,6,26,1984,566,251,40,,
5,6,26,1984,557,24,3,,
5,6,26,1984,540,241,36,,
5,6,26,1984,544,230,27,,
5,6,26,1984,592,340,35,,
5,6,26,1984,582,230,28,,
5,6,26,1984,572,400,44,,
5,6,26,1984,517,260,32,,
5,6,26,1984,389,310,41,,
5,6,26,1984,317,60,15,"1979, 1978, 1976",
5,6,26,1984,385,57,9,"1982, 1981",
5,6,26,1984,357,270,28,,
5,6,26,1984,301,17,3,,
5,6,26,1984,335,15,3,"1983, 1982, 1981",
5,6,26,1984,305,311,36,,
5,6,26,1984,507,11,6,"1983, 1982",
5,6,26,1984,307,250,32,,
5,6,26,1984,218,330,35,,
