"","accepted_name","genus","kingdom","order","family","class","division","sp.code","correct.sp.code","species"
"46","Erigeron sp.","Erigeron","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","ERISP","ERISP","sp."
"47","Festuca saximontana","Festuca","Plantae","Poales","Poaceae","Magnoliopsida","Tracheophyta","FESA","FESA","saximontana"
"48","Fragaria virginiana","Fragaria","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","FRVI","FRVI","virginiana"
"49","Galium boreale","Galium","Plantae","Gentianales","Rubiaceae","Magnoliopsida","Tracheophyta","GABO","GABO","boreale"
"50","Gentianella amarella","Gentianella","Plantae","Gentianales","Gentianaceae","Magnoliopsida","Tracheophyta","GEAM","GEAM","amarella"
"51","Geocaulon lividum","Geocaulon","Plantae","Santalales","Santalaceae","Magnoliopsida","Tracheophyta","GELI","GELI","lividum"
"52","Geranium bicknellii","Geranium","Plantae","Geraniales","Geraniaceae","Magnoliopsida","Tracheophyta","GEBI","GEBI","bicknellii"
"53","Goodyera repens","Goodyera","Plantae","Asparagales","Orchidaceae","Magnoliopsida","Tracheophyta","GORE","GORE","repens"
"54","Hieracium canadense","Hieracium","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","HICA","HICA","canadense"
"55","Hieracium umbellatum","Hieracium","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","HIUM","HIUM","umbellatum"
"56","Hudsonia tomentosa","Hudsonia","Plantae","Malvales","Cistaceae","Magnoliopsida","Tracheophyta","HUTO","HUTO","tomentosa"
"57","Juncus balticus","Juncus","Plantae","Poales","Juncaceae","Magnoliopsida","Tracheophyta","JUBA","JUBA","balticus"
"58","Lamiaceae sp.","Lamiaceae","Plantae","Lamiales","Lamiaceae","Magnoliopsida","Tracheophyta","MINT","MINT","sp."
"59","Larix laricina","Larix","Plantae","Pinales","Pinaceae","Pinopsida","Tracheophyta","LALA","LALA","laricina"
"60","Lathyrus ochroleucus","Lathyrus","Plantae","Fabales","Fabaceae","Magnoliopsida","Tracheophyta","LAOC","LAOC","ochroleucus"
"61","Rhododendron groenlandicum","Rhododendron","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","LEGR","RHGR","groenlandicum"
"62","Lilium philadelphicum","Lilium","Plantae","Liliales","Liliaceae","Magnoliopsida","Tracheophyta","LIPH","LIPH","philadelphicum"
"63","Linnaea borealis","Linnaea","Plantae","Dipsacales","Linnaeaceae","Magnoliopsida","Tracheophyta","LIBO","LIBO","borealis"
"64","Lonicera dioica","Lonicera","Plantae","Dipsacales","Caprifoliaceae","Magnoliopsida","Tracheophyta","LODI","LODI","dioica"
"65","Lonicera villosa","Lonicera","Plantae","Dipsacales","Caprifoliaceae","Magnoliopsida","Tracheophyta","LOCA","LOVI","villosa"
"66","Lonicera villosa","Lonicera","Plantae","Dipsacales","Caprifoliaceae","Magnoliopsida","Tracheophyta","LOVI","LOVI","villosa"
"67","Lycopodium annotinum","Lycopodium","Plantae","Lycopodiales","Lycopodiaceae","Lycopodiopsida","Tracheophyta","LYAN","LYAN","annotinum"
"68","Lycopodium clavatum","Lycopodium","Plantae","Lycopodiales","Lycopodiaceae","Lycopodiopsida","Tracheophyta","LYCL","LYCL","clavatum"
"69","Lycopodium complanatum","Lycopodium","Plantae","Lycopodiales","Lycopodiaceae","Lycopodiopsida","Tracheophyta","LYCO","LYCO","complanatum"
"70","Lycopodium obscurum","Lycopodium","Plantae","Lycopodiales","Lycopodiaceae","Lycopodiopsida","Tracheophyta","LYOB","LYOB","obscurum"
"71","Lycopodium tristachyum","Lycopodium","Plantae","Lycopodiales","Lycopodiaceae","Lycopodiopsida","Tracheophyta","LYTR","LYTR","tristachyum"
"72","Maianthemum canadense","Maianthemum","Plantae","Asparagales","Asparagaceae","Magnoliopsida","Tracheophyta","MACA","MACA","canadense"
"73","Melampyrum lineare","Melampyrum","Plantae","Lamiales","Orobanchaceae","Magnoliopsida","Tracheophyta","MELI","MELI","lineare"
"74","Mitella nuda","Mitella","Plantae","Saxifragales","Saxifragaceae","Magnoliopsida","Tracheophyta","MINU","MINU","nuda"
"75","Orthilia secunda","Orthilia","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","ORSE","ORSE","secunda"
"76","Orthilia secunda","Orthilia","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","PYSE","ORSE","secunda"
"77","Oryzopsis asperifolia","Oryzopsis","Plantae","Poales","Poaceae","Magnoliopsida","Tracheophyta","ORAS","ORAS","asperifolia"
"78","Piptatherum pungens","Piptatherum","Plantae","Poales","Poaceae","Magnoliopsida","Tracheophyta","ORPU","PIPU","pungens"
"79","Pedicularis groenlandica","Pedicularis","Plantae","Lamiales","Orobanchaceae","Magnoliopsida","Tracheophyta","PEGR","PEGR","groenlandica"
"80","Pedicularis labradorica","Pedicularis","Plantae","Lamiales","Orobanchaceae","Magnoliopsida","Tracheophyta","PELA","PELA","labradorica"
"81","Petasites frigidus","Petasites","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","PEPA","PEFR","frigidus"
"82","Phacelia franklinii","Phacelia","Plantae","Boraginales","Hydrophyllaceae","Magnoliopsida","Tracheophyta","PHFR","PHFR","franklinii"
"83","Picea glauca","Picea","Plantae","Pinales","Pinaceae","Pinopsida","Tracheophyta","PIGL","PIGL","glauca"
"84","Picea mariana","Picea","Plantae","Pinales","Pinaceae","Pinopsida","Tracheophyta","PIMA","PIMA","mariana"
"85","Pinus banksiana","Pinus","Plantae","Pinales","Pinaceae","Pinopsida","Tracheophyta","PIBA","PIBA","banksiana"
"86","Populus balsamifera","Populus","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","POBA","POBA","balsamifera"
"87","Populus tremuloides","Populus","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","POTR","POTR","tremuloides"
"88","Sibbaldiopsis tridentata","Sibbaldiopsis","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","POTRI","SITR","tridentata"
"89","Prunus pensylvanica","Prunus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","PRPE","PRPE","pensylvanica"
"90","Prunus virginiana","Prunus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","PRVI","PRVI","virginiana"
"91","Pyrola asarifolia","Pyrola","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","PYAS","PYAS","asarifolia"
"92","Pyrola chlorantha","Pyrola","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","PYCH","PYCH","chlorantha"
"93","Pyrola chlorantha","Pyrola","Plantae","Ericales","Ericaceae","Magnoliopsida","Tracheophyta","PYVI","PYCH","chlorantha"
"94","Ranunculus sp.","Ranunculus","Plantae","Ranunculales","Ranunculaceae","Magnoliopsida","Tracheophyta","RASP","RASP","sp."
"95","Ranunculus sp.","Ranunculus","Plantae","Ranunculales","Ranunculaceae","Magnoliopsida","Tracheophyta","RACE","RASP","sp."
"96","Rosa acicularis","Rosa","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","ROAC","ROAC","acicularis"
"97","Rubus arcticus","Rubus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","RUAC","RUAR","arcticus"
"98","Rubus arcticus","Rubus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","RUAR","RUAR","arcticus"
"99","Rubus idaeus","Rubus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","RUID","RUID","idaeus"
"100","Rubus pubescens","Rubus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","RUPU","RUPU","pubescens"
"101","Rubus sachalinensis","Rubus","Plantae","Rosales","Rosaceae","Magnoliopsida","Tracheophyta","RUST","RUSA","sachalinensis"
"102","Salix bebbiana","Salix","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","SABE","SABE","bebbiana"
"103","Salix myrtillifolia","Salix","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","SAMY","SAMY","myrtillifolia"
"104","Salix pseudomonticola","Salix","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","SAPS","SAPS","pseudomonticola"
"105","Salix scouleriana","Salix","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","SASC","SASC","scouleriana"
"106","Salix sp.","Salix","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","SALSP","SASP","sp."
"107","Salix sp.","Salix","Plantae","Malpighiales","Salicaceae","Magnoliopsida","Tracheophyta","SASP","SASP","sp."
"108","Schizachne purpurascens","Schizachne","Plantae","Poales","Poaceae","Magnoliopsida","Tracheophyta","SCPU","SCPU","purpurascens"
"109","Selaginella densa","Selaginella","Plantae","Selaginellales","Selaginellaceae","Lycopodiopsida","Tracheophyta","SEDE","SEDE","densa"
"110","Packera streptanthifolia","Packera","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SECY","SECY","streptanthifolia"
"111","Packera streptanthifolia","Packera","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SEST","PAST","streptanthifolia"
"112","Senecio integerrimus","Senecio","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SEIN","PAST","integerrimus"
"113","Senecio sp.","Senecio","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SESP","SESP","sp."
"114","Senecio sp.","Senecio","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SESE","SESP","sp."
"115","Shepherdia canadensis","Shepherdia","Plantae","Rosales","Elaeagnaceae","Magnoliopsida","Tracheophyta","SHCA","SHCA","canadensis"
"116","Solanum triflorum","Solanum","Plantae","Solanales","Solanaceae","Magnoliopsida","Tracheophyta","SOTR","SOTR","triflorum"
"117","Solidago simplex","Solidago","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SODE","SOSI","simplex"
"118","Solidago spathulata","Solidago","Plantae","Asterales","Asteraceae","Magnoliopsida","Tracheophyta","SOSP","SOSP","spathulata"
"119","Stellaria longipes","Stellaria","Plantae","Caryophyllales","Caryophyllaceae","Magnoliopsida","Tracheophyta","STLO","STLO","longipes"
