stand,month,day,year,id,height_cm,diameter_mm,browsed,notes
1,,,1984,402,28,4,"1981, 1979, 1977",
1,,,1984,407,29,4,1980,
1,,,1984,429,77,10,"1983, 1981",
1,,,1984,430,19,5,1981,
1,,,1984,436,59,7,1981,
1,,,1984,443,18,2,1978,
1,,,1984,445,26,4,1980,
1,,,1984,448,57,6,"1981, 1980",
1,,,1984,450,33,3,,
1,,,1984,458,11,2,,
1,6,23,1984,459,8,1,1981,
1,6,23,1984,461,25,10,"1982, 1981",
1,6,23,1984,467,3,3,1981,
1,,,1984,475,68,8,"1981, 1982",
1,,,1984,480,10,2,,
1,,,1984,481,42,6,1980,
1,,,1984,486,53,8,"1982, 1980",
1,,,1984,489,5,2,1965,"browsed 'a long time ago', so put in 1965"
1,,,1984,493,14,3,1982,
1,6,23,1984,495,4,2,,
1,6,23,1984,496,26,12,1981,
1,,,1984,498,15,10,1980,
1,,,1984,600,10,5,1981,
1,,,1984,601,24,12,1979,9 male cones
1,,,1984,602,10,2,1982,
1,6,23,1984,604,8,1,,
1,,,1984,606,4,2,,
1,,,1984,607,4,5,1981,
1,,,1984,608,10,7,1980,
1,6,23,1984,609,25,10,"1983, 1981",
1,6,23,1984,610,10,4,1981,
1,,,1984,611,29,7,"1983, 1982",
1,6,23,1984,612,7,10,1980,
1,,,1984,613,22,6,1980,
1,,,1984,614,16,3,1979,
1,6,23,1984,619,14,3,1979,
1,6,23,1984,620,10,4,,
1,,,1984,621,17,4,1979,
1,,,1984,622,9,3,1980,
1,,,1984,628,3,4,1981,
1,6,23,1984,631,212,39,,
1,,,1984,632,9,2,1982,
1,,,1984,634,29,9,,
1,6,23,1984,636,4,2,1981,
1,,,1984,637,3,2,1981,
1,,,1984,638,6,3,1980,
1,,,1984,639,13,10,1980,
1,,,1984,644,40,10,,
1,,,1984,647,13,3,1980,
1,,,1984,650,4,2,,
1,6,23,1984,654,8,6,"1982, 1981",
1,6,23,1984,657,18,11,1979,
1,,,1984,660,3,2,1981,
1,,,1984,661,9,7,1981,also browsed 'once before'
1,6,23,1984,662,7,1,1981,
1,,,1984,666,9,3,1979,
1,6,23,1984,675,14,8,1980,
1,6,23,1984,676,5,3,1980,
1,,,1984,678,7,2,1982,
1,,,1984,681,19,11,"1983, 1981",
1,6,23,1984,686,12,8,1979,
1,,,1984,689,7,6,1981,
1,,,1984,691,10,13,1980,also browsed 'once before'
1,,,1984,692,14,5,1979,
1,6,23,1984,694,5,3,1982,
1,,,1984,696,14,3,"1982, 1981",
1,,,1984,697,4,5,1980,
1,,,1984,698,10,3,1980,
1,6,23,1984,701,9,4,"1982, 1981",
1,6,23,1984,702,10,3,1982,
1,,,1984,703,14,3,1981,
1,,,1984,704,3,2,,
1,,,1984,705,8,1,1981,
1,6,23,1984,716,7,2,1981,
1,,,1984,723,5,3,1981,
1,6,23,1984,727,10,9,1981,
1,,,1984,730,6,2,1982,
1,6,23,1984,737,13,4,1981,
1,6,23,1984,752,4,1,1981,
1,6,23,1984,756,5,3,1981,
1,6,23,1984,765,4,2,,
1,,,1984,793,45,8,1979,
