stand,species_code,tree_tag,quad,base_coord_S_m,base_coord_W_m,substratum,year_dead
4,ABBA,329,4E,3.6,1.4,FF,NA
5,PIGL,366,4J,0.4,1.4,DL,NA
6,ABBA,565,4G,4.3,1.4,DL,NA
6,ABBA,950,4B,0.7,1.4,FF,NA
6,ABBA,618,4A,2.3,1.4,FF,NA
6,ABBA,766,6C,1,1.4,FF,NA
7,PIMA,868,4G,3.9,1.4,NA,NA
1,POTR,475,4E,5,1.5,HS,NA
1,PIBA,495,4D,3.7,1.5,HS,NA
1,PIBA,604,2J,2.8,1.5,T,NA
1,PIBA,765,0E,2.5,1.5,FF,NA
3,PIGL,624,0E,3.4,1.5,FF,NA
3,BEPA,901,8F,3.5,1.5,DL,NA
3,BEPA,913,8I,2.5,1.5,DL,NA
4,ABBA,325,4H,1.2,1.5,FF,NA
4,ABBA,380,4F,3.8,1.5,FF,NA
4,ABBA,865,4F,2.6,1.5,FF,NA
5,POTR,382,6H,0.7,1.5,DL,NA
5,PIGL,509,1C,2.9,1.5,FF,NA
7,PIMA,33,4E,2.9,1.5,NA,NA
7,LALA,73,4E,3,1.5,NA,1985
7,LALA,7,4E,0.15,1.5,NA,NA
7,PIMA,879,4G,4.1,1.5,NA,NA
1,PIBA,461,4D,3.7,1.6,HS,NA
3,PIGL,137,4F,4.1,1.6,FF,1984
3,PIGL,684,0E,1.6,1.6,FF,NA
3,BEPA,685,2G,1.4,1.6,DL,NA
3,BEPA,972,8F,4.4,1.6,DL,NA
4,ABBA,330,4F,4.8,1.6,DL,1984
5,PIGL,581,1D,2.9,1.6,DL,NA
6,ABBA,577,4E,0.8,1.6,DL,1984
6,ABBA,987,4C,1.4,1.6,FF,NA
6,ABBA,986,4A,0.7,1.6,FF,NA
6,ABBA,767,6D,0.5,1.6,FF,NA
7,PIMA,888,4G,3.9,1.6,NA,NA
7,PIMA,876,4G,3.6,1.6,NA,NA
7,PIMA,877,4G,1.8,1.6,NA,NA
7,PIMA,820,4G,2.2,1.6,NA,NA
7,PIMA,811,4G,0.9,1.6,NA,NA
7,PIMA,806,4G,0.7,1.6,NA,NA
7,PIMA,828,4G,0.7,1.6,NA,NA
1,PIBA,697,8J,4,1.7,FF,NA
2,PIBA,733,2C,3.4,1.7,M,NA
3,PIMA,122,6E,4.2,1.7,DL,NA
3,BEPA,943,8H,4.4,1.7,DL,NA
4,ABBA,360,4F,2.4,1.7,DL,NA
5,PIGL,503,7H,0.3,1.7,DL,1984
5,PIGL,517,9D,2,1.7,FF,NA
5,PIGL,780,2A,1.3,1.7,FF,NA
6,ABBA,593,4E,0.4,1.7,DL,1984
6,ABBA,914,6I,2.5,1.7,FF,NA
7,PIMA,46,4E,2.9,1.7,NA,NA
7,PIMA,94,4E,2.9,1.7,NA,NA
7,LALA,693,4G,2.9,1.7,NA,NA
1,PIBA,606,8J,3.8,1.8,FF,NA
1,PIBA,608,6D,1,1.8,HS,NA
2,PIBA,442,2C,2.6,1.8,M,1984
3,POTR,911,8F,0.4,1.8,FF,1985
3,BEPA,966,8H,2.5,1.8,DL,NA
4,ABBA,361,4G,2.5,1.8,DL,NA
4,ABBA,383,4G,2.1,1.8,DL,1984
4,ABBA,795,4G,2.1,1.8,FF,NA
6,ABBA,909,4A,0.2,1.8,FF,NA
6,ABBA,797,6D,3.2,1.8,FF,NA
7,PIMA,37,4E,2.7,1.8,NA,NA
7,PIMA,826,4G,1.9,1.8,NA,NA
7,PIMA,838,4G,0.5,1.8,NA,1984
1,PIBA,459,4C,0.2,1.9,HS,NA
2,PIBA,476,0F,1.8,1.9,FF,NA
3,POTR,960,8I,0.8,1.9,FF,NA
3,PIGL,964,8E,3.6,1.9,DL,NA
4,ABBA,335,4G,3.3,1.9,DL,NA
5,POTR,556,6H,4.9,1.9,DL,1985
6,ABBA,474,4H,2.2,1.9,FF,1984
6,ABBA,409,4H,2.2,1.9,FF,NA
7,PIMA,62,4E,2.7,1.9,NA,NA
7,PIMA,26,4E,2.9,1.9,NA,NA
7,PIMA,63,4E,2.9,1.9,NA,NA
7,PIMA,25,4E,2.9,1.9,NA,NA
7,PIMA,51,4E,2.9,1.9,NA,NA
7,LALA,880,4G,5,1.9,NA,NA
1,PIBA,602,8F,4,2,FF,NA
2,PIBA,417,3G,4.6,2,FF,NA
2,PIBA,422,3E,0.4,2,T,NA
3,PIMA,958,8C,4.4,2,FF,NA
4,ABBA,302,4F,3.3,2,FF,NA
4,ABBA,349,4G,2.4,2,FF,1984
5,POTR,375,6H,0.5,2,DL,1984
5,POTR,206,6H,0.5,2,DL,1984
5,POTR,290,6H,0.5,2,DL,1984
5,POTR,213,6H,0.5,2,DL,1984
5,PIGL,549,9C,1.7,2,FF,1984
5,PIGL,592,8C,2.1,2,DL,NA
7,LALA,11,4F,2,2,NA,NA
7,PIMA,884,4G,0.1,2,NA,NA
1,PIBA,662,0J,2.3,2.1,FF,NA
2,PIBA,465,1B,2,2.1,FF,NA
2,PIBA,787,7J,1.2,2.1,FF,NA
4,ABBA,397,4F,4.9,2.1,FF,NA
5,POTR,587,9J,4.4,2.1,FF,NA
6,ABBA,523,4E,2.5,2.1,DL,NA
6,ABBA,927,4A,0.1,2.1,FF,NA
6,ABBA,717,6B,4.6,2.1,FF,NA
7,LALA,8,4F,0.5,2.1,NA,NA
1,PIBA,430,4H,4,2.2,HS,NA
1,PIBA,650,8J,4.4,2.2,FF,NA
2,PIBA,427,1D,2.2,2.2,T,NA
2,POTR,771,0B,0.4,2.2,FF,NA
3,PIGL,968,8G,3.3,2.2,DL,NA
4,POTR,745,4H,4.4,2.2,NA,1984
4,POTR,777,4H,4.5,2.2,FF,1984
4,POTR,785,4H,4.4,2.2,FF,1984
5,PIGL,227,8G,4.1,2.2,DL,1984
7,LALA,10,4F,0.4,2.2,NA,NA
7,LALA,32,4F,0.7,2.2,NA,NA
7,PIMA,852,4G,1.1,2.2,NA,NA
1,PIBA,621,6G,4.7,2.3,HS,NA
4,ABBA,303,4E,4.5,2.3,FF,NA
4,ABBA,365,4H,4.5,2.3,FF,NA
4,ABBA,656,4G,4.2,2.3,FF,NA
6,ABBA,776,6F,3.4,2.3,FF,1984
7,LALA,61,4F,1.2,2.3,NA,NA
1,PIBA,601,6D,3,2.4,HS,NA
2,PIBA,425,2C,3.7,2.4,M,NA
2,PIGL,441,8A,3.7,2.4,FF,NA
2,PIBA,455,6G,3.8,2.4,FF,NA
2,PIBA,482,2C,3.5,2.4,M,NA
3,BEPA,957,8F,3.3,2.4,DL,NA
3,PIGL,989,8J,5,2.4,DL,NA
4,ABBA,391,4H,2.8,2.4,FF,1984
5,PIGL,328,0H,2,2.4,DL,NA
7,PIMA,29,4E,1.3,2.4,NA,NA
7,PIMA,36,4E,1.3,2.4,NA,NA
1,POTR,481,4E,4.9,2.5,HS,NA
1,PIGL,644,4I,3.4,2.5,HS,NA
1,PIBA,689,8I,3.5,2.5,FF,NA
2,PIBA,434,9A,4.4,2.5,FF,NA
2,PIBA,605,3D,4.5,2.5,FF,NA
3,PIGL,688,0I,1.7,2.5,DL,NA
4,ABBA,309,4G,2.3,2.5,DL,NA
4,ABBA,348,4G,3.1,2.5,FF,1984
4,ABBA,354,4H,3.1,2.5,FF,NA
4,ABBA,358,4H,3,2.5,FF,NA
6,POTR,579,4E,0.1,2.5,DL,1984
7,PIMA,17,4E,3.7,2.5,NA,NA
7,PIMA,45,4E,3.7,2.5,NA,NA
7,PIMA,41,4E,3.7,2.5,NA,NA
7,PIMA,44,4E,3.7,2.5,NA,NA
7,PIMA,38,4E,3.9,2.5,NA,NA
7,LALA,39,4E,4,2.5,NA,1985
7,PIMA,878,4G,1.6,2.5,NA,NA
7,LALA,625,4G,3.7,2.5,NA,NA
1,POTR,429,4E,3.8,2.6,HS,NA
2,PIBA,453,3E,2.5,2.6,FF,NA
3,PIGL,160,4I,1.1,2.6,DL,NA
3,PIGL,965,8E,3,2.6,DL,NA
4,ABBA,315,4G,3.4,2.6,FF,NA
4,ABBA,326,4E,3.6,2.6,FF,NA
4,ABBA,342,4E,4.5,2.6,FF,NA
4,ABBA,396,4G,3.2,2.6,FF,NA
5,PIGL,279,5H,1,2.6,DL,1984
6,ABBA,726,6H,4.6,2.6,FF,NA
6,ABBA,707,6E,2.7,2.6,DL,1983
7,PIMA,31,4E,1.2,2.6,NA,NA
7,PIMA,21,4E,1.6,2.6,NA,NA
7,PIMA,800,4G,2.7,2.6,NA,NA
1,POTR,445,4E,1.4,2.7,HS,NA
2,POTR,452,0A,5,2.7,FF,1983
2,POTR,456,0A,5,2.7,FF,1983
3,PIMA,121,6J,3.8,2.7,DL,NA
6,ABBA,907,4B,4.2,2.7,FF,NA
1,PIBA,489,4D,3.3,2.8,HS,NA
1,PIBA,614,4I,3.2,2.8,HS,NA
1,PIBA,639,6A,2.4,2.8,HS,NA
2,PIBA,428,0D,1.1,2.8,FF,NA
3,POTR,910,8H,3.8,2.8,DL,1984
3,POTR,970,8H,4.2,2.8,FF,NA
4,ABBA,331,4G,3.4,2.8,FF,1984
4,ABBA,372,4G,4.9,2.8,FF,NA
4,ABBA,378,4H,0.1,2.8,FF,NA
5,PIGL,307,7I,4,2.8,FF,NA
6,ABBA,501,4H,4,2.8,DL,NA
6,ABBA,949,4F,0.4,2.8,FF,NA
7,PIMA,43,4E,4.3,2.8,NA,NA
7,PIMA,70,4E,4.3,2.8,NA,1984
7,PIMA,76,4E,4.2,2.8,NA,NA
7,PIMA,48,4E,4.2,2.8,NA,NA
7,PIMA,14,4E,4.2,2.8,NA,NA
7,PIMA,13,4E,4.2,2.8,NA,1984
7,PIMA,20,4E,4.2,2.8,NA,1984
7,PIMA,28,4E,4.2,2.8,NA,NA
7,PIMA,93,4E,4.3,2.8,NA,NA
7,PIMA,2,4E,3.8,2.8,NA,NA
7,PIMA,825,4G,0.8,2.8,NA,NA
7,LALA,687,4G,4.2,2.8,NA,NA
2,PIBA,423,2E,3.1,2.9,T,NA
2,PIBA,485,0D,0.9,2.9,FF,NA
2,PIBA,626,5H,1.5,2.9,FF,1984
3,PIMA,190,6J,3.9,2.9,DL,NA
3,PIGL,925,8H,3.3,2.9,DL,NA
4,ABBA,887,4D,2.3,2.9,DL,NA
5,PIGL,389,8F,1,2.9,DL,NA
7,PIMA,890,4G,0.7,2.9,NA,NA
7,PIMA,893,4G,0.9,2.9,NA,NA
7,PIMA,832,4G,1.2,2.9,NA,NA
7,PIMA,854,4G,1.2,2.9,NA,NA
1,POTR,402,4E,0.3,3,HS,NA
1,POTR,458,4E,1.4,3,HS,NA
2,PIBA,603,3E,2.2,3,FF,NA
2,PIBA,798,1B,5,3,FF,NA
3,PIMA,116,6J,4.2,3,DL,NA
3,PIMA,147,6J,4.4,3,DL,NA
3,PIMA,162,6J,3.8,3,FF,NA
3,BEPA,645,8J,4.1,3,FF,NA
3,POTR,974,8H,3.8,3,DL,NA
4,ABBA,323,4G,3.4,3,FF,NA
4,ABBA,324,4H,2.1,3,FF,NA
4,ABBA,399,4H,4,3,DL,NA
4,POTR,751,4H,4.2,3,FF,1984
5,ABBA,299,3G,4.85,3,FF,NA
5,PIGL,314,2J,1.7,3,DL,NA
6,ABBA,722,6G,0.1,3,DL,1984
6,ABBA,902,6I,4.9,3,FF,NA
7,PIMA,85,4E,1.2,3,NA,NA
7,PIMA,67,4E,1.2,3,NA,NA
7,PIMA,83,4E,1.3,3,NA,NA
7,PIMA,88,4E,1.4,3,NA,NA
7,PIMA,84,4E,1.4,3,NA,NA
7,PIMA,52,4E,0.3,3,NA,1985
7,PIMA,860,4G,1,3,NA,NA
1,PIBA,498,4G,1,3.1,HS,NA
1,PIBA,634,8A,0.9,3.1,FF,NA
1,PIBA,637,4G,0.6,3.1,HS,NA
3,PIMA,142,6J,3.8,3.1,FF,NA
4,ABBA,336,4F,2.9,3.1,DL,NA
4,PIGL,803,4E,2.4,3.1,NA,NA
4,PIGL,847,4E,2.4,3.1,NA,NA
5,PIGL,212,2J,2.4,3.1,FF,NA
5,PIGL,377,6G,4.9,3.1,FF,NA
6,ABBA,783,6F,0.1,3.1,DL,NA
7,LALA,78,4E,0.1,3.1,NA,NA
7,PIMA,844,4G,0.8,3.1,NA,NA
7,PIMA,827,4G,0.8,3.1,NA,NA
7,PIMA,899,4G,1.2,3.1,NA,NA
7,PIMA,840,4G,1.1,3.1,NA,NA
7,PIMA,845,4G,1,3.1,NA,NA
7,PIMA,813,4G,0.4,3.1,NA,1984
1,PIBA,666,4J,2.7,3.2,HS,NA
1,PIBA,694,2C,1.4,3.2,HS,NA
1,PIBA,752,0E,1.4,3.2,FF,NA
2,PIBA,403,0F,3.5,3.2,FF,NA
2,PIBA,617,0E,1.2,3.2,T,NA
2,PIBA,719,6E,4.9,3.2,FF,NA
2,PIBA,759,3H,1.5,3.2,M,NA
3,PIMA,164,6J,4.6,3.2,DL,NA
3,POTR,979,8H,3.4,3.2,FF,NA
4,ABBA,381,4H,1,3.2,FF,NA
4,PIGL,843,4E,2.4,3.2,NA,NA
4,PIGL,849,4E,2.4,3.2,NA,NA
5,PIGL,582,8C,1.5,3.2,DL,1984
6,ABBA,454,4H,3.2,3.2,FF,NA
6,ABBA,774,6A,2.2,3.2,FF,NA
7,PIMA,858,4G,0.7,3.2,NA,NA
7,PIMA,855,4G,1.3,3.2,NA,NA
7,PIMA,896,4G,1.2,3.2,NA,NA
7,PIMA,801,4G,0.9,3.2,NA,NA
1,PIBA,622,6C,0.1,3.3,HS,NA
1,PIBA,696,6I,0.1,3.3,HS,NA
3,PIMA,156,6J,4.7,3.3,FF,NA
3,PIMA,172,6J,3.8,3.3,FF,NA
3,PIMA,175,6J,3.7,3.3,FF,NA
3,BEPA,935,8F,3.1,3.3,DL,NA
4,ABBA,347,4H,0.4,3.3,FF,NA
5,PIGL,357,5D,3.2,3.3,FF,NA
5,POTR,527,8F,4.7,3.3,DL,1984
6,ABBA,779,6F,0.3,3.3,DL,NA
6,ABBA,796,5E,1.7,3.3,FF,NA
7,PIMA,824,4G,0.6,3.3,NA,NA
7,PIMA,836,4G,0.5,3.3,NA,NA
7,PIMA,867,4G,0.8,3.3,NA,NA
7,PIMA,817,4G,1,3.3,NA,NA
7,PIMA,892,4G,0.9,3.3,NA,NA
7,PIMA,819,4G,0.9,3.3,NA,NA
7,PIMA,846,4G,1.1,3.3,NA,NA
1,PIBA,493,4F,4.1,3.4,HS,NA
1,PIBA,647,6B,1.5,3.4,HS,NA
1,PIBA,691,8G,3.7,3.4,FF,NA
2,PIBA,419,1A,1.5,3.4,FF,NA
2,PIBA,424,2C,2.6,3.4,M,NA
2,PIBA,470,2C,2.6,3.4,M,NA
3,PIMA,114,6J,4,3.4,FF,NA
3,PIMA,141,6J,4.5,3.4,DL,NA
3,PIMA,152,6J,4,3.4,FF,NA
3,PIMA,161,6J,4.7,3.4,DL,NA
3,PIMA,170,6J,4.9,3.4,DL,NA
3,PIMA,195,6J,4,3.4,FF,NA
4,POBA,831,4D,0.4,3.4,FF,1984
4,ABBA,768,4G,3.75,3.4,DL,NA
5,PIGL,272,7F,3.4,3.4,FF,NA
5,POTR,537,8F,4.6,3.4,DL,1984
6,ABBA,763,6F,2.9,3.4,FF,NA
7,PIMA,882,4G,0.7,3.4,NA,NA
7,PIMA,856,4G,1.1,3.4,NA,1984
7,PIMA,875,4G,0.9,3.45,NA,1984
1,PIBA,609,2G,4.2,3.5,FF,NA
1,PIBA,611,6C,1.1,3.5,HS,NA
1,PIBA,613,8D,1.1,3.5,FF,NA
1,PIBA,676,0E,2.1,3.5,FF,NA
1,PIBA,756,2C,2,3.5,FF,NA
2,PIBA,708,3D,2.1,3.5,FF,NA
3,PIMA,136,6J,4.6,3.5,DL,NA
3,PIMA,148,6J,4.5,3.5,DL,NA
3,PIMA,153,6J,4.6,3.5,DL,NA
3,PIMA,159,6J,4.3,3.5,DL,NA
3,PIMA,168,6J,4.6,3.5,DL,NA
3,PIMA,171,6J,4.5,3.5,DL,NA
3,PIMA,181,6J,4.3,3.5,DL,NA
4,ABBA,344,4F,3.8,3.5,DL,1984
4,ABBA,350,4F,4,3.5,DL,1984
4,ABBA,306,4G,0.7,3.5,M,NA
5,PIGL,555,1C,3.4,3.5,FF,1984
5,PIGL,522,2C,2.4,3.5,FF,NA
6,ABBA,514,4G,3.8,3.5,DL,NA
6,ABBA,778,6H,4.9,3.5,FF,NA
7,PIMA,56,4E,1.1,3.5,NA,NA
7,PIMA,871,4G,0.9,3.5,NA,NA
7,PIMA,816,4G,0.7,3.5,NA,NA
7,PIMA,870,4G,0.7,3.5,NA,NA
7,PIMA,802,4G,1,3.5,NA,NA
1,POTR,436,4E,1.4,3.6,HS,NA
1,POTR,450,4E,0.4,3.6,HS,NA
1,PIBA,704,8J,0.6,3.6,FF,NA
2,PIBA,410,6G,1.6,3.6,FF,NA
2,POTR,439,0A,0.3,3.6,FF,NA
2,PIBA,440,0E,2.4,3.6,FF,NA
2,POTR,457,0A,0.8,3.6,FF,NA
3,PIGL,111,4J,4.2,3.6,DL,NA
3,PIMA,130,6J,4.1,3.6,DL,NA
3,PIMA,194,6J,3.8,3.6,FF,NA
3,PIMA,736,6J,4.7,3.6,DL,NA
3,PIGL,903,8E,3.8,3.6,DL,NA
3,POTR,953,8F,4.7,3.6,T,1985
4,ABBA,353,4F,4.7,3.6,FF,NA
6,ABBA,536,4G,3.5,3.6,DL,NA
6,ABBA,728,6B,5,3.6,DL,NA
7,PIMA,47,4E,1.8,3.6,NA,NA
7,PIMA,60,4E,2.2,3.6,NA,NA
7,PIMA,818,4G,2.9,3.6,NA,NA
7,PIMA,897,4G,2.6,3.6,NA,NA
7,PIMA,815,4G,2.8,3.6,NA,NA
7,LALA,718,4G,2.45,3.6,NA,NA
7,LALA,670,4G,2.45,3.6,NA,NA
