0A,40,40,0,.1,0,0,0,.5,0,0,.5,.5,2,0,0,.5,0,.1,0,0,0,0,0,.5,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0
0C,35,30,0,1,3,0,0,1,.5,0,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,.1,0,0,0,0,0,0,0,0,0,0
0E,25,30,5,0,8,0,.1,2,1,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,.5,1,0,.5,.5,0,0,0,0,0,0,0,0
0G,25,25,0,1,2,5,2,3,.5,0,.5,.5,0,0,0,0,.5,.5,0,0,0,0,0,0,0,.5,.5,0,0,0,.5,0,0,0,0,0,0,0
0I,20,30,10,1,2,0,0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2A,25,10,1,.5,15,15,4,5,1,0,.5,.5,0,0,0,0,0,.5,0,0,0,0,0,.5,0,.5,.5,0,0,0,0,0,.5,0,0,0,0,0
2C,15,5,0,.5,10,15,5,3,1,0,.5,0,0,0,5,0,0,0,0,0,0,.5,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0,0
2E,20,25,0,.5,5,0,0,1,0,.5,0,.5,.5,0,0,0,0,0,0,0,0,.1,0,.5,0,.5,0,0,0,0,0,0,0,0,.5,0,0,0
2G,25,15,10,0,5,10,5,4,2,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0
2I,30,30,0,0,5,0,0,1,.5,0,0,.5,0,0,0,0,.5,0,0,0,0,.5,0,.5,0,0,0,0,.5,0,0,0,.5,0,0,0,0,0
4A,25,10,0,0,2,4,.5,3,2,0,0,2,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0
4C,25,10,0,.5,5,15,25,2,0,0,.5,0,0,0,0,0,0,.1,0,0,0,.5,0,0,0,0,.5,0,.5,0,0,0,0,0,0,0,0,0
4E,45,25,0,2,5,1,0,1,2,.5,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0
4G,25,30,2,.5,20,2,0,1,.5,0,0,1,0,0,.5,0,0,.5,0,0,0,0,0,.5,.5,.5,0,0,.5,0,0,0,0,0,0,0,0,0
4I,25,15,10,5,25,0,0,1,0,0,.5,0,0,0,1,0,0,0,0,0,.1,0,0,0,.5,.5,0,0,0,0,0,0,.5,0,0,0,0,0
6A,20,5,15,10,20,1,5,.5,1,0,0,1,0,0,0,0,0,.5,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6C,35,25,0,0,0,2,15,5,1,0,1,0,0,.5,0,0,0,0,0,0,0,0,0,.5,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0
6E,15,15,5,2,25,2,.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,.5,.5,0,0,0,0,0,0,2,.5,0,0,0,0
6G,10,25,30,1,20,2,2,2,2,0,.5,0,0,0,0,0,.1,0,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,.5,0,0,0,0,0
6I,50,20,0,0,.5,0,.5,3,0,0,.5,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,.1,0,0,0,0,0,0,0,0,0
8A,40,45,0,0,0,0,0,.5,.5,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,.5,.5,.5,0,0,0,.5,0,0,0,0,0,0,0,0
8C,55,30,0,0,0,0,0,3,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,.5,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0
8E,40,35,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,.5,0,0,0,0,0,0,0,0,0
8G,10,25,15,5,15,8,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,.5,0,1,.5,.5,.5,0,0,0,0,0,0,0,0,0,0,0
8I,25,30,0,0,.5,.5,5,2,1,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,.5,0,0,.5,0,0,0,0,0,0
0A,60,30,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0C,50,40,0,2,2,0,0,1,0,0,0,0,.5,0,0,1,.1,0,0,0,0,0,0,0,.5,.5,.5,0,0,0,0,0,0,0,0,0,0,0
0E,35,35,3,0,0,0,0,1,1,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,1,.5,.5,0,0,0,0,0,0,1,0,0,.5,0,0
0G,40,25,0,2,0,2,3,1,.5,0,.5,0,0,0,0,1,0,1,0,0,.5,0,0,0,.5,.5,.5,0,0,0,0,0,0,0,0,0,.5,0
0I,15,20,3,5,5,0,0,2,2,0,.5,.5,.5,0,0,.5,0,0,0,0,0,.5,0,1,.5,.5,.5,0,0,0,0,0,0,0,.1,0,0,.5
2A,20,30,2,.5,3,3,1,2,2,0,0,.5,1,0,0,1,0,1,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,.5,0,0
2C,15,25,10,5,5,3,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,.5,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0
2E,25,40,0,3,.5,0,0,1,0,0,.5,.5,0,0,0,.5,0,0,.5,0,0,0,0,.5,.5,.5,1,0,0,0,0,0,5,0,0,0,0,0
2G,15,10,15,1,5,3,0,10,2,0,.5,0,0,0,0,.5,0,0,0,0,.1,.5,0,1,.5,.5,0,0,0,0,0,0,1,0,.5,0,0,0
2I,25,40,0,0,4,2,0,1,1,0,.5,1,0,0,0,.5,0,1,0,0,0,0,0,0,.5,.5,.5,.5,0,0,0,0,0,0,0,0,0,0
4A,30,25,0,0,1,4,2,1,2,.5,.1,0,0,0,0,0,0,.5,0,0,0,0,0,.5,.5,0,0,0,0,0,.1,4,.5,0,0,0,0,0
4C,20,30,0,2,1,5,3,2,1,1,.5,1,0,0,0,0,0,0,.5,0,.1,0,0,1,.5,0,.5,0,0,0,0,0,1,0,0,0,0,0
4E,60,25,0,0,3,1,0,1,.5,0,.5,.5,0,0,0,0,0,.5,0,0,0,1,0,.5,.5,0,.5,0,0,0,0,0,2,0,.5,0,0,0
