0A,0,0,.01,0,5,75,0,0,2,.01,0,0,0,0,0,0,.01,0,0,0,0,.01,0,0,0,0,.01,0,0,0,0,0
0C,0,0,0,0,20,60,0,0,0,0,0,1,.1,0,0,0,0,0,0,0,0,.1,0,0,0,0,.01,0,0,.1,.01,0
0E,0,.01,0,.01,5,80,0,0,0,0,2,2,0,0,.01,0,.01,0,0,0,0,1,0,0,0,.01,0,0,0,0,0,.01
0G,0,0,0,.1,5,60,0,0,0,.01,1,0,2,0,.01,0,.01,0,.01,0,0,5,.01,0,0,0,.1,0,0,0,0,0
0I,0,0,0,0,8,55,0,0,0,.1,1,0,2,0,.01,0,.01,0,.01,0,.01,5,0,0,0,0,.1,0,0,0,0,0
2I,0,0,.01,0,70,20,0,0,0,.01,0,0,0,0,.01,0,0,0,0,0,0,.01,0,0,0,0,1,0,0,0,0,0
2G,0,0,.1,.1,15,50,0,0,0,1,0,0,0,0,.01,0,0,0,.01,0,.01,8,.01,0,0,0,4,0,.01,0,0,0
2E,0,0,1,.1,35,45,0,0,0,.1,0,0,0,0,.01,0,.01,0,.01,0,0,5,0,0,0,0,1,0,0,0,.01,0
2C,0,0,0,1,20,65,0,0,0,.01,0,0,0,0,.01,.01,.01,0,0,0,0,1,0,0,0,0,.1,0,0,.1,0,0
2A,0,0,1,0,40,40,0,0,0,.1,0,2,0,0,0,0,.01,0,0,0,0,.1,0,0,0,0,1,0,0,0,.1,1
4A,0,0,0,.1,10,70,0,0,0,.1,.1,0,0,0,.01,0,0,0,0,0,0,.01,0,0,0,0,1,0,0,0,0,0
4C,1,0,.1,1,15,60,.01,0,.01,0,1,0,0,0,0,0,.01,0,0,0,0,3,0,0,0,0,2,0,.01,0,0,0
4E,0,0,.01,2,25,25,0,0,0,1,0,0,.1,0,.01,.01,.1,.01,.01,0,0,10,0,0,0,0,2,0,0,0,0,0
4G,0,0,1,.01,40,45,0,0,1,.01,0,0,0,0,0,0,0,0,0,0,0,2,.01,.01,0,0,.1,0,0,0,.1,0
4I,.01,0,2,0,40,45,0,0,0,.01,0,0,0,0,0,0,.01,0,0,0,0,2,.01,0,0,0,.1,0,0,0,1,0
6I,0,0,1,0,30,50,0,0,0,.1,0,0,0,0,.01,0,.01,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
6G,0,0,1,0,55,30,0,0,0,.1,0,0,0,0,.01,0,.01,0,0,0,0,0,0,0,0,0,2,0,.01,0,0,0
6E,0,0,.1,.1,50,35,0,0,0,.01,0,0,0,0,0,0,.01,0,.01,0,.01,4,.01,0,0,0,1,0,0,0,.01,0
6C,0,0,0,.1,10,70,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,.01
6A,2,0,0,.1,10,60,.01,.1,0,0,3,0,1,.1,.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8A,.1,0,0,.1,30,50,0,.1,0,0,5,0,0,.1,.01,0,0,0,0,0,0,1,0,0,0,0,.1,0,0,0,0,0
8C,0,0,0,.1,15,60,.01,.01,0,.1,1,0,0,0,0,0,.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8E,.01,0,0,1,30,20,0,0,0,0,0,0,0,0,0,0,.01,0,.01,0,0,2,0,0,0,0,1,0,0,.1,0,0
8G,0,0,0,0,15,60,0,0,1,.01,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,2,0,0,0,0,.1
8I,0,0,0,.01,25,60,0,.01,0,.01,.01,0,0,0,0,0,.01,0,0,0,0,.01,0,0,.01,0,0,0,0,.01,0,0
