1B,75,0,0,0,0,0,0,.5,0,0,.5,0,1,.5,0,.5,0,0,0,0,0,0,0,0,0,.1,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,30,35,0,.5,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H,8,7,8,25,15,0,0,.1,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.5,.1,0,0,0,0,0,25,0,.1,0,0,0,0,0
1J,50,10,0,0,1,0,5,0,.1,5,.5,0,0,0,0,0,0,.1,0,0,0,0,0,.5,.5,1,0,0,0,0,0,0,0,0,0,0,0,.5,0,0
3B,3,8,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3D,3,85,0,0,0,0,0,0,.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F,2,25,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3H,1,15,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,1,25,0,0,0,8,1,.5,0,0,.5,0,0,0,0,0,0,.5,0,0,0,0,0,1,.5,2,8,.1,0,0,0,0,0,0,0,0,0,0,0,0
5B,1,25,0,0,3,35,2,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5D,60,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5F,75,0,0,0,0,0,0,.5,0,0,0,0,2,0,0,.5,0,0,0,0,0,0,0,.1,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5H,35,25,0,0,0,0,0,0,0,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5J,80,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,80,8,0,0,0,0,0,0,0,0,0,0,.5,0,0,.1,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7F,25,30,0,0,10,0,0,0,0,10,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7H,15,5,35,0,30,0,0,.5,0,5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.5,0,0,0,0,0
7J,85,1,0,0,0,0,0,0,0,0,.5,0,.1,0,0,.1,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9B,30,25,0,0,0,0,0,0,0,0,0,0,1,0,0,.5,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,0,2,0,0,70,0,0,.5,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9H,1,30,0,0,0,1,0,15,.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B,80,0,0,0,0,0,0,.5,0,0,0,0,0,.1,0,2,0,0,0,0,0,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1D,40,25,0,.5,12,0,0,.5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H,5,7,15,10,5,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
1J,10,20,0,.5,0,0,3,0,0,7,.5,0,0,0,0,0,0,.5,0,1,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5
3J,0,20,0,0,0,8,2,.5,0,0,.5,0,0,0,0,0,0,.5,0,.5,0,0,0,1,.5,.5,4,.1,0,0,0,0,0,0,0,0,0,0,0,0
3H,2,10,1,0,10,0,0,0,7,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F,1,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
3D,2,75,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B,2,10,0,0,2,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0
5B,2,10,0,0,1,50,1,0,.1,.1,0,0,0,0,0,0,0,0,0,2,0,0,.1,0,0,.1,0,0,0,0,0,0,0,0,0,.5,0,0,0,0
5D,60,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0
5F,70,0,0,0,0,0,0,1,0,0,.5,0,2,0,0,.5,0,0,0,.1,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5H,60,20,0,0,0,0,0,0,0,0,.1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5J,80,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7J,85,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,.1,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7H,15,10,30,3,2,0,0,.5,0,4,1,0,0,0,0,0,0,0,0,.5,0,0,0,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
7F,30,35,0,0,15,0,0,0,0,.5,.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D,70,10,0,0,0,0,0,0,0,0,.1,0,.5,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7B,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9B,60,20,0,0,0,0,0,0,0,.1,.1,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9D,70,10,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9F,.5,1,0,0,45,0,0,.5,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9H,5,20,0,0,0,0,.5,15,0,0,0,0,0,0,0,0,0,2,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9J,75,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
