0A,2,2,.5,.1,.1,3,1,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C,5,5,1,2,.5,20,0,0,.5,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0E,20,5,1,.5,.5,5,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0G,5,.5,1,.5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0I,20,5,.5,0,.5,3,0,0,0,.5,0,0,.1,.1,.5,0,0,0,0,0,0,0,0,0,0
2A,8,2,.5,1,1,8,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2C,30,2,.5,1,0,10,2,0,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2E,15,1,.5,.5,.5,15,30,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G,5,1,2,2,.5,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2I,1,2,.5,3,0,1,1,0,1,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0
4A,15,1,.5,.5,.5,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4C,15,.5,.5,2,.5,15,1,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,0,0,0,0
4E,20,1,2,.5,.5,15,5,0,.5,0,0,0,0,0,0,0,0,.5,0,.5,0,0,0,0,0
4G,.5,1,1,3,.5,30,25,0,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4I,10,.5,1,.5,.5,15,20,0,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6A,10,2,1,1,.5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6C,15,2,.5,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6E,15,1,1,2,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6G,5,3,.5,2,.5,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
6I,.5,3,.5,1,.5,1,.5,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8A,5,2,.5,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8C,25,0,0,0,0,25,35,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E,10,.5,.5,.5,0,10,15,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0
8G,25,2,.5,.5,.5,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8I,4,5,.5,.5,.5,2,2,0,.5,0,0,0,0,0,0,0,.5,0,0,0,0,0,0,0,0
0A,1,3,0,0,0,2,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0C,5,3,1,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0
0E,4,3,1,.5,.5,1,0,.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0G,4,2,1,0,.1,2,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0
0I,4,2,.5,0,.5,1,.5,0,0,0,0,0,0,0,.5,.1,0,0,.5,0,0,0,0,0,0
2A,3,1,2,1,.5,3,1,0,.5,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0
2C,5,1,.5,1,0,4,.5,0,1,.5,1,0,0,0,0,0,0,0,0,.1,.5,.1,0,0,0
2E,4,2,.5,1,0,2,4,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2G,1,3,1,2,.5,2,3,0,.5,0,0,.5,0,0,0,.5,0,0,0,0,0,0,0,0,0
2I,1,2,1,2,1,0,.5,0,1,0,.1,.5,0,0,0,.5,0,0,0,0,0,0,0,0,0
4A,4,1,.5,.5,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4C,3,1,.5,1,.5,5,1,0,.5,0,.1,.5,0,0,0,0,0,.1,0,.1,0,0,0,0,0
4E,4,2,1,1,.1,6,.5,0,.5,0,0,0,0,.1,0,0,0,1,0,.5,0,.5,0,0,0
4G,2,2,.5,4,.5,15,10,0,.5,0,0,0,0,0,0,0,0,.5,.5,.1,0,0,0,0,0
4I,5,2,1,1,.5,10,7,0,.5,0,.5,0,0,0,0,0,0,0,0,.1,0,0,.5,0,0
6A,6,2,.5,3,.5,6,1,0,.5,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0
6C,5,1,.5,1,.5,.5,1,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0
6E,5,2,2,2,0,4,7,0,0,0,.5,0,0,0,0,.5,0,0,0,0,0,0,0,.1,0
6G,3,1,1,.5,0,5,2,0,0,0,0,0,0,0,0,0,0,2,0,.5,0,0,0,0,0
6I,1,2,1,3,.5,2,.5,0,.1,0,0,.5,0,0,0,0,0,0,0,0,0,0,.5,0,0
8A,2,1,.5,1,.5,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8C,4,2,1,1,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8E,4,1,1,3,.5,6,4,0,1,0,0,0,0,.1,0,.5,0,0,0,0,1,0,0,0,0
8G,4,2,1,2,.1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,0,0,0,0
8I,4,2,1,2,.5,3,2,0,.5,0,.5,0,0,0,0,0,0,0,0,.1,0,0,0,0,.5
