sp.code.1983,sci.name.1983
AULPAL ,Aulacomnium palustre
 BRASAL ,Brachythecium salebrosum
 CERPUR ,Ceratodon purpureus
 DICPOL ,Dicranum polysetum
 DICSCO ,Dicranum scoparium
 DREUNC ,Drepanocladus uncinatus
 EURPUL ,Eurhynchium pulchellum
 HYLSPL ,Hylocomium splendens
 ORTFLA ,Orthodicranum flagillare
 PLESCH ,Pleurozium schreberi
 POHNUT ,Pohlia nutans
 POLCOM ,Polytrichum commune
 POLJUN ,Polytrichum juniperinum
 POLPIL ,Polytrichum piliferum
 PTICIL ,Ptilidium ciliare
 PTIPUL ,Ptilidium pulcherrimum
 PTICC ,Ptilium crista-castrensis
 CETERI ,Cetraria ericetorum
 CETPIN ,Cetraria pinastri
 CETNIV ,Cetraria nivalis
 CLACAP ,Cladonia capitata
 CLACEN ,Cladonia cenotea
 CLACHL ,Cladonia chlorophaea
 CLACOC ,Cladonia coccifera
 CLACON ,Cladonia coniocraea
 CLACOR ,Cladonia cornuta
 CLACRP ,Cladonia crispata
 CLACRT ,Cladonia cristatella
 CLAGON ,Cladonia gonecha
 CLAGRA ,Cladonia gracilis
 CLAMIT ,Cladina mitis
 CLAMUL ,Cladonia multiformis
 CLAPHY ,Cladonia phyllophora
 CLAPYX ,Cladonia pyxidata
 CLARAN ,Cladina rangiferina
 CLASTE ,Cladina stellaris
 CLASUB ,Cladonis subulata
 CLAUNC ,Cladonia uncialis
 CLAVER ,Cladonia verticillata
 LECGRA ,Lecidea granulosa
 PARSUL ,Parmelia sulcata
 PELAPH ,Peltigera aphthosa
 PELMAL ,Peltigera malacea
 PELPUL ,Peltigera pulverulenta
 PELRUF ,Peltigera rufescens
 STEALP ,Stereocaulon alpinum
 DITFLE ,Ditrichum flexicaule
 USNSPP ,Usnea spp.
 PLAGLA ,Platismatia glauca
 PARHYP ,Parmeliopsis hyperopta
 PARAMB ,Parmeliopsis ambigua
 PARELE ,Parmelia elegantula
 HYPPHY ,Hypogymnia physodes
 EVEMES ,Evernia mesomorpha
 CETHAL ,Cetraria halei
 BRYSPP ,Bryoria spp.
 CLAAMA ,Cladonia amaurocraea
 CETCUC ,Cetraria cucullata
 TOMNIT ,Tomenthypnum nitens
 TETANG ,Tetraplodon angustatus
 SPLSPP ,Splachnum spp.
 CLACAR ,Cladonia cariosa
 CLASQU ,Cladonia squamosa
