stand,year,month,PLOT,PIBA,PIGL,POTR,ALCR,AMAL,ARUV,PRPE,ROAC,ROWO,RUID,SABE,SHCA,SYAL,ANMU,ANPA,ARNU,ASLA,CARO,ERGL,GABO,GELI,HIUM,LIBO,LIPH,MELI,ORSE,PYCH,SOSP,VIAD,CXSI,CXRI,ELGL,ELIN,ORAS,ORPU,EQAR,EQVA,LYCO,VAMY,VAVI,MACA
2,1981,5,0E,2,0,0,3,0.5,25,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0.5,0.1,1,0,0.1,0,0,10,0
2,1981,5,0G,20,0,0,0.5,0.1,40,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,4,0
2,1981,5,0I,35,0,0,8,0.1,10,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,5,0
2,1981,5,2A,15,0,0,0.5,0,15,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.5,0,0.5,0,1,0,1,0,1,10,0
2,1981,5,2C,20,0,0,6,0,10,0.1,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0.1,0,0,0,0.5,0,0.5,0,0.1,0,0.5,10,0
2,1981,5,2E,15,0,0,0,0.5,15,0.1,1,0,0,0,4,0,0,0.1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,2,30,0
2,1981,5,2G,30,0,0,10,0.1,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,25,0
2,1981,5,2I,35,0,0,7,0,15,0.1,0.5,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,30,0
2,1981,5,4A,5,0,0,0,0.5,30,0,1,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0.1,0,0,1,0,0.1,0,1,2,0
2,1981,5,4C,7,0,0,3,0.1,5,0.5,1,0,0,0,1,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0.5,0,0,1,0.1,0,0,1,0,0,0,0.5,0,0
2,1981,5,4E,15,1,0,4,0.1,20,0,0.5,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,3,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.5,0,0,0,2,10,0
2,1981,5,4G,25,0,0,0,0,35,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0,1,0,0.1,0,1,5,0
2,1981,5,4I,0,0,0,1,0,10,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0.1,0,0,0.5,0,0.1,0,0.5,0,0,0,0,5,0
2,1981,5,6A,25,0,0,7,0,2,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.1,0,0.1,0,0,0,2,0.5,0
2,1981,5,6C,15,1,0,5,0.1,7,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0,0,0.1,2,0
2,1981,5,6E,20,0,0,4,0.1,2,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0.5,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0,0,1,4,0.1
2,1981,5,6G,20,0,0,0,0,20,0,1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0.1,0,1,30,0
2,1981,5,6I,7,3,0,3,0,25,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,1,0,0.1,0,0.5,0,0.1,0.5,2,5,0
2,1981,5,8A,25,0.1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0.1,0,0,0,0,0.5,0,0,0,0.1,0,0.1,15,0
2,1981,5,8C,30,0,0,5,0.1,3,0.1,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,17,0
2,1981,5,8E,20,0,0,3,0.1,15,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0.1,0.5,0,0,0,0,0,0.5,0,0.5,0,0.1,2,0.5,20,0
