Month,Year,Stand,Quad,ABBA,BEPA,PIGL,POBA,POTR,AMAL,LEGR,LODI,LOIN,PRPE,RIGL,RILA,RITR,ROAC,RUID,SHCA,SYAL,VAVI,VIED,ACMI,ACRU,ARNU,ASCI,ASCO,AQBR,COCA,COTR,DITR,EPAN,FRVE,FRVI,GABO,GATR,GORE,HIUM,LAOC,LIBO,MACA,MEPA,MINU,MOUN,PEPA,PYAS,ORSE,PYCH,RUPU,TRBO,VIAM,AGTR,BRCI,CACA,ELGL,ELIN,SCPU,EQAR,EQSY,LYAN,VIRE,GEAM,LOCA,TAOF,CXSI,COST,SABE,POYE,PIMA,MINT,GEBI,SASP,UNKA,LAVE,PIBA,RIOX,RUSP,CIAR,COAU,SEER,THVE,TRHY,CABU,TRPR,CRTE,CXAE,ASPU,EPCI,CXDE,SOUL,ALCR,PESA,STLO,AGSC,GERI,DRPA,LALA,GEPU,ALTE,HAHY,SOCA,SAPL,SAPS,SAMY,ACSI,SAMA,GEPU?
8,2000,6,8E,16,0,4,0,0,0,0,0,5,0,0,0,0.1,2,2,0,0,0,2,0,0,0,2,0.5,0,2,0,0,1,0,0,0.5,3,0,0,0,4,0.1,3,3,0,9,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,6,8G,21,0.01,0,0,0.01,0,0,0,3,0,0,0,0.5,1,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0.1,0,0.1,0,1,0,0,0,6,0.5,4,6,0,6,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,6,8I,8,0,15,0,11,0,0,1,3,0,0,0,1,1,0,0,0,0,4,0.1,0,9,2,0,0,6,0,0,0,0,0,0.5,1,0,0,1,2,0.5,8,3,0,4,0,0,0,5,0.1,0,0,0.1,0.5,0,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,6,4A.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,6,4C.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,6,4E.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,6,4G.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,0A,0,0,0,0,4,0,0,0,0.01,0,0,0,0,0.5,0.25,0,0.1,0,0.05,0,0,0.01,1,0,0,0.05,0,0.02,4,0,0,0.01,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0.01,0,0,10,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,35,0.1,4,0.01,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,0C,0,0,0,0.5,1,0.01,0,0,0.05,0,0,0.05,0,0.25,0.1,0,0,0,0,0,0,0.1,0.1,0,0.01,0.25,0,0,0.05,0,0,0.05,0.02,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0.02,0,0,0.25,0,0.05,0,0.05,0.01,0,0.2,0,0,0.05,0,0,0,0,0,0,25,0,2,0.02,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2001,6,0E,0,0,0,0.1,4,0,0,0,0.05,0,0,0.1,0,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,50,0.2,1,0.02,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
