Month,Year,Stand,Quad,PIMA,LALA,LEGR,LOIN,LOCA,OXMI,RILA,ROAC,SABE,SAMY,SAPS,VAMY,VAVI,ACMI,ASCI,CARO,COCA,DRRO,EPAN,GABO,GELI,LIBO,MINU,PEPA,PESA,RUAC,RUCH,SMTR,CACA,CXCO,CXVA,CXGY,CXAQ,CXDS,ELIN,EQAR,EQSC,ORRO,EQFL,PIGL,ORAS,EPPA,COTR,POTR,PIBA,SASP,RUID,UNKA,HERB,UNKR,ORC1,FRSP,ARSP,COAU,GEBI,LASP,TAOF,VIAM,POT3,SOUL,CXAE,CXBY,CXHO,CXNL,POBA,CXTU,RIGL,AGSC,CRTE,STLO,CAIN,MEAL,MEOF,AGTR,HOJU,BEPA,TRPR,PAPA,LAOC,SACA,TYLA,ASBO,ASPU,SHCA,CXDW,SPRO,POPA,RHMI,ALTE,SADI,BRCI,HAHY,CIAR,SAPE?,SAPL,CXRI,ERBR,VACA,PEFR?,RIHU,EQPA,FRVI,SAAR,SAPY,PYCH,GEAM,CXAU,JUBA,RUPU,SALU,SAMA,TRHY,COST,CXCA,POPL*,CXSI,RUOC,CXNO,EAPN
8,2000,8,4A,25,0.5,5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,4C,35,0,8,0,0,0.01,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,3,0,0,0.5,0.5,0,0,2,0.5,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,4E,30,0,15,0,0,0,0,3,0,1,0,0.5,1,0,0.5,0,0,0,0,0.1,0.1,1,0,2,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,4G,27,0,0.5,0,0,0,0,0,0,0.01,0,0,0.1,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,4I,35,0,1,6,0,0,0,0.5,0,0,0,0,0.1,0,0,0.01,0,0,0,0.01,0.1,0.5,0,2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,6I,27,0,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,6G,33,0,0.1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,6E,35,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,6C,35,5,10,0,0,0.01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.01,0,0,0,0,0,5,0,0,0,1,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2000,8,6A,15,0,15,0,0,0.1,0,0,0,0,0,0,3,0,0,0,0,0.01,0,0,0,0,0.5,0,0,0,5,6,0,0,0,2,0.5,0,0,4,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
