code,sp_name_1980,notes,group
AMBJUR,Amblystegium juratzkanum,,b
AULPAL,Aulacomnium palustre,,b
BACSPH,Bacidia sphaeroides,,b
BRAPSE,Brachythecium pseudotriquetrum  ,,b
BRASAL,Brachythecium salebrosum,,b
BRYPSE,Bryum pseudotriquetum,,b
CAMSTE,Campylium stellatum,,b
CEPLUN,Cephalozia lunifolia,,b
CERPUR,Ceratodon purpureus,,b
CETERI,Cetraria ericetorum,,b
CETNIV,Cetraria nivalis,,b
CETPIN,Cetraria pinastri,,b
CLAMIT,Cladina mitis,,b
CLARAN,Cladina rangiferina,,b
CLASTE,Cladina stellaris,,b
CLASP,Cladonia,,b
CLASPP,Cladonia,,b
CLACAP,Cladonia capitata,,b
CLACEN,Cladonia cenotea,,b
CLACHL,Cladonia chlorophaea,,b
CLACOC,Cladonia coccifara,,b
CLACON,Cladonia coniocraea,,b
CLACOR,Cladonia cornuta,,b
CLACRP,Cladonia crispata,,b
CLACRT,Cladonia cristatella,,b
CLACRI,Cladonia cristatella,Mis-spelled? Makes the most sense… the T could have been easily misread as I,b
CLAFIM,Cladonia fimbriata,,b
CLAFUR,Cladonia furcata,,b
CLAGON,Cladonia gonecha,,b
CLAGRA,Cladonia gracilis,,b
CLAMUL,Cladonia multiformis,,b
CLAPHY,Cladonia phyllophora,,b
CLAPYX,Cladonia pyxidata,,b
CLASEA,Cladonia scabriusculata,Misspelling?,b
CLASUB,Cladonia subulata,,b
CLAUNC,Cladonia unciais,,b
CLAVER,Cladonia verticillata,,b
DICSP,Dicranum,,b
DICFUS,Dicranum fuscescens,,b
DICPOL,Dicranum polysetum,,b
DICSCO,Dicranum scoperium,,b
DICUND,Dicranum undulatum,,b
DREREV,Drepanocladus revolvens,,b
DREUNC,Drepanocladus uncinatus,,b
EURSP,Eurhynchium,,b
EURPUL,Eurhynchium pulchellum,,b
EURPUI,Eurhynchium pulchellum,Mis-spelled?,b
HELBLA,Helodium blandowii,,b
HYLSPL,Hylocomium splendens,,b
ICMERI,Icmadophila ericetorum,,b
IMAERI,Icmadophila ericetorum,,b
LEPSAT,Leptogium saturninum,,b
HEPSP,Marchantiophyta,Originally 'hepatic species',b
HEP002,Marchantiophyta,Originally 'hepatic species',b
HEP003,Marchantiophyta,Originally 'hepatic species',b
MNISP,Mnium,,b
MNICUS,Mnium cuspidatum,,b
ORTH,Orthodicranum,,b
ORTFLA,Orthodicranum flagillare,,b
ORTSPE,Orthotrichum speciosum,,b
PARSUL,Parmelia sulcata,,b
PELSP,Peltigera,,b
PELAPH,Peltigera aphthosa,,b
PELCAN,Peltigera canina,,b
PELHOR,Peltigera horizontalis,,b
PELMAL,Peltigera malacea,,b
PELPOL,Peltigera polydactylon,,b
PELPUL,Peltigera pulverulenta,,b
PELRUF,Peltigera rufescens,,b
PLACUS,Plagiomnium cuspidatum,,b
PLAGLA,Platismatia glauca,,b
PLESCH,Pleurozium schreberi,,b
POHNUT,Pohlia nutans,,b
POLJUN,Polytrichum juniperinum,,b
POLPIL,Polytrichum piliferum,,b
POLSTR,Polytrichum strictum,,b
PTISP,Ptilidium,,b
PTICIL,Ptilidium ciliare,,b
PTICC,Ptilidium crista-castrensis,,b
PTIPUL,Ptilidium pulcherrimum,,b
PITPUL,Ptilidium pulcherrimum,Mis-spelled?,b
PYLPOL,Pylaisiella polyantha,,b
RHYTRI,Rhytidiadelphus triquetrus,,b
SPHANG,Sphagnum angustifolium,,b
SPHFUS,Sphagnum fuscum,,b
SPHNEM,Sphagnum nemoreum,,b
SPHMEM,Sphagnum nemoreum,Mis-spelled?,b
SPHRUS,Sphagnum russowii,,b
SPHWAR,Sphagnum warnstorfii,,b
STEALP,Stereocaulon alpinum,,b
THUREC,Thuidium recognitum,,b
TOMFAL,Tomentypnum falcifolium,,b
TOMNIT,Tomentypnum nitens,,b
PIBA,,,v
SHCA,,,v
ROAC,,,v
AMAL,,,v
ARUV,,,v
VAVI,,,v
ALCR,,,v
VAMY,,,v
ANMU,,,v
ASLA,,,v
ORPU,,,v
MACA,,,v
CARO,,,v
MELI,,,v
GABO,,,v
SODE,,,v
VIAD,,,v
PRPE,,,v
SYAL,,,v
CXRI,,,v
SABE,,,v
LIBO,,,v
ELIN,,,v
ARNU,,,v
GELI,,,v
PYSE,,,v
RUST,,,v
EQAR,,,v
EQVA,,,v
PIGL,,,v
HICA,,,v
LYTR,,,v
PYVI,,,v
ORAS,,,v
ERGL,,,v
