sp_name_1980,repaired_name_1980,accepted_name,species,code,notes,unified_code,kingdom,division,class,order,family,genus
Cladonia cristatella,Cladonia cristatella,Cladonia cristatella,cristatella,CLACRT,NA,CLACRT,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia fimbriata,Cladonia fimbriata,Cladonia fimbriata,fimbriata,CLAFIM,NA,CLAFIM,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia furcata,Cladonia furcata,Cladonia furcata,furcata,CLAFUR,NA,CLAFUR,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia gracilis,Cladonia gracilis,Cladonia gracilis,gracilis,CLAGRA,NA,CLAGRA,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladina mitis,Cladina mitis,Cladonia mitis,mitis,CLAMIT,NA,CLAMIT,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia multiformis,Cladonia multiformis,Cladonia multiformis,multiformis,CLAMUL,NA,CLAMUL,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia capitata,Cladonia capitata,Cladonia peziziformis,peziziformis,CLACAP,NA,CLACAP,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia phyllophora,Cladonia phyllophora,Cladonia phyllophora,phyllophora,CLAPHY,NA,CLAPHY,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia pyxidata,Cladonia pyxidata,Cladonia pyxidata,pyxidata,CLAPYX,NA,CLAPYX,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladina rangiferina,Cladina rangiferina,Cladonia rangiferina,rangiferina,CLARAN,NA,CLARAN,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia scabriusculata,Cladonia scabriuscula,Cladonia scabriuscula,scabriuscula,CLASEA,Misspelling?,CLASCA,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladina stellaris,Cladina stellaris,Cladonia stellaris,stellaris,CLASTE,NA,CLASTE,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
Cladonia subulata,Cladonia subulata,Cladonia subulata,subulata,CLASUB,NA,CLASUB,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia
